'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBION PARK (WOLLONGONG AIRPORT) New South Wales for February 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBION PARK (WOLLONGONG AIRPORT),01/02/2009,5.3,0.0, ,29.0,17.0,100,59,3.52,26.51
ALBION PARK (WOLLONGONG AIRPORT),02/02/2009,6.2,0.0, ,29.0,20.0,95,57,5.11,30.08
ALBION PARK (WOLLONGONG AIRPORT),03/02/2009,5.4,0.0, ,29.0,20.0,92,58,3.64,25.52
ALBION PARK (WOLLONGONG AIRPORT),04/02/2009,4.9,0.0, ,28.0,20.0,94,62,2.46,24.22
ALBION PARK (WOLLONGONG AIRPORT),05/02/2009,5.7,0.0, ,30.0,17.0,99,65,3.34,30.20
ALBION PARK (WOLLONGONG AIRPORT),06/02/2009,5.9,0.0, ,29.0,21.0,96,65,2.92,30.58
ALBION PARK (WOLLONGONG AIRPORT),07/02/2009,6.6,0.0, ,32.0,19.0,95,49,3.41,30.67
ALBION PARK (WOLLONGONG AIRPORT),08/02/2009,6.0,0.0, ,29.0,16.0,89,58,3.90,30.61
ALBION PARK (WOLLONGONG AIRPORT),09/02/2009,3.1,0.0, ,24.0,21.0,94,65,3.98,12.24
ALBION PARK (WOLLONGONG AIRPORT),10/02/2009,1.7,0.6, ,20.0,17.0,96,75,2.58,6.72
ALBION PARK (WOLLONGONG AIRPORT),11/02/2009,3.0,3.0, ,22.0,17.0,94,62,5.80,9.79
ALBION PARK (WOLLONGONG AIRPORT),12/02/2009,2.9,16.0, ,20.0,15.0,98,72,3.53,16.49
ALBION PARK (WOLLONGONG AIRPORT),13/02/2009,4.3,22.0, ,23.0,14.0,84,45,4.63,16.64
ALBION PARK (WOLLONGONG AIRPORT),14/02/2009,2.6,1.0, ,21.0,16.0,95,56,3.74,8.32
ALBION PARK (WOLLONGONG AIRPORT),15/02/2009,2.9,19.0, ,23.0,16.0,98,69,4.36,13.91
ALBION PARK (WOLLONGONG AIRPORT),16/02/2009,4.0,4.0, ,23.0,18.0,95,59,5.37,18.59
ALBION PARK (WOLLONGONG AIRPORT),17/02/2009, ,14.0, ,23.0,17.0,97,58,3.76, 
ALBION PARK (WOLLONGONG AIRPORT),18/02/2009, ,17.0, ,26.0,18.0,98,57,4.40, 
ALBION PARK (WOLLONGONG AIRPORT),19/02/2009,4.7,0.6, ,27.0,16.0,97,63,2.75,25.82
ALBION PARK (WOLLONGONG AIRPORT),20/02/2009,4.1,0.0, ,26.0,15.0,97,64,2.31,22.88
ALBION PARK (WOLLONGONG AIRPORT),21/02/2009,2.3,0.0, ,23.0,18.0,98,77,2.92,10.53
ALBION PARK (WOLLONGONG AIRPORT),22/02/2009,3.4,0.2, ,25.0,16.0,95,61,2.60,16.76
ALBION PARK (WOLLONGONG AIRPORT),23/02/2009,4.9,0.0, ,27.0,19.0,97,64,4.22,25.93
ALBION PARK (WOLLONGONG AIRPORT),24/02/2009,4.2,13.0, ,27.0,15.0,99,60,3.14,21.59
ALBION PARK (WOLLONGONG AIRPORT),25/02/2009,3.5,0.0, ,26.0,19.0,94,62,2.25,16.40
ALBION PARK (WOLLONGONG AIRPORT),26/02/2009,4.9,0.0, ,25.0,16.0,91,52,3.89,25.76
ALBION PARK (WOLLONGONG AIRPORT),27/02/2009,4.6,0.0, ,24.0,15.0,91,54,2.85,25.90
ALBION PARK (WOLLONGONG AIRPORT),28/02/2009,4.5,0.0, ,26.0,13.0,96,55,2.50,25.63
Totals:,,111.6,110.4, ,,,,,, 
