'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBION PARK (WOLLONGONG AIRPORT) New South Wales for March 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBION PARK (WOLLONGONG AIRPORT),01/03/2009,3.9,0.0, ,26.0,18.0,93,57,2.76,19.06
ALBION PARK (WOLLONGONG AIRPORT),02/03/2009,3.0,0.4, ,25.0,19.0,96,67,2.30,14.26
ALBION PARK (WOLLONGONG AIRPORT),03/03/2009,4.1,0.0, ,27.0,18.0,96,53,3.35,18.48
ALBION PARK (WOLLONGONG AIRPORT),04/03/2009,5.6,0.0, ,26.0,21.0,85,20,6.24,10.51
ALBION PARK (WOLLONGONG AIRPORT),05/03/2009,6.4,0.0, ,25.0,16.0,89,29,6.89,26.36
ALBION PARK (WOLLONGONG AIRPORT),06/03/2009,4.0,0.0, ,22.0,10.0,96,52,2.40,25.85
ALBION PARK (WOLLONGONG AIRPORT),07/03/2009,4.5,0.0, ,25.0,15.0,94,60,2.44,26.42
ALBION PARK (WOLLONGONG AIRPORT),08/03/2009,2.5,0.0, ,22.0,18.0,85,70,3.86,9.14
ALBION PARK (WOLLONGONG AIRPORT),09/03/2009,3.0,0.0, ,25.0,18.0,93,63,1.77,14.92
ALBION PARK (WOLLONGONG AIRPORT),10/03/2009,4.0,0.0, ,26.0,17.0,96,58,2.66,20.73
ALBION PARK (WOLLONGONG AIRPORT),11/03/2009,2.9,0.0, ,24.0,14.0,97,57,2.90,12.61
ALBION PARK (WOLLONGONG AIRPORT),12/03/2009,4.1,2.0, ,26.0,17.0,99,58,3.48,21.21
ALBION PARK (WOLLONGONG AIRPORT),13/03/2009,2.6,0.6, ,24.0,18.0,96,71,1.80,13.37
ALBION PARK (WOLLONGONG AIRPORT),14/03/2009,3.6,0.0, ,27.0,15.0,100,66,3.05,19.30
ALBION PARK (WOLLONGONG AIRPORT),15/03/2009,5.2,13.0, ,29.0,16.0,99,37,3.34,24.06
ALBION PARK (WOLLONGONG AIRPORT),16/03/2009,6.1,0.2, ,27.0,12.0,72,31,5.00,24.79
ALBION PARK (WOLLONGONG AIRPORT),17/03/2009,4.8,0.0, ,24.0,10.0,86,34,3.39,24.88
ALBION PARK (WOLLONGONG AIRPORT),18/03/2009,3.9,0.0, ,25.0,11.0,97,58,3.18,22.47
ALBION PARK (WOLLONGONG AIRPORT),19/03/2009,4.0,0.0, ,28.0,11.0,99,56,1.98,22.86
ALBION PARK (WOLLONGONG AIRPORT),20/03/2009, ,0.0, ,26.0,13.0,99,63,2.17, 
ALBION PARK (WOLLONGONG AIRPORT),21/03/2009, ,0.0, ,26.0,13.0,100,56,2.44, 
ALBION PARK (WOLLONGONG AIRPORT),22/03/2009, ,0.0, ,28.0,12.0,99,45,3.63, 
ALBION PARK (WOLLONGONG AIRPORT),23/03/2009,3.6,1.0, ,26.0,13.0,100,64,2.70,21.31
ALBION PARK (WOLLONGONG AIRPORT),24/03/2009,3.8,1.0, ,26.0,15.0,99,68,2.74,23.01
ALBION PARK (WOLLONGONG AIRPORT),25/03/2009,3.0,0.0, ,26.0,15.0,100,68,1.88,16.69
ALBION PARK (WOLLONGONG AIRPORT),26/03/2009,4.1,0.4, ,29.0,17.0,93,50,2.99,18.47
ALBION PARK (WOLLONGONG AIRPORT),27/03/2009, ,0.2, ,22.0,18.0,90,62,3.78, 
ALBION PARK (WOLLONGONG AIRPORT),28/03/2009, ,0.0, ,24.0,13.0,97,56,3.01, 
ALBION PARK (WOLLONGONG AIRPORT),29/03/2009, ,0.0, ,26.0,11.0,100,48,2.48, 
ALBION PARK (WOLLONGONG AIRPORT),30/03/2009,3.2,1.0, ,25.0,15.0,100,58,3.25,16.20
ALBION PARK (WOLLONGONG AIRPORT),31/03/2009,2.0,20.0, ,22.0,19.0,99,75,4.56,8.72
Totals:,,97.9,39.8, ,,,,,, 
