'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBION PARK (WOLLONGONG AIRPORT) New South Wales for June 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 July 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBION PARK (WOLLONGONG AIRPORT),01/06/2011, , , , , , , , ,7.85
ALBION PARK (WOLLONGONG AIRPORT),02/06/2011, , , , , , , , ,9.81
ALBION PARK (WOLLONGONG AIRPORT),03/06/2011, , , ,21.2, ,99,46,1.96,12.54
ALBION PARK (WOLLONGONG AIRPORT),04/06/2011, ,0.0, , ,12.1,94,55,3.00,6.71
ALBION PARK (WOLLONGONG AIRPORT),05/06/2011, , , ,17.7, , , , ,12.53
ALBION PARK (WOLLONGONG AIRPORT),06/06/2011,2.4,0.0, ,17.6,10.0,97,45,5.84,10.47
ALBION PARK (WOLLONGONG AIRPORT),07/06/2011, ,0.0, , ,1.1,99,42,3.20,10.69
ALBION PARK (WOLLONGONG AIRPORT),08/06/2011,2.4, , ,12.5,5.8,94,43,9.10,12.63
ALBION PARK (WOLLONGONG AIRPORT),09/06/2011,3.4,0.0, ,16.2,8.0,64,45,8.98,11.51
ALBION PARK (WOLLONGONG AIRPORT),10/06/2011,2.8,0.0, ,16.4,10.4,79,52,8.01,8.41
ALBION PARK (WOLLONGONG AIRPORT),11/06/2011, ,0.0, , ,11.5,94,59,6.81,8.70
ALBION PARK (WOLLONGONG AIRPORT),12/06/2011, , , , , ,95,67,4.77,8.52
ALBION PARK (WOLLONGONG AIRPORT),13/06/2011, , , , , ,99,82,4.01,5.89
ALBION PARK (WOLLONGONG AIRPORT),14/06/2011, , , , , , , , ,7.87
ALBION PARK (WOLLONGONG AIRPORT),15/06/2011, , , , , , , , ,6.45
ALBION PARK (WOLLONGONG AIRPORT),16/06/2011, , , , , , , , ,9.94
ALBION PARK (WOLLONGONG AIRPORT),17/06/2011, , , ,17.7, ,99,45,7.93,11.59
ALBION PARK (WOLLONGONG AIRPORT),18/06/2011,3.4,0.0, ,17.5,9.6,71,46,9.03,11.81
ALBION PARK (WOLLONGONG AIRPORT),19/06/2011,2.3,0.0, ,18.5,6.6,87,44,4.17,11.89
ALBION PARK (WOLLONGONG AIRPORT),20/06/2011,2.8,0.0, ,19.8,6.7,96,40,5.86,11.79
ALBION PARK (WOLLONGONG AIRPORT),21/06/2011,4.1,0.0, ,21.4,4.8,89,35,8.58,10.36
ALBION PARK (WOLLONGONG AIRPORT),22/06/2011,3.8,0.0, ,15.1,9.3,59,41,10.31,11.94
ALBION PARK (WOLLONGONG AIRPORT),23/06/2011,4.1,0.0, ,19.6,10.5,65,41,9.02,11.70
ALBION PARK (WOLLONGONG AIRPORT),24/06/2011,1.7,0.0, ,17.8,7.0,98,44,2.77,11.86
ALBION PARK (WOLLONGONG AIRPORT),25/06/2011,1.0,0.0, ,19.3,3.0,99,58,1.12,11.27
ALBION PARK (WOLLONGONG AIRPORT),26/06/2011,1.9,0.0, ,21.1,1.9,99,33,2.01,12.26
ALBION PARK (WOLLONGONG AIRPORT),27/06/2011,1.9,0.0, ,18.7,5.9,96,48,3.40,11.56
ALBION PARK (WOLLONGONG AIRPORT),28/06/2011,1.4,0.0, ,17.4,3.0,99,56,2.50,11.58
ALBION PARK (WOLLONGONG AIRPORT),29/06/2011, ,0.0, , ,6.4,99,62,3.03,7.22
ALBION PARK (WOLLONGONG AIRPORT),30/06/2011, , , , , , , , ,7.80
Totals:,,39.4,0, ,,,,,, 
