'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBION PARK (WOLLONGONG AIRPORT) New South Wales for March 2013,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 April 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBION PARK (WOLLONGONG AIRPORT),01/03/2013,2.4,40.2, ,19.7,15.6,98,63,6.95,6.16
ALBION PARK (WOLLONGONG AIRPORT),02/03/2013,2.8,0.8, ,21.7,15.7,96,67,6.11,11.09
ALBION PARK (WOLLONGONG AIRPORT),03/03/2013,2.9,7.6, ,24.4,17.0,91,65,4.24,10.47
ALBION PARK (WOLLONGONG AIRPORT),04/03/2013,3.1,0.8, ,25.3,16.5,97,58,3.51,11.77
ALBION PARK (WOLLONGONG AIRPORT),05/03/2013,3.6,0.0, ,25.6,17.1,96,64,3.68,17.32
ALBION PARK (WOLLONGONG AIRPORT),06/03/2013,3.8,0.0, ,26.5,14.6,99,57,3.29,18.08
ALBION PARK (WOLLONGONG AIRPORT),07/03/2013,4.8,0.0, ,27.7,15.6,98,50,3.60,23.97
ALBION PARK (WOLLONGONG AIRPORT),08/03/2013,3.8,0.0, ,26.4,15.2,99,50,3.06,17.14
ALBION PARK (WOLLONGONG AIRPORT),09/03/2013,4.5,0.0, ,28.2,17.7,98,53,3.63,20.80
ALBION PARK (WOLLONGONG AIRPORT),10/03/2013,4.4,0.0, ,28.4,15.3,99,54,3.47,21.03
ALBION PARK (WOLLONGONG AIRPORT),11/03/2013,3.8,0.0, ,26.9,17.1,99,62,2.77,19.25
ALBION PARK (WOLLONGONG AIRPORT),12/03/2013,4.0,0.0, ,26.9,16.8,99,56,3.26,19.25
ALBION PARK (WOLLONGONG AIRPORT),13/03/2013,4.9,0.2, ,28.9,14.6,99,41,3.24,22.50
ALBION PARK (WOLLONGONG AIRPORT),14/03/2013,2.1,0.0, ,24.3,18.2,96,71,3.82,6.41
ALBION PARK (WOLLONGONG AIRPORT),15/03/2013,2.8,0.0, ,24.1,19.2,92,63,3.33,11.03
ALBION PARK (WOLLONGONG AIRPORT),16/03/2013,3.7,0.0, ,26.5,17.1,97,66,2.42,20.21
ALBION PARK (WOLLONGONG AIRPORT),17/03/2013,5.1,0.0, ,23.3,16.2,95,38,7.41,20.73
ALBION PARK (WOLLONGONG AIRPORT),18/03/2013,4.3,0.0, ,22.0,12.6,87,36,3.80,22.01
ALBION PARK (WOLLONGONG AIRPORT),19/03/2013,3.1,0.0, ,23.3,9.6,93,53,2.82,15.59
ALBION PARK (WOLLONGONG AIRPORT),20/03/2013,3.2,0.0, ,24.7,13.3,99,59,3.29,15.36
ALBION PARK (WOLLONGONG AIRPORT),21/03/2013,3.6,0.0, ,26.0,14.3,96,62,4.09,18.21
ALBION PARK (WOLLONGONG AIRPORT),22/03/2013,3.9,0.0, ,30.7,17.6,97,54,3.25,15.21
ALBION PARK (WOLLONGONG AIRPORT),23/03/2013,4.8,3.8, ,30.1,19.4,98,37,3.16,20.08
ALBION PARK (WOLLONGONG AIRPORT),24/03/2013,3.8,0.0, ,28.1,17.3,98,64,2.96,19.98
ALBION PARK (WOLLONGONG AIRPORT),25/03/2013,3.5,0.0, ,27.1,13.5,97,61,3.16,17.52
ALBION PARK (WOLLONGONG AIRPORT),26/03/2013,2.9,0.0, ,26.9,15.0,99,67,2.30,14.63
ALBION PARK (WOLLONGONG AIRPORT),27/03/2013,3.3,0.0, ,27.2,16.0,100,72,1.71,19.26
ALBION PARK (WOLLONGONG AIRPORT),28/03/2013, ,0.0, ,30.7,16.5,100,38,2.66, 
ALBION PARK (WOLLONGONG AIRPORT),29/03/2013, ,0.6, ,21.0,11.2,90,43,3.25, 
ALBION PARK (WOLLONGONG AIRPORT),30/03/2013, ,0.0, ,24.8,9.1,99,44,2.96, 
ALBION PARK (WOLLONGONG AIRPORT),31/03/2013, ,0.0, ,24.2,14.6,96,40,3.26, 
Totals:,,98.9,54, ,,,,,, 
