'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBURY AIRPORT New South Wales for March 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBURY AIRPORT,01/03/2010, ,0.0, , ,14.4,53,33,5.55,26.49
ALBURY AIRPORT,02/03/2010,5.6, , ,28.5,11.2,77,22,2.36,27.09
ALBURY AIRPORT,03/03/2010,5.0,0.0, ,31.2,12.5,85,21,1.10,27.30
ALBURY AIRPORT,04/03/2010, ,0.0, , ,15.1, , , ,21.95
ALBURY AIRPORT,05/03/2010, ,0.0, ,22.3, ,95,55,3.06,11.31
ALBURY AIRPORT,06/03/2010, ,20.6, ,30.3,18.8, , , ,24.41
ALBURY AIRPORT,07/03/2010,2.3,5.8, ,22.9,18.3,98,69,3.06,9.90
ALBURY AIRPORT,08/03/2010,4.8,66.0, ,25.5,18.1,98,35,3.71,21.69
ALBURY AIRPORT,09/03/2010,2.7,6.2, ,22.4,15.7,93,84,5.55,17.14
ALBURY AIRPORT,10/03/2010, ,0.0, , ,8.8, , , ,25.43
ALBURY AIRPORT,11/03/2010,4.9, , ,24.4,12.3,74,30,2.39,26.26
ALBURY AIRPORT,12/03/2010,4.1,0.0, ,25.0,10.6,89,35,1.00,25.99
ALBURY AIRPORT,13/03/2010,4.1,0.0, ,25.7,11.5,94,36,0.91,25.88
ALBURY AIRPORT,14/03/2010,4.0,0.0, ,26.3,12.2,91,30,1.00,24.51
ALBURY AIRPORT,15/03/2010,3.9,0.0, ,26.6,13.2,86,34,0.99,23.96
ALBURY AIRPORT,16/03/2010,4.1,0.0, ,28.6,12.5,86,23,0.84,25.11
ALBURY AIRPORT,17/03/2010,4.3,0.0, ,29.6,13.3,88,31,1.13,24.67
ALBURY AIRPORT,18/03/2010,4.1,0.0, ,30.4,15.1,89,31,1.00,23.50
ALBURY AIRPORT,19/03/2010,4.3,0.0, ,31.4,14.9,87,30,1.68,19.77
ALBURY AIRPORT,20/03/2010,4.7,0.0, ,31.9,16.7,86,34,1.86,22.64
ALBURY AIRPORT,21/03/2010,4.6,0.0, ,25.6,16.8,90,35,3.41,21.29
ALBURY AIRPORT,22/03/2010,4.2,0.0, ,25.3,9.1,85,28,1.90,23.75
ALBURY AIRPORT,23/03/2010,4.3,0.0, ,27.0,8.3,93,23,1.87,23.65
ALBURY AIRPORT,24/03/2010,3.9,0.0, ,28.8,10.5,88,24,1.05,23.13
ALBURY AIRPORT,25/03/2010,4.1,0.0, ,29.6,11.6,91,31,1.26,23.22
ALBURY AIRPORT,26/03/2010,3.9,0.0, ,30.0,12.6,91,26,1.10,22.34
ALBURY AIRPORT,27/03/2010,3.7,0.0, ,30.2,15.6,84,32,1.02,20.76
ALBURY AIRPORT,28/03/2010,3.7,0.0, ,28.7,17.2,96,40,2.39,15.60
ALBURY AIRPORT,29/03/2010,3.0,11.0, ,26.3,18.2,98,54,1.61,15.98
ALBURY AIRPORT,30/03/2010,3.7,0.4, ,26.9,16.5,94,36,1.75,20.13
ALBURY AIRPORT,31/03/2010,3.6,0.0, ,26.1,13.4,82,36,1.61,21.02
Totals:,,105.6,110, ,,,,,, 
