'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBURY AIRPORT New South Wales for July 2011,,,,,,,,,,
Issued at 22:34 GMT on Monday 01 August 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBURY AIRPORT,01/07/2011,0.6,0.0, ,14.1,0.3,99,58,0.55,10.88
ALBURY AIRPORT,02/07/2011,0.7,0.0, ,15.2,0.2,99,54,0.72,9.68
ALBURY AIRPORT,03/07/2011,0.9,0.0, ,14.8,2.9,99,63,1.38,5.18
ALBURY AIRPORT,04/07/2011,1.8,15.4, ,14.8,6.3,98,51,5.08,9.45
ALBURY AIRPORT,05/07/2011,1.3,3.8, ,11.2,6.9,93,69,7.56,8.23
ALBURY AIRPORT,06/07/2011,1.2,1.2, ,10.8,7.0,94,71,6.62,6.88
ALBURY AIRPORT,07/07/2011,1.6,4.4, ,11.2,6.8,90,54,5.59,11.01
ALBURY AIRPORT,08/07/2011,0.7,0.0, ,8.3,-0.5,98,64,1.55,7.32
ALBURY AIRPORT,09/07/2011,0.7,4.2, ,9.2,4.3,99,77,2.80,6.48
ALBURY AIRPORT,10/07/2011,1.3,0.0, ,11.0,6.4,93,65,5.48,4.81
ALBURY AIRPORT,11/07/2011,1.3,6.6, ,11.8,4.7,87,60,3.70,9.55
ALBURY AIRPORT,12/07/2011,1.1,0.0, ,10.5,5.7,91,58,2.38,8.25
ALBURY AIRPORT,13/07/2011,0.8,0.0, ,9.8,7.1,97,77,3.27,5.00
ALBURY AIRPORT,14/07/2011,0.7,4.0, ,12.6,-0.3,99,59,0.77,10.00
ALBURY AIRPORT,15/07/2011,0.9,0.0, ,12.1,-1.6,98,46,1.00,12.33
ALBURY AIRPORT,16/07/2011,1.0,0.0, ,14.1,0.2,95,54,1.21,10.83
ALBURY AIRPORT,17/07/2011,0.8,0.0, ,11.1,5.3,97,74,1.49,6.00
ALBURY AIRPORT,18/07/2011,1.0,8.8, ,11.0,8.4,99,63,2.24,7.25
ALBURY AIRPORT,19/07/2011,0.8,1.8, ,14.5,0.4,99,66,0.77,10.68
ALBURY AIRPORT,20/07/2011,1.3,0.2, ,16.7,0.3,99,53,2.20,6.64
ALBURY AIRPORT,21/07/2011,1.5,0.0, ,17.2,3.5,90,46,1.99,11.62
ALBURY AIRPORT,22/07/2011,1.7,0.0, ,15.6,6.9,87,45,2.75,12.29
ALBURY AIRPORT,23/07/2011,1.1,0.0, ,14.6,0.1,94,41,1.12,12.74
ALBURY AIRPORT,24/07/2011,0.7,0.2, ,9.3,1.6,97,81,1.55,5.03
ALBURY AIRPORT,25/07/2011,0.9,16.2, ,13.2,5.5,99,72,1.86,4.62
ALBURY AIRPORT,26/07/2011,1.3,2.2, ,14.1,4.1,99,53,2.13,10.91
ALBURY AIRPORT,27/07/2011,1.0,0.0, ,14.5,0.5,99,48,0.67,11.97
ALBURY AIRPORT,28/07/2011,1.0,0.0, ,13.1,0.2,99,55,1.02,11.63
ALBURY AIRPORT,29/07/2011,1.1,0.0, ,14.7,-1.4,98,50,0.95,12.24
ALBURY AIRPORT,30/07/2011,1.2,0.2, ,16.1,0.6,97,54,1.25,11.00
ALBURY AIRPORT,31/07/2011,0.9,1.0, ,14.7,4.9,99,72,1.32,6.01
Totals:,,32.9,70.2, ,,,,,, 
