'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBURY AIRPORT New South Wales for April 2012,,,,,,,,,,
Issued at 22:38 GMT on Tuesday 01 May 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBURY AIRPORT,01/04/2012,3.1,0.0, ,26.3,12.6,95,45,1.57,16.63
ALBURY AIRPORT,02/04/2012,2.8,0.0, ,25.9,11.1,97,35,0.95,17.82
ALBURY AIRPORT,03/04/2012,3.2,0.0, ,29.9,12.9,93,41,1.43,15.99
ALBURY AIRPORT,04/04/2012,2.6,0.0, ,28.1,13.1,98,52,0.49,16.86
ALBURY AIRPORT,05/04/2012,2.7,0.0, ,28.5,12.7,98,49,0.56,17.35
ALBURY AIRPORT,06/04/2012,3.3,0.0, ,28.6,14.5,98,48,2.56,14.96
ALBURY AIRPORT,07/04/2012,3.4,0.0, ,20.4,10.1,87,38,3.49,17.82
ALBURY AIRPORT,08/04/2012,2.3,0.0, ,19.1,5.4,98,45,1.56,15.94
ALBURY AIRPORT,09/04/2012,2.6,0.0, ,18.6,5.0,97,47,4.15,10.97
ALBURY AIRPORT,10/04/2012,2.4,0.0, ,17.5,1.0,93,34,1.91,16.83
ALBURY AIRPORT,11/04/2012,2.4,0.0, ,20.1,3.0,87,32,1.25,17.02
ALBURY AIRPORT,12/04/2012,2.3,0.0, ,21.7,4.3,94,35,1.06,16.45
ALBURY AIRPORT,13/04/2012,2.1,0.0, ,22.7,4.8,96,31,0.65,16.23
ALBURY AIRPORT,14/04/2012,1.5,0.0, ,19.8,6.7,96,61,0.93,9.28
ALBURY AIRPORT,15/04/2012,2.3,0.0, ,25.4,9.4,98,38,0.93,15.57
ALBURY AIRPORT,16/04/2012,2.3,0.0, ,26.2,8.2,99,34,0.86,15.25
ALBURY AIRPORT,17/04/2012,3.0,0.0, ,24.9,9.9,95,34,2.18,15.40
ALBURY AIRPORT,18/04/2012,2.9,0.0, ,26.2,13.7,86,47,2.53,13.07
ALBURY AIRPORT,19/04/2012,1.5,0.8, ,21.4,16.9,97,69,2.32,5.98
ALBURY AIRPORT,20/04/2012,1.8,34.2, ,22.7,14.6,100,62,1.35,10.80
ALBURY AIRPORT,21/04/2012,2.2,0.0, ,25.4,11.2,100,50,1.13,14.22
ALBURY AIRPORT,22/04/2012,2.1,1.4, ,23.0,14.0,98,56,2.74,8.83
ALBURY AIRPORT,23/04/2012,2.5,8.2, ,22.5,12.2,100,40,2.50,12.49
ALBURY AIRPORT,24/04/2012,1.5,0.8, ,14.2,10.0,95,68,3.85,8.39
ALBURY AIRPORT,25/04/2012,2.1,1.0, ,17.0,7.3,90,63,5.28,10.27
ALBURY AIRPORT,26/04/2012,1.4,0.0, ,17.0,5.0,100,61,1.10,11.75
ALBURY AIRPORT,27/04/2012,1.5,0.0, ,19.6,5.5,100,58,0.83,12.45
ALBURY AIRPORT,28/04/2012,1.7,0.0, ,19.6,5.4,100,53,1.22,13.10
ALBURY AIRPORT,29/04/2012,1.7,0.0, ,18.4,4.6,100,46,1.20,13.66
ALBURY AIRPORT,30/04/2012,1.7,0.0, ,19.9,4.4,96,50,1.38,11.44
Totals:,,68.9,46.4, ,,,,,, 
