'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBURY AIRPORT New South Wales for June 2013,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 July 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBURY AIRPORT,01/06/2013,0.7,19.4, ,15.4,10.3,100,87,2.57,2.52
ALBURY AIRPORT,02/06/2013,1.4,53.4, ,17.3,11.4,100,47,2.15,11.11
ALBURY AIRPORT,03/06/2013,0.8,0.2, ,14.3,0.6,100,60,0.88,10.25
ALBURY AIRPORT,04/06/2013,0.7,0.0, ,14.5,1.9,100,68,0.70,10.33
ALBURY AIRPORT,05/06/2013,0.7,0.0, ,13.6,3.5,100,71,1.07,8.42
ALBURY AIRPORT,06/06/2013,0.9,0.4, ,15.0,5.8,100,62,1.35,5.95
ALBURY AIRPORT,07/06/2013,1.3,1.2, ,16.9,8.5,100,60,3.19,5.24
ALBURY AIRPORT,08/06/2013,0.7,1.0, ,14.6,1.7,100,62,0.82,10.74
ALBURY AIRPORT,09/06/2013,0.7,0.2, ,13.8,0.6,100,69,0.81,9.98
ALBURY AIRPORT,10/06/2013,0.7,0.0, ,13.8,3.1,100,75,0.86,7.20
ALBURY AIRPORT,11/06/2013,0.7,0.0, ,15.6,3.4,100,67,0.84,10.22
ALBURY AIRPORT,12/06/2013,0.5,15.0, ,11.8,4.9,100,95,1.36,3.03
ALBURY AIRPORT,13/06/2013,0.6,16.8, ,13.4,10.0,100,87,2.45,4.83
ALBURY AIRPORT,14/06/2013,0.5,3.6, ,12.2,4.3,100,89,0.46,5.83
ALBURY AIRPORT,15/06/2013,0.9,0.2, ,15.4,1.2,100,48,1.11,10.71
ALBURY AIRPORT,16/06/2013,0.8,0.0, ,14.3,-0.2,99,51,0.95,10.61
ALBURY AIRPORT,17/06/2013,0.5,0.2, ,10.4,0.3,100,81,0.45,5.58
ALBURY AIRPORT,18/06/2013,0.7,0.6, ,15.5,3.1,100,61,0.54,8.52
ALBURY AIRPORT,19/06/2013,0.9,0.0, ,14.5,0.8,100,50,1.18,10.68
ALBURY AIRPORT,20/06/2013,0.7,0.0, ,14.1,0.0,99,50,0.68,10.63
ALBURY AIRPORT,21/06/2013,0.6,0.2, ,13.2,-0.5,100,58,0.68,10.61
ALBURY AIRPORT,22/06/2013,0.7,0.0, ,13.9,-1.3,98,53,0.87,10.76
ALBURY AIRPORT,23/06/2013,0.8,0.0, ,14.1,-0.4,97,50,1.14,10.58
ALBURY AIRPORT,24/06/2013,0.9,0.0, ,13.1,2.0,96,54,1.54,3.70
ALBURY AIRPORT,25/06/2013,1.9,1.0, ,17.0,7.8,88,47,4.11,10.62
ALBURY AIRPORT,26/06/2013,0.9,0.0, ,16.8,0.9,98,49,1.01,10.69
ALBURY AIRPORT,27/06/2013,0.7,0.0, ,14.1,-0.1,99,62,0.72,8.82
ALBURY AIRPORT,28/06/2013, ,0.0, ,16.0,2.0,100,56,0.68, 
ALBURY AIRPORT,29/06/2013,0.8,0.0, ,18.4,4.3,100,59,0.60,10.57
ALBURY AIRPORT,30/06/2013,0.8,0.0, ,15.7,1.4,100,54,1.01,10.96
Totals:,,23.5,113.4, ,,,,,, 
