'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ALBURY AIRPORT New South Wales for March 2017,,,,,,,,,,
Issued at 06:30 GMT on Saturday 01 April 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ALBURY AIRPORT,01/03/2017,5.2,0.0, ,34.3,16.7,82,24,1.55,23.46
ALBURY AIRPORT,02/03/2017,5.8,0.0, ,34.5,17.7,84,27,2.38,22.73
ALBURY AIRPORT,03/03/2017,7.2,0.0, ,32.1,18.5,65,35,5.26,23.21
ALBURY AIRPORT,04/03/2017,4.9,0.0, ,31.2,18.9,71,35,3.05,14.54
ALBURY AIRPORT,05/03/2017,5.5,0.0, ,32.4,19.2,82,25,2.57,21.28
ALBURY AIRPORT,06/03/2017,6.5,0.0, ,29.9,15.4,70,23,4.16,22.75
ALBURY AIRPORT,07/03/2017,6.3,0.0, ,29.9,16.8,58,19,3.46,22.55
ALBURY AIRPORT,08/03/2017,4.2,0.0, ,29.5,12.4,80,29,1.38,20.70
ALBURY AIRPORT,09/03/2017,4.6,0.0, ,30.3,11.9,93,27,1.72,22.09
ALBURY AIRPORT,10/03/2017,5.0,0.0, ,32.7,11.0,74,20,1.91,20.78
ALBURY AIRPORT,11/03/2017,4.3,0.0, ,32.5,14.3,70,22,1.44,18.25
ALBURY AIRPORT,12/03/2017,7.7,0.0, ,36.0,18.6,82,12,5.13,13.62
ALBURY AIRPORT,13/03/2017,5.1,0.0, ,30.9,16.0,88,30,3.28,17.73
ALBURY AIRPORT,14/03/2017,6.0,0.0, ,33.9,15.4,86,25,3.53,19.46
ALBURY AIRPORT,15/03/2017,6.1,0.0, ,33.8,16.7,77,30,3.90,18.59
ALBURY AIRPORT,16/03/2017,4.2,0.0, ,31.5,20.9,75,39,3.09,10.70
ALBURY AIRPORT,17/03/2017,6.5,0.0, ,31.2,19.3,78,23,4.56,20.43
ALBURY AIRPORT,18/03/2017,5.2,0.0, ,32.6,13.6,73,27,2.57,20.20
ALBURY AIRPORT,19/03/2017,4.6,0.0, ,34.9,15.3,78,29,1.89,17.82
ALBURY AIRPORT,20/03/2017,4.1,0.0, ,33.1,20.0,98,42,2.50,14.58
ALBURY AIRPORT,21/03/2017,1.9,0.0, ,25.2,20.1,100,75,2.56,7.65
ALBURY AIRPORT,22/03/2017,2.1,0.0, ,26.6,19.6,100,62,2.11,6.94
ALBURY AIRPORT,23/03/2017,3.4,0.0, ,23.7,19.4,80,56,4.47,10.75
ALBURY AIRPORT,24/03/2017,3.9,0.0, ,27.8,14.2,90,33,2.30,17.22
ALBURY AIRPORT,25/03/2017,2.3,0.2, ,24.4,17.6,87,59,2.01,8.45
ALBURY AIRPORT,26/03/2017,3.4,0.2, ,30.3,15.6,96,42,1.16,17.53
ALBURY AIRPORT,27/03/2017,5.7,0.0, ,34.7,17.5,94,35,4.29,17.29
ALBURY AIRPORT,28/03/2017,3.3,3.2, ,26.0,12.3,90,29,1.38,18.53
ALBURY AIRPORT,29/03/2017,3.4,0.2, ,28.0,10.5,91,26,1.35,18.34
ALBURY AIRPORT,30/03/2017,3.4,0.0, ,21.3,11.7,80,34,3.48,12.36
ALBURY AIRPORT,31/03/2017,3.1,0.0, ,21.4,6.5,84,29,1.86,18.22
Totals:,,144.9,3.8, ,,,,,, 
