'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ARMIDALE AIRPORT New South Wales for January 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 February 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ARMIDALE AIRPORT,01/01/2011,7.3,0.0, ,29.0,12.5,98,20,2.89,34.86
ARMIDALE AIRPORT,02/01/2011,6.8,0.0, ,28.6,14.6,95,36,3.60,32.40
ARMIDALE AIRPORT,03/01/2011,5.6,0.0, ,26.9,16.3,96,48,4.85,25.08
ARMIDALE AIRPORT,04/01/2011,4.7,18.6, ,23.8,14.0,97,61,4.29,25.41
ARMIDALE AIRPORT,05/01/2011,1.9,0.2, ,21.1,12.7,98,77,3.30,7.43
ARMIDALE AIRPORT,06/01/2011,2.3,21.0, ,15.7,12.8,97,84,5.17,14.94
ARMIDALE AIRPORT,07/01/2011,3.9,2.0, ,21.0,12.7,98,71,7.12,24.32
ARMIDALE AIRPORT,08/01/2011,4.2,0.0, ,23.1,13.4,97,72,6.38,25.18
ARMIDALE AIRPORT,09/01/2011,4.5,0.6, ,23.1,16.2,98,66,7.80,24.54
ARMIDALE AIRPORT,10/01/2011,2.5,1.8, ,20.5,15.9,98,83,7.75,14.22
ARMIDALE AIRPORT,11/01/2011,2.9,22.0, ,22.6,17.3,98,84,6.43,16.76
ARMIDALE AIRPORT,12/01/2011,5.6,16.4, ,26.0,16.3,96,63,7.07,29.68
ARMIDALE AIRPORT,13/01/2011,4.4,0.2, ,22.4,16.5,93,69,5.80,24.13
ARMIDALE AIRPORT,14/01/2011,5.9,0.0, ,24.7,13.6,97,52,5.19,32.15
ARMIDALE AIRPORT,15/01/2011,5.0,0.0, ,25.9,13.1,98,58,3.78,25.73
ARMIDALE AIRPORT,16/01/2011,6.0,0.0, ,24.7,15.9,96,48,3.50,32.69
ARMIDALE AIRPORT,17/01/2011,6.5,0.0, ,27.8,12.4,99,43,3.70,32.88
ARMIDALE AIRPORT,18/01/2011,7.7,0.0, ,29.2,16.3,94,28,4.80,33.59
ARMIDALE AIRPORT,19/01/2011,6.7,0.0, ,27.5,13.3,98,30,4.58,29.48
ARMIDALE AIRPORT,20/01/2011,5.3,26.0, ,23.4,13.9,98,59,5.76,30.51
ARMIDALE AIRPORT,21/01/2011,6.0,0.0, ,23.7,12.7,98,46,5.11,33.40
ARMIDALE AIRPORT,22/01/2011,5.8,0.0, ,22.7,11.3,97,45,4.48,33.59
ARMIDALE AIRPORT,23/01/2011,5.9,0.0, ,23.9,10.5,98,42,3.54,33.48
ARMIDALE AIRPORT,24/01/2011,5.8,0.0, ,26.8,10.7,98,50,3.58,30.72
ARMIDALE AIRPORT,25/01/2011,7.3,0.0, ,30.6,16.2,82,37,3.91,32.27
ARMIDALE AIRPORT,26/01/2011,7.2,0.0, ,32.8,17.1,90,32,2.74,32.01
ARMIDALE AIRPORT,27/01/2011,7.2,0.0, ,33.1,17.7,98,43,3.85,30.91
ARMIDALE AIRPORT,28/01/2011,5.4,0.0, ,25.7,17.3,95,62,6.21,28.09
ARMIDALE AIRPORT,29/01/2011,5.2,0.0, ,21.7,13.3,97,57,6.95,31.25
ARMIDALE AIRPORT,30/01/2011,6.5,0.0, ,27.5,10.1,98,41,3.78,33.36
ARMIDALE AIRPORT,31/01/2011,7.1,0.2, ,31.5,12.4,95,24,2.52,33.32
Totals:,,169.1,109, ,,,,,, 
