'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ARMIDALE AIRPORT New South Wales for April 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 May 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ARMIDALE AIRPORT,01/04/2011, , , ,20.6, ,97,58,4.71,20.85
ARMIDALE AIRPORT,02/04/2011,3.6,0.2, ,21.9,9.3,98,51,3.87,20.03
ARMIDALE AIRPORT,03/04/2011,4.0,0.4, ,22.1,11.3,98,44,4.28,22.05
ARMIDALE AIRPORT,04/04/2011,3.5,0.0, ,19.1,9.4,99,49,3.98,22.86
ARMIDALE AIRPORT,05/04/2011,2.8,0.0, ,17.7,9.1,97,62,4.94,17.90
ARMIDALE AIRPORT,06/04/2011,3.2,0.4, ,17.9,10.0,98,55,4.94,20.23
ARMIDALE AIRPORT,07/04/2011,2.9,0.0, ,18.5,9.9,98,65,5.50,19.47
ARMIDALE AIRPORT,08/04/2011,2.1,1.6, ,16.1,9.7,98,74,5.24,14.59
ARMIDALE AIRPORT,09/04/2011,3.8,0.6, ,21.1,8.2,99,39,3.45,22.09
ARMIDALE AIRPORT,10/04/2011,3.6,0.0, ,21.2,7.6,97,40,3.87,19.41
ARMIDALE AIRPORT,11/04/2011,1.7,10.6, ,14.5,11.9,97,69,4.23,8.40
ARMIDALE AIRPORT,12/04/2011,3.1,13.6, ,15.6,3.4,94,46,4.29,21.64
ARMIDALE AIRPORT,13/04/2011,3.5,0.0, ,17.8,3.1,86,39,3.89,21.81
ARMIDALE AIRPORT,14/04/2011,3.6,0.0, ,18.8,5.8,79,38,3.45,21.38
ARMIDALE AIRPORT,15/04/2011,3.0,0.0, ,19.7,4.6,96,35,2.31,19.07
ARMIDALE AIRPORT,16/04/2011,1.0,22.0, ,12.3,9.0,98,90,3.94,6.07
ARMIDALE AIRPORT,17/04/2011,1.7,3.4, ,15.4,9.0,99,80,4.93,13.24
ARMIDALE AIRPORT,18/04/2011,2.6,0.6, ,17.5,7.9,98,63,4.61,18.80
ARMIDALE AIRPORT,19/04/2011,3.2,0.2, ,20.5,5.5,99,46,3.29,20.18
ARMIDALE AIRPORT,20/04/2011,2.5,0.2, ,19.9,6.6,99,58,2.56,16.99
ARMIDALE AIRPORT,21/04/2011,2.2,0.2, ,19.5,10.1,99,63,2.80,12.27
ARMIDALE AIRPORT,22/04/2011,3.1,1.0, ,21.4,6.6,97,44,3.04,18.52
ARMIDALE AIRPORT,23/04/2011,2.9,0.0, ,19.3,5.0,96,57,4.22,19.62
ARMIDALE AIRPORT,24/04/2011,3.1,0.0, ,19.7,10.3,97,51,4.32,18.55
ARMIDALE AIRPORT,25/04/2011,2.8,0.0, ,18.9,8.6,99,52,4.17,17.76
ARMIDALE AIRPORT,26/04/2011,2.0,0.0, ,16.9,10.5,97,76,5.77,14.92
ARMIDALE AIRPORT,27/04/2011,2.1,2.2, ,15.9,7.5,97,71,6.59,15.69
ARMIDALE AIRPORT,28/04/2011,1.9,2.6, ,15.5,8.1,97,75,5.42,14.69
ARMIDALE AIRPORT,29/04/2011,2.3,1.2, ,16.0,8.4,97,62,4.97,15.26
ARMIDALE AIRPORT,30/04/2011,2.5,0.2, ,18.5,10.1,99,58,4.12,15.66
Totals:,,80.3,61.2, ,,,,,, 
