'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ARMIDALE AIRPORT New South Wales for September 2012,,,,,,,,,,
Issued at 22:38 GMT on Monday 01 October 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ARMIDALE AIRPORT,01/09/2012,2.8,0.0, ,10.9,-1.0,99,24,4.65,18.53
ARMIDALE AIRPORT,02/09/2012,3.0,0.0, ,14.9,-3.0,86,23,2.76,18.90
ARMIDALE AIRPORT,03/09/2012,3.4,0.0, ,16.9,0.8,75,20,2.97,19.02
ARMIDALE AIRPORT,04/09/2012,3.8,0.0, ,18.1,-1.0,86,16,3.50,19.01
ARMIDALE AIRPORT,05/09/2012,4.6,0.0, ,18.7,0.2,67,27,6.30,19.23
ARMIDALE AIRPORT,06/09/2012,4.9,0.0, ,20.3,10.0,76,44,10.31,19.30
ARMIDALE AIRPORT,07/09/2012,5.2,0.0, ,18.5,10.8,80,21,9.25,15.62
ARMIDALE AIRPORT,08/09/2012,3.6,0.0, ,14.2,1.4,85,35,7.25,19.55
ARMIDALE AIRPORT,09/09/2012,3.4,0.0, ,17.4,-1.3,100,29,3.67,19.84
ARMIDALE AIRPORT,10/09/2012,3.3,0.0, ,18.2,0.3,100,36,3.39,19.96
ARMIDALE AIRPORT,11/09/2012,3.1,0.0, ,18.5,4.4,91,39,2.95,16.59
ARMIDALE AIRPORT,12/09/2012,3.8,0.0, ,20.1,3.9,93,34,4.29,18.38
ARMIDALE AIRPORT,13/09/2012,4.6,0.0, ,20.2,8.5,91,38,8.81,18.90
ARMIDALE AIRPORT,14/09/2012,3.2,4.2, ,13.8,-2.2,99,28,3.78,20.92
ARMIDALE AIRPORT,15/09/2012,3.4,0.2, ,16.2,-0.6,94,29,3.25,21.08
ARMIDALE AIRPORT,16/09/2012,3.2,0.0, ,17.0,1.4,100,43,4.00,19.73
ARMIDALE AIRPORT,17/09/2012,2.2,0.0, ,16.1,2.4,97,60,3.47,12.61
ARMIDALE AIRPORT,18/09/2012,2.4,16.6, ,16.0,3.9,100,55,3.41,13.77
ARMIDALE AIRPORT,19/09/2012,3.6,9.4, ,17.9,3.3,100,38,4.57,20.02
ARMIDALE AIRPORT,20/09/2012,4.0,0.0, ,21.2,5.0,83,31,2.82,21.98
ARMIDALE AIRPORT,21/09/2012,3.3,0.0, ,20.8,7.1,96,49,5.31,13.14
ARMIDALE AIRPORT,22/09/2012,4.2,4.4, ,19.6,4.8,98,16,3.20,22.39
ARMIDALE AIRPORT,23/09/2012,4.8,0.2, ,21.3,1.6,77,16,3.61,22.85
ARMIDALE AIRPORT,24/09/2012,5.7,0.0, ,23.4,10.8,70,25,5.75,21.51
ARMIDALE AIRPORT,25/09/2012,3.7,2.4, ,18.6,0.8,100,47,5.25,22.90
ARMIDALE AIRPORT,26/09/2012,4.2,0.0, ,19.4,6.5,100,30,4.75,21.01
ARMIDALE AIRPORT,27/09/2012,3.9,0.0, ,20.6,3.8,100,38,2.85,22.86
ARMIDALE AIRPORT,28/09/2012,5.4,0.0, ,23.4,9.9,84,35,5.83,23.83
ARMIDALE AIRPORT,29/09/2012,2.3,1.0, ,14.7,11.7,100,55,9.71,6.08
ARMIDALE AIRPORT,30/09/2012,3.7,4.4, ,15.5,1.0,100,26,3.32,24.07
Totals:,,112.7,42.8, ,,,,,, 
