'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BADGERYS CREEK New South Wales for April 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BADGERYS CREEK,01/04/2010,5.0,0.0, ,27.1,14.1,90,33,3.84,22.23
BADGERYS CREEK,02/04/2010,3.9,0.2, ,24.8,13.0,94,39,3.23,18.94
BADGERYS CREEK,03/04/2010,3.6,0.0, ,24.2,12.4,95,50,3.19,19.54
BADGERYS CREEK,04/04/2010,3.1,0.4, ,22.7,11.9,100,57,3.25,18.09
BADGERYS CREEK,05/04/2010,2.6,0.2, ,21.8,12.6,94,58,2.09,14.73
BADGERYS CREEK,06/04/2010,2.7,0.0, ,23.8,14.1,97,58,1.87,15.11
BADGERYS CREEK,07/04/2010,2.4,9.8, ,24.4,17.0,99,71,3.06,12.17
BADGERYS CREEK,08/04/2010,4.5,1.6, ,27.3,17.5,99,39,4.27,19.71
BADGERYS CREEK,09/04/2010,3.7,0.0, ,25.2,11.9,97,43,2.50,21.07
BADGERYS CREEK,10/04/2010,3.1,0.0, ,26.7,12.8,99,46,1.42,19.06
BADGERYS CREEK,11/04/2010,4.7,0.0, ,27.8,14.2,99,34,4.13,20.01
BADGERYS CREEK,12/04/2010,4.9,0.0, ,23.6,10.2,64,24,4.01,21.01
BADGERYS CREEK,13/04/2010,3.0,0.0, ,23.0,6.1,93,40,1.70,20.12
BADGERYS CREEK,14/04/2010,3.2,0.0, ,25.1,6.1,99,38,1.55,20.60
BADGERYS CREEK,15/04/2010,3.3,0.0, ,25.4,9.9,98,38,2.04,19.52
BADGERYS CREEK,16/04/2010,2.8,0.0, ,23.6,12.6,99,55,2.65,16.45
BADGERYS CREEK,17/04/2010,3.1,0.0, ,26.4,12.5,100,49,2.20,18.13
BADGERYS CREEK,18/04/2010,3.0,0.0, ,26.1,12.5,100,49,2.07,17.93
BADGERYS CREEK,19/04/2010,2.8,0.0, ,26.0,14.1,100,57,1.83,17.11
BADGERYS CREEK,20/04/2010,3.2,0.0, ,26.6,13.0,100,46,2.06,18.39
BADGERYS CREEK,21/04/2010,3.5,0.2, ,27.5,11.2,100,40,2.23,19.00
BADGERYS CREEK,22/04/2010,3.7,0.0, ,29.7,11.1,100,31,1.95,18.87
BADGERYS CREEK,23/04/2010,3.4,0.2, ,30.4,11.3,100,32,1.62,18.13
BADGERYS CREEK,24/04/2010,2.9, , ,27.7,13.9,97,45,2.47,11.38
BADGERYS CREEK,25/04/2010, ,2.0, ,23.7,15.7, , , ,12.62
BADGERYS CREEK,26/04/2010,3.3,0.0, ,23.0,7.1,94,32,2.68,18.59
BADGERYS CREEK,27/04/2010,1.7,0.0, ,18.4,4.2,99,53,1.37,11.63
BADGERYS CREEK,28/04/2010,3.2,0.0, ,24.8,4.5,99,31,2.30,18.02
BADGERYS CREEK,29/04/2010,3.4,0.0, ,24.7,5.7,99,34,2.79,17.91
BADGERYS CREEK,30/04/2010, ,0.0, , ,6.5, , , ,10.25
Totals:,,93.7,14.6, ,,,,,, 
