'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BADGERYS CREEK New South Wales for December 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 January 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BADGERYS CREEK,01/12/2011,5.3,2.0, ,21.4,13.4,90,36,3.72,27.91
BADGERYS CREEK,02/12/2011,4.2,0.2, ,20.3,11.6,99,46,3.31,23.38
BADGERYS CREEK,03/12/2011,5.7,0.0, ,24.6,9.3,96,37,1.98,33.69
BADGERYS CREEK,04/12/2011,3.5,0.0, ,22.2,10.3,100,59,2.87,18.61
BADGERYS CREEK,05/12/2011,4.3,6.4, ,19.9,8.7,85,48,3.65,23.56
BADGERYS CREEK,06/12/2011,3.1,0.2, ,18.1,11.3,88,61,1.95,17.53
BADGERYS CREEK,07/12/2011,4.0,0.0, ,21.6,9.1,100,52,2.34,22.93
BADGERYS CREEK,08/12/2011,3.1,15.8, ,20.9,14.6,100,80,1.33,17.89
BADGERYS CREEK,09/12/2011,4.8,11.2, ,24.1,13.5,100,59,2.01,28.26
BADGERYS CREEK,10/12/2011,4.6,0.0, ,24.9,15.2,100,56,1.79,25.26
BADGERYS CREEK,11/12/2011,4.5,0.0, ,28.1,14.5,100,51,1.44,22.53
BADGERYS CREEK,12/12/2011,2.7,15.2, ,19.7,15.9,100,78,2.84,15.62
BADGERYS CREEK,13/12/2011,4.6,3.4, ,22.9,15.7,97,50,2.66,24.90
BADGERYS CREEK,14/12/2011, ,3.0, ,22.1,11.7,100,53,2.60, 
BADGERYS CREEK,15/12/2011,5.0,0.0, ,23.4,14.3,92,50,1.82,28.39
BADGERYS CREEK,16/12/2011,3.7,0.0, ,20.5,10.7,100,58,1.72,22.00
BADGERYS CREEK,17/12/2011,4.8,0.0, ,23.4,14.7,93,48,1.88,26.80
BADGERYS CREEK,18/12/2011,4.6,0.0, ,24.4,12.2,100,50,1.96,25.32
BADGERYS CREEK,19/12/2011,3.3,1.8, ,24.0,16.2,100,75,1.34,17.39
BADGERYS CREEK,20/12/2011,4.2,32.8, ,24.4,16.8,100,59,2.28,21.91
BADGERYS CREEK,21/12/2011,3.9,0.0, ,24.8,17.0,100,61,1.53,20.28
BADGERYS CREEK,22/12/2011,3.5,0.6, ,22.1,16.4,100,71,1.68,19.35
BADGERYS CREEK,23/12/2011,4.8,5.8, ,26.6,17.3,100,64,1.92,25.73
BADGERYS CREEK,24/12/2011,6.1,0.2, ,28.6,17.3,100,54,1.99,32.16
BADGERYS CREEK,25/12/2011,6.2,0.2, ,29.4,16.0,100,52,2.46,32.09
BADGERYS CREEK,26/12/2011,4.6,0.0, ,28.0,17.1,100,53,2.08,22.43
BADGERYS CREEK,27/12/2011,4.4,0.8, ,23.8,18.6,81,56,3.44,19.52
BADGERYS CREEK,28/12/2011,4.8,0.0, ,25.7,16.3,92,48,2.74,22.92
BADGERYS CREEK,29/12/2011,5.2,0.0, ,25.2,14.1,95,45,2.92,26.45
BADGERYS CREEK,30/12/2011,4.2,0.0, ,24.5,13.2,94,45,2.76,19.41
BADGERYS CREEK,31/12/2011,4.1,0.0, ,24.9,12.0,97,57,2.24,21.84
Totals:,,131.8,99.6, ,,,,,, 
