'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BALLINA AIRPORT New South Wales for October 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BALLINA AIRPORT,01/10/2009,5.4,0.0, ,28.2,8.7,98,42,4.06,26.26
BALLINA AIRPORT,02/10/2009,5.5,0.0, ,29.7,12.8,98,45,3.82,25.51
BALLINA AIRPORT,03/10/2009,8.0,0.0, ,33.6,18.0,86,19,5.51,23.98
BALLINA AIRPORT,04/10/2009,3.2,1.6, ,22.8,17.0,97,68,3.97,16.87
BALLINA AIRPORT,05/10/2009,3.4,16.4, ,22.5,15.7,98,73,3.56,20.36
BALLINA AIRPORT,06/10/2009,4.2,1.4, ,23.2,12.1,98,57,2.94,25.66
BALLINA AIRPORT,07/10/2009,5.7,0.0, ,28.9,13.2,98,22,3.59,22.15
BALLINA AIRPORT,08/10/2009,6.0,0.0, ,22.1,7.7,60,33,6.16,27.44
BALLINA AIRPORT,09/10/2009,5.1,0.0, ,21.8,11.9,82,48,6.66,27.11
BALLINA AIRPORT,10/10/2009, , , ,21.2, , , , ,21.95
BALLINA AIRPORT,11/10/2009,3.0,2.0, ,21.5,14.2,99,58,2.39,15.69
BALLINA AIRPORT,12/10/2009,5.1,1.0, ,27.0,8.6,99,48,4.32,26.23
BALLINA AIRPORT,13/10/2009,6.4,2.6, ,31.4,17.0,91,40,4.52,25.94
BALLINA AIRPORT,14/10/2009,8.4,0.0, ,30.1,16.6,79,17,6.61,27.31
BALLINA AIRPORT,15/10/2009,6.4,0.0, ,27.7,8.3,86,22,3.64,28.95
BALLINA AIRPORT,16/10/2009,5.8,0.0, ,28.0,9.0,90,21,2.53,28.89
BALLINA AIRPORT,17/10/2009,5.6,0.0, ,22.6,9.5,89,28,4.23,29.10
BALLINA AIRPORT,18/10/2009,4.4,0.8, ,23.8,11.4,98,54,3.64,25.41
BALLINA AIRPORT,19/10/2009,4.4,4.0, ,23.9,12.8,98,56,2.71,26.24
BALLINA AIRPORT,20/10/2009,4.6,0.0, ,24.3,9.4,99,51,2.24,28.20
BALLINA AIRPORT,21/10/2009,5.5,0.0, ,27.9,10.6,98,48,3.53,29.02
BALLINA AIRPORT,22/10/2009,5.6,0.0, ,27.5,14.2,94,52,4.47,28.92
BALLINA AIRPORT,23/10/2009,5.7,0.0, ,27.8,12.5,97,49,4.15,29.27
BALLINA AIRPORT,24/10/2009,6.4,0.0, ,30.8,14.9,92,44,4.04,28.97
BALLINA AIRPORT,25/10/2009,5.5,0.0, ,27.7,19.0,94,50,4.75,25.17
BALLINA AIRPORT,26/10/2009,3.4,0.0, ,25.6,17.7,96,63,4.23,13.73
BALLINA AIRPORT,27/10/2009,4.8,38.2, ,26.4,19.4,94,63,4.95,23.76
BALLINA AIRPORT,28/10/2009,2.7,32.0, ,22.6,18.6,97,76,2.89,13.33
BALLINA AIRPORT,29/10/2009,4.6,6.2, ,24.9,13.7,99,56,2.71,26.28
BALLINA AIRPORT,30/10/2009,4.8,0.0, ,25.0,14.2,98,56,1.99,27.69
BALLINA AIRPORT,31/10/2009,4.7,0.0, ,26.2,11.7,99,55,1.67,27.14
Totals:,,154.3,106.2, ,,,,,, 
