'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BALLINA AIRPORT New South Wales for June 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 July 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BALLINA AIRPORT,01/06/2011,2.2,12.8, ,21.7,11.6,98,63,3.72,13.13
BALLINA AIRPORT,02/06/2011,2.3,16.2, ,20.6,14.2,98,66,6.16,12.65
BALLINA AIRPORT,03/06/2011,2.2,12.6, ,21.5,12.3,99,55,2.60,15.04
BALLINA AIRPORT,04/06/2011,1.8,0.0, ,22.4,7.2,99,40,0.98,15.23
BALLINA AIRPORT,05/06/2011,1.8,0.0, ,23.2,8.8,99,43,1.02,14.46
BALLINA AIRPORT,06/06/2011,1.9,0.0, ,23.1,9.2,99,48,1.33,14.04
BALLINA AIRPORT,07/06/2011,1.3,0.0, ,18.4,8.8,99,65,1.41,9.59
BALLINA AIRPORT,08/06/2011,1.5,0.0, ,15.9,11.3,90,55,2.44,6.67
BALLINA AIRPORT,09/06/2011,2.2,0.0, ,14.0,6.6,76,40,3.67,10.91
BALLINA AIRPORT,10/06/2011,2.2,0.0, ,18.6,4.9,98,39,2.72,14.96
BALLINA AIRPORT,11/06/2011,1.5,0.0, ,16.0,4.6,98,65,3.78,7.40
BALLINA AIRPORT,12/06/2011,0.8,18.0, ,17.3,12.9,98,93,4.50,5.73
BALLINA AIRPORT,13/06/2011,1.4,6.0, ,18.4,13.5,99,80,6.17,7.75
BALLINA AIRPORT,14/06/2011,2.3,0.8, ,21.3,13.2,97,52,3.85,11.00
BALLINA AIRPORT,15/06/2011,1.2,1.2, ,19.1,9.0,99,65,0.10,13.95
BALLINA AIRPORT,16/06/2011,1.6,0.0, ,19.4,9.3,98,68,3.60,9.16
BALLINA AIRPORT,17/06/2011,2.8,0.0, ,21.1,8.7,92,43,4.02,14.55
BALLINA AIRPORT,18/06/2011,2.2,0.0, ,18.8,7.7,97,37,2.55,14.68
BALLINA AIRPORT,19/06/2011,1.3,0.0, ,19.1,4.2,99,41,0.53,14.55
BALLINA AIRPORT,20/06/2011,1.3,0.0, ,20.3,3.8,99,41,0.58,14.41
BALLINA AIRPORT,21/06/2011,1.8,0.0, ,22.4,5.1,99,39,1.26,14.57
BALLINA AIRPORT,22/06/2011,2.2,0.0, ,18.2,6.5,95,28,2.25,14.82
BALLINA AIRPORT,23/06/2011,1.5,0.0, ,19.4,2.6,99,33,0.92,14.69
BALLINA AIRPORT,24/06/2011,0.9,0.0, ,15.8,4.1,100,62,0.59,6.88
BALLINA AIRPORT,25/06/2011,1.4,7.4, ,20.1,7.5,99,70,0.87,12.83
BALLINA AIRPORT,26/06/2011,1.2,0.2, ,21.3,8.3,99,59,0.13,13.46
BALLINA AIRPORT,27/06/2011,1.5,0.0, ,22.0,6.1,100,44,0.77,14.29
BALLINA AIRPORT,28/06/2011,2.0,0.0, ,21.9,8.2,99,52,2.46,11.07
BALLINA AIRPORT,29/06/2011,2.7,7.2, ,21.0,14.2,96,51,5.57,10.71
BALLINA AIRPORT,30/06/2011,2.8,2.0, ,20.4,14.7,95,50,5.62,12.50
Totals:,,53.8,84.4, ,,,,,, 
