'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BALLINA AIRPORT New South Wales for July 2012,,,,,,,,,,
Issued at 22:38 GMT on Wednesday 01 August 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BALLINA AIRPORT,01/07/2012,2.0,0.0, ,22.1,6.8,100,41,1.79,12.05
BALLINA AIRPORT,02/07/2012,2.4,0.0, ,18.1,5.2,92,38,3.48,12.29
BALLINA AIRPORT,03/07/2012,1.9,0.0, ,17.1,5.4,99,44,2.58,12.35
BALLINA AIRPORT,04/07/2012,2.0,0.0, ,17.6,3.2,99,44,2.67,12.39
BALLINA AIRPORT,05/07/2012,2.2,0.0, ,18.2,8.6,94,60,5.52,11.77
BALLINA AIRPORT,06/07/2012,1.6,19.0, ,17.3,10.3,96,69,4.92,7.38
BALLINA AIRPORT,07/07/2012,1.6,8.0, ,17.6,10.2,97,74,4.33,10.43
BALLINA AIRPORT,08/07/2012,1.8,19.8, ,19.5,9.5,100,56,2.25,12.15
BALLINA AIRPORT,09/07/2012,1.6,0.2, ,19.5,7.6,100,66,1.83,12.24
BALLINA AIRPORT,10/07/2012,1.9,3.0, ,19.7,10.6,98,61,4.38,5.93
BALLINA AIRPORT,11/07/2012,1.7,3.8, ,22.2,14.2,98,74,3.04,9.97
BALLINA AIRPORT,12/07/2012,1.6,1.2, ,22.3,16.4,96,79,4.83,6.86
BALLINA AIRPORT,13/07/2012,2.1,0.8, ,25.8,17.4,95,72,3.99,9.59
BALLINA AIRPORT,14/07/2012,1.4,6.4, ,20.7,15.9,98,65,2.30,4.06
BALLINA AIRPORT,15/07/2012,2.3,0.6, ,19.8,13.9,95,37,2.61,10.57
BALLINA AIRPORT,16/07/2012,2.2,0.0, ,19.1,5.6,91,55,3.49,13.20
BALLINA AIRPORT,17/07/2012,1.6,0.0, ,18.0,8.0,98,62,2.41,9.28
BALLINA AIRPORT,18/07/2012,1.1,0.0, ,19.2,8.1,99,72,0.95,7.17
BALLINA AIRPORT,19/07/2012,2.5,1.6, ,18.6,13.1,98,53,5.49,13.41
BALLINA AIRPORT,20/07/2012,3.4,0.0, ,19.1,10.5,73,49,6.69,12.95
BALLINA AIRPORT,21/07/2012,2.2,1.6, ,19.0,12.5,97,60,6.72,6.21
BALLINA AIRPORT,22/07/2012,1.8,25.6, ,17.7,12.2,95,73,6.21,9.42
BALLINA AIRPORT,23/07/2012,2.0,4.6, ,17.3,11.2,96,66,6.19,10.02
BALLINA AIRPORT,24/07/2012,2.0,11.0, ,18.7,10.6,95,63,4.73,9.12
BALLINA AIRPORT,25/07/2012,2.1,2.4, ,19.9,10.5,96,56,2.66,13.14
BALLINA AIRPORT,26/07/2012,1.8,0.0, ,20.1,10.3,98,61,1.94,11.16
BALLINA AIRPORT,27/07/2012,2.4,0.6, ,22.0,7.7,99,47,2.79,12.54
BALLINA AIRPORT,28/07/2012,2.7,0.8, ,18.5,7.9,92,42,3.91,14.46
BALLINA AIRPORT,29/07/2012,2.3,0.0, ,18.7,5.1,96,41,2.54,14.51
BALLINA AIRPORT,30/07/2012,2.3,0.0, ,18.2,6.7,97,52,3.61,14.39
BALLINA AIRPORT,31/07/2012, ,0.0, , ,6.8,95,53,4.42,14.72
Totals:,,60.5,111, ,,,,,, 
