'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BANKSTOWN AIRPORT New South Wales for July 2011,,,,,,,,,,
Issued at 22:34 GMT on Monday 01 August 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BANKSTOWN AIRPORT,01/07/2011,1.4,1.2, ,16.9,8.9,95,63,2.75,9.55
BANKSTOWN AIRPORT,02/07/2011,1.3,1.2, ,17.9,11.1,95,58,1.64,11.81
BANKSTOWN AIRPORT,03/07/2011,1.8,0.0, ,19.5,4.8,98,43,2.44,11.99
BANKSTOWN AIRPORT,04/07/2011,2.9,0.0, ,20.1,7.7,68,44,4.73,7.84
BANKSTOWN AIRPORT,05/07/2011,3.2,2.2, ,16.8,8.7,64,31,5.48,12.46
BANKSTOWN AIRPORT,06/07/2011,3.1,0.0, ,17.2,6.6,68,34,5.35,12.08
BANKSTOWN AIRPORT,07/07/2011,3.8,0.0, ,16.8,11.6,60,32,6.97,12.45
BANKSTOWN AIRPORT,08/07/2011,1.7,0.0, ,16.5,0.6,93,35,2.23,12.89
BANKSTOWN AIRPORT,09/07/2011,2.8,0.0, ,16.1,3.4,72,36,5.27,12.69
BANKSTOWN AIRPORT,10/07/2011,2.9,0.0, ,16.1,3.3,77,29,5.22,12.83
BANKSTOWN AIRPORT,11/07/2011,2.5,0.0, ,16.8,4.7,78,28,3.64,12.82
BANKSTOWN AIRPORT,12/07/2011,2.6,0.0, ,17.8,1.5,86,33,3.94,12.96
BANKSTOWN AIRPORT,13/07/2011,2.2,0.0, ,12.2,8.4,59,47,4.07,4.60
BANKSTOWN AIRPORT,14/07/2011,2.0,0.0, ,15.0,3.6,84,33,3.04,12.78
BANKSTOWN AIRPORT,15/07/2011,1.6,0.0, ,14.6,4.3,93,53,3.33,11.24
BANKSTOWN AIRPORT,16/07/2011,1.2,2.4, ,16.0,8.0,96,60,1.63,9.43
BANKSTOWN AIRPORT,17/07/2011,1.1,1.0, ,16.7,10.0,96,66,1.29,9.10
BANKSTOWN AIRPORT,18/07/2011,1.6,0.0, ,18.9,6.7,96,48,1.85,11.29
BANKSTOWN AIRPORT,19/07/2011,1.8,0.0, ,14.8,3.0,91,50,3.89,10.34
BANKSTOWN AIRPORT,20/07/2011,2.0,21.4, ,17.0,6.3,93,60,6.43,4.21
BANKSTOWN AIRPORT,21/07/2011,0.8,7.6, ,12.2,10.5,95,86,3.73,3.70
BANKSTOWN AIRPORT,22/07/2011,0.9,50.0, ,12.8,10.7,95,86,3.86,5.49
BANKSTOWN AIRPORT,23/07/2011,1.3,23.6, ,14.8,7.5,92,68,3.05,8.28
BANKSTOWN AIRPORT,24/07/2011,1.4,1.0, ,14.2,3.3,95,47,1.96,10.62
BANKSTOWN AIRPORT,25/07/2011,1.4,0.2, ,17.8,6.0,96,48,1.34,10.88
BANKSTOWN AIRPORT,26/07/2011,1.6,0.0, ,17.6,3.1,96,39,1.68,11.47
BANKSTOWN AIRPORT,27/07/2011,1.5,0.0, ,16.6,4.3,95,54,1.97,11.43
BANKSTOWN AIRPORT,28/07/2011,1.7,0.0, ,18.6,3.9,96,45,1.62,12.94
BANKSTOWN AIRPORT,29/07/2011,1.8,0.0, ,19.7,2.9,96,26,1.34,13.60
BANKSTOWN AIRPORT,30/07/2011,1.8,0.0, ,20.0,3.0,94,30,1.34,13.59
BANKSTOWN AIRPORT,31/07/2011,1.4,0.0, ,19.8,2.1,96,37,0.77,11.31
Totals:,,59.1,111.8, ,,,,,, 
