'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BANKSTOWN AIRPORT New South Wales for April 2013,,,,,,,,,,
Issued at 22:38 GMT on Wednesday 01 May 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BANKSTOWN AIRPORT,01/04/2013,3.5,0.0, ,25.7,16.7,86,50,2.10,18.04
BANKSTOWN AIRPORT,02/04/2013,4.2,0.0, ,26.0,13.1,92,35,2.59,22.23
BANKSTOWN AIRPORT,03/04/2013,1.7,11.2, ,19.4,14.7,94,63,3.02,4.96
BANKSTOWN AIRPORT,04/04/2013,1.8,18.8, ,20.5,14.9,94,75,2.67,8.82
BANKSTOWN AIRPORT,05/04/2013,2.5,1.2, ,22.5,14.9,93,55,2.24,11.75
BANKSTOWN AIRPORT,06/04/2013,2.4,0.2, ,22.1,14.2,94,53,2.01,11.35
BANKSTOWN AIRPORT,07/04/2013,3.0,0.0, ,24.1,12.5,93,53,1.71,18.27
BANKSTOWN AIRPORT,08/04/2013,3.1,0.2, ,24.6,12.4,94,50,2.21,17.23
BANKSTOWN AIRPORT,09/04/2013,2.8,1.8, ,24.0,13.3,93,49,1.45,17.15
BANKSTOWN AIRPORT,10/04/2013,3.4,0.0, ,25.4,12.4,93,44,1.89,20.05
BANKSTOWN AIRPORT,11/04/2013,3.5,0.0, ,27.5,11.9,94,31,1.43,20.30
BANKSTOWN AIRPORT,12/04/2013,3.0,0.0, ,25.6,13.6,91,41,1.60,16.35
BANKSTOWN AIRPORT,13/04/2013,3.4,0.0, ,26.2,11.6,94,40,1.93,19.82
BANKSTOWN AIRPORT,14/04/2013,3.6,0.0, ,29.4,12.4,94,31,1.66,19.52
BANKSTOWN AIRPORT,15/04/2013,3.1,0.0, ,27.5,12.6,93,39,2.27,12.03
BANKSTOWN AIRPORT,16/04/2013,2.1,12.6, ,21.6,16.3,93,66,2.52,9.76
BANKSTOWN AIRPORT,17/04/2013,2.5,1.4, ,22.6,12.3,91,55,2.33,13.21
BANKSTOWN AIRPORT,18/04/2013,2.7,0.0, ,23.4,13.5,93,53,2.50,15.04
BANKSTOWN AIRPORT,19/04/2013,4.0,2.6, ,20.9,11.5,86,36,5.94,16.18
BANKSTOWN AIRPORT,20/04/2013,2.3,20.2, ,19.0,11.8,93,58,5.22,6.53
BANKSTOWN AIRPORT,21/04/2013,2.7,6.2, ,21.3,9.1,89,41,1.93,17.96
BANKSTOWN AIRPORT,22/04/2013,3.2,0.8, ,24.6,12.0,92,33,2.34,17.03
BANKSTOWN AIRPORT,23/04/2013,3.1,0.0, ,24.7,7.8,92,34,2.24,17.06
BANKSTOWN AIRPORT,24/04/2013,3.0,0.0, ,22.6,8.4,90,29,2.15,17.97
BANKSTOWN AIRPORT,25/04/2013,2.7,0.0, ,21.7,8.6,89,43,2.19,17.68
BANKSTOWN AIRPORT,26/04/2013,2.8,0.0, ,26.0,7.1,92,32,1.49,17.27
BANKSTOWN AIRPORT,27/04/2013,3.0,0.0, ,26.0,10.2,92,34,1.96,17.11
BANKSTOWN AIRPORT,28/04/2013,2.9,0.0, ,28.1,9.6,94,26,1.39,17.09
BANKSTOWN AIRPORT,29/04/2013,2.7,0.0, ,26.5,10.6,90,44,1.77,16.13
BANKSTOWN AIRPORT,30/04/2013, ,0.0, , ,15.1,94,64,1.77,9.25
Totals:,,84.7,77.2, ,,,,,, 
