'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BANKSTOWN AIRPORT New South Wales for August 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 September 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BANKSTOWN AIRPORT,01/08/2013,2.0,0.0, ,19.3,5.3,92,39,1.81,15.24
BANKSTOWN AIRPORT,02/08/2013,2.1,0.2, ,19.7,5.0,95,33,1.94,13.76
BANKSTOWN AIRPORT,03/08/2013,2.7,0.0, ,18.5,5.8,83,30,2.92,15.49
BANKSTOWN AIRPORT,04/08/2013,3.1,0.0, ,18.7,7.1,78,29,3.77,15.59
BANKSTOWN AIRPORT,05/08/2013,3.2,0.0, ,20.2,4.4,80,32,3.76,16.02
BANKSTOWN AIRPORT,06/08/2013,4.0,0.0, ,23.6,9.1,75,27,4.26,15.00
BANKSTOWN AIRPORT,07/08/2013,2.6,0.4, ,18.9,8.2,89,29,2.67,15.18
BANKSTOWN AIRPORT,08/08/2013,1.7,8.6, ,14.8,8.9,95,58,3.65,7.94
BANKSTOWN AIRPORT,09/08/2013, ,0.6, ,18.5,5.3,81,36,2.37, 
BANKSTOWN AIRPORT,10/08/2013,2.8,0.0, ,23.2,4.9,90,29,1.91,17.09
BANKSTOWN AIRPORT,11/08/2013,2.2,0.0, ,22.1,2.8,93,21,1.02,17.24
BANKSTOWN AIRPORT,12/08/2013,4.9,0.0, ,25.9,5.8,91,20,5.08,12.38
BANKSTOWN AIRPORT,13/08/2013,3.6,0.0, ,21.6,4.1,67,24,3.14,17.77
BANKSTOWN AIRPORT,14/08/2013,4.2,0.0, ,23.4,4.6,87,20,3.94,17.77
BANKSTOWN AIRPORT,15/08/2013,3.8,0.0, ,18.9,8.4,81,22,4.40,18.12
BANKSTOWN AIRPORT,16/08/2013,3.3,0.0, ,21.0,1.6,92,23,2.62,18.47
BANKSTOWN AIRPORT,17/08/2013,4.0,0.0, ,24.4,9.3,89,23,3.86,15.91
BANKSTOWN AIRPORT,18/08/2013,4.2,0.0, ,22.5,4.0,81,21,3.91,18.61
BANKSTOWN AIRPORT,19/08/2013,4.5,0.0, ,20.7,8.5,59,25,5.32,17.08
BANKSTOWN AIRPORT,20/08/2013,4.2,0.0, ,15.7,5.3,63,25,6.46,19.37
BANKSTOWN AIRPORT,21/08/2013,3.4,0.0, ,16.7,4.8,70,31,4.27,18.57
BANKSTOWN AIRPORT,22/08/2013,2.8,0.0, ,18.2,1.0,91,33,3.08,15.36
BANKSTOWN AIRPORT,23/08/2013,3.8,0.0, ,19.0,7.7,61,35,5.28,11.42
BANKSTOWN AIRPORT,24/08/2013,3.4,0.0, ,22.3,9.7,89,35,2.88,19.04
BANKSTOWN AIRPORT,25/08/2013,3.0,0.0, ,24.2,5.8,93,28,1.39,19.78
BANKSTOWN AIRPORT,26/08/2013,3.1,0.0, ,21.4,6.8,83,29,2.17,18.78
BANKSTOWN AIRPORT,27/08/2013,2.8,0.0, ,21.8,8.0,92,45,2.00,19.02
BANKSTOWN AIRPORT,28/08/2013,3.4,0.0, ,23.4,6.9,96,32,2.42,19.84
BANKSTOWN AIRPORT,29/08/2013,2.7,0.0, ,22.3,7.0,94,45,2.13,14.99
BANKSTOWN AIRPORT,30/08/2013,4.8,0.0, ,28.3,11.1,92,21,3.15,20.60
BANKSTOWN AIRPORT,31/08/2013,3.6,0.0, ,24.3,10.8,83,25,2.39,18.67
Totals:,,99.9,9.8, ,,,,,, 
