'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BANKSTOWN AIRPORT New South Wales for August 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BANKSTOWN AIRPORT,01/08/2014,4.4,0.0, ,19.0,13.2,66,19,6.28,11.37
BANKSTOWN AIRPORT,02/08/2014,2.8,0.0, ,15.9,4.1,73,27,3.79,13.21
BANKSTOWN AIRPORT,03/08/2014,1.7,0.0, ,17.1,2.9,84,35,1.56,11.64
BANKSTOWN AIRPORT,04/08/2014,2.0,0.0, ,19.3,2.7,88,40,1.90,12.87
BANKSTOWN AIRPORT,05/08/2014,2.1,0.0, ,20.0,3.6,93,24,1.69,13.42
BANKSTOWN AIRPORT,06/08/2014,2.4,0.0, ,21.2,1.2,93,28,1.99,13.64
BANKSTOWN AIRPORT,07/08/2014,2.4,0.0, ,19.7,3.1,80,33,2.41,12.21
BANKSTOWN AIRPORT,08/08/2014,1.5,0.0, ,18.1,5.5,92,55,1.43,10.15
BANKSTOWN AIRPORT,09/08/2014,2.1,0.2, ,22.2,4.4,98,28,1.37,13.04
BANKSTOWN AIRPORT,10/08/2014,3.0,0.2, ,22.4,4.9,90,23,2.81,10.14
BANKSTOWN AIRPORT,11/08/2014,2.2,0.0, ,15.0,2.6,85,35,3.14,10.43
BANKSTOWN AIRPORT,12/08/2014,1.9,1.0, ,15.5,5.9,91,56,3.35,10.57
BANKSTOWN AIRPORT,13/08/2014,2.2,5.8, ,16.3,5.9,87,36,2.39,13.95
BANKSTOWN AIRPORT,14/08/2014,2.1,0.0, ,18.2,3.6,88,41,2.01,13.48
BANKSTOWN AIRPORT,15/08/2014,2.1,0.0, ,18.8,4.5,91,41,1.77,13.77
BANKSTOWN AIRPORT,16/08/2014,1.3,0.0, ,17.2,4.4,94,62,1.40,7.67
BANKSTOWN AIRPORT,17/08/2014,1.4,22.2, ,16.0,9.1,94,73,3.63,5.68
BANKSTOWN AIRPORT,18/08/2014,1.3,57.8, ,14.8,11.0,95,77,6.13,4.70
BANKSTOWN AIRPORT,19/08/2014,2.4,47.0, ,18.2,12.0,94,57,5.72,8.45
BANKSTOWN AIRPORT,20/08/2014,2.5,1.8, ,16.3,9.0,84,49,4.29,12.34
BANKSTOWN AIRPORT,21/08/2014,2.3,0.0, ,18.1,7.7,89,52,3.38,11.96
BANKSTOWN AIRPORT,22/08/2014,2.3,0.2, ,19.1,9.4,91,51,2.44,13.15
BANKSTOWN AIRPORT,23/08/2014,1.7,0.0, ,19.1,7.6,94,58,1.67,9.32
BANKSTOWN AIRPORT,24/08/2014,2.0,0.6, ,19.6,8.5,96,49,1.32,14.20
BANKSTOWN AIRPORT,25/08/2014,2.5,0.0, ,21.5,6.8,95,41,1.83,14.96
BANKSTOWN AIRPORT,26/08/2014,1.1,2.4, ,15.5,9.9,94,81,2.71,5.31
BANKSTOWN AIRPORT,27/08/2014,2.5,26.4, ,18.2,12.2,91,60,5.36,12.03
BANKSTOWN AIRPORT,28/08/2014,2.6,12.8, ,18.5,10.7,93,52,4.03,12.45
BANKSTOWN AIRPORT,29/08/2014,2.6,0.8, ,18.5,7.6,88,53,4.61,11.10
BANKSTOWN AIRPORT,30/08/2014,2.2,0.0, ,17.9,11.4,80,63,4.52,5.92
BANKSTOWN AIRPORT,31/08/2014,2.8,0.0, ,21.6,8.8,91,41,2.08,16.71
Totals:,,68.4,179.2, ,,,,,, 
