'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BANKSTOWN AIRPORT New South Wales for May 2016,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 June 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BANKSTOWN AIRPORT,01/05/2016,3.6,4.4, ,28.8,13.5,97,27,3.16,9.44
BANKSTOWN AIRPORT,02/05/2016,2.4,0.0, ,23.1,9.4,86,37,1.82,12.60
BANKSTOWN AIRPORT,03/05/2016,3.5,0.0, ,26.0,7.3,93,26,2.98,15.40
BANKSTOWN AIRPORT,04/05/2016,3.0,0.0, ,25.4,9.6,89,34,2.53,14.94
BANKSTOWN AIRPORT,05/05/2016,2.5,0.0, ,24.5,9.7,94,36,1.75,15.16
BANKSTOWN AIRPORT,06/05/2016,2.6,0.0, ,27.0,9.1,96,30,1.64,14.99
BANKSTOWN AIRPORT,07/05/2016,2.0,0.0, ,25.8,7.7,97,42,1.02,14.51
BANKSTOWN AIRPORT,08/05/2016,1.0,0.0, ,20.9,13.4,96,73,0.44,4.78
BANKSTOWN AIRPORT,09/05/2016,2.2,2.8, ,22.8,16.7,96,45,3.36,4.27
BANKSTOWN AIRPORT,10/05/2016,5.0,0.6, ,25.0,16.7,60,38,6.52,14.36
BANKSTOWN AIRPORT,11/05/2016,3.3,0.0, ,22.5,7.2,80,21,3.23,13.52
BANKSTOWN AIRPORT,12/05/2016,3.6,0.0, ,24.6,10.4,74,35,4.00,13.99
BANKSTOWN AIRPORT,13/05/2016,2.9,0.0, ,25.9,9.7,83,30,2.42,14.31
BANKSTOWN AIRPORT,14/05/2016,2.4,0.0, ,26.8,5.8,96,20,1.48,14.21
BANKSTOWN AIRPORT,15/05/2016,1.7,0.0, ,24.1,6.7,93,35,1.16,7.75
BANKSTOWN AIRPORT,16/05/2016,2.2,0.0, ,25.0,7.1,93,42,1.84,12.16
BANKSTOWN AIRPORT,17/05/2016,3.3,0.0, ,28.5,10.5,93,22,2.58,12.28
BANKSTOWN AIRPORT,18/05/2016,2.1,0.0, ,21.1,8.0,84,34,2.13,9.40
BANKSTOWN AIRPORT,19/05/2016,2.9,0.0, ,23.3,6.4,86,30,2.96,12.06
BANKSTOWN AIRPORT,20/05/2016,2.4,0.0, ,25.8,6.5,94,34,1.98,12.00
BANKSTOWN AIRPORT,21/05/2016,1.5,0.0, ,22.1,10.9,93,53,1.18,9.71
BANKSTOWN AIRPORT,22/05/2016,1.5,0.0, ,24.6,10.5,96,48,0.92,11.64
BANKSTOWN AIRPORT,23/05/2016,3.6,0.0, ,28.3,8.9,96,22,3.20,10.54
BANKSTOWN AIRPORT,24/05/2016,3.4,0.0, ,21.9,6.8,73,23,3.78,11.56
BANKSTOWN AIRPORT,25/05/2016,1.5,0.0, ,21.1,3.4,94,26,1.10,11.46
BANKSTOWN AIRPORT,26/05/2016,2.1,0.4, ,21.7,9.0,91,46,2.97,6.67
BANKSTOWN AIRPORT,27/05/2016,3.8,0.0, ,18.6,9.2,61,30,6.03,11.52
BANKSTOWN AIRPORT,28/05/2016,1.3,0.0, ,15.3,3.8,93,55,2.24,5.10
BANKSTOWN AIRPORT,29/05/2016,2.3,5.8, ,19.0,3.4,90,30,2.87,11.44
BANKSTOWN AIRPORT,30/05/2016,1.9,0.0, ,18.9,4.2,88,33,2.15,11.35
BANKSTOWN AIRPORT,31/05/2016,1.3,0.0, ,18.4,5.7,96,66,2.53,6.39
Totals:,,78.8,14, ,,,,,, 
