'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BANKSTOWN AIRPORT New South Wales for November 2016,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 December 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BANKSTOWN AIRPORT,01/11/2016,5.5,0.0, ,25.0,9.4,85,22,2.64,27.60
BANKSTOWN AIRPORT,02/11/2016,5.9,0.0, ,27.0,8.3,92,21,2.87,28.27
BANKSTOWN AIRPORT,03/11/2016,5.8,0.0, ,28.8,10.2,90,25,2.38,28.14
BANKSTOWN AIRPORT,04/11/2016,7.0,0.0, ,31.6,12.8,95,12,3.08,28.50
BANKSTOWN AIRPORT,05/11/2016,9.4,0.0, ,25.5,19.9,38,14,7.40,28.63
BANKSTOWN AIRPORT,06/11/2016,7.1,0.0, ,26.6,12.9,63,20,4.48,28.76
BANKSTOWN AIRPORT,07/11/2016,6.5,0.0, ,34.4,10.8,83,19,1.99,28.82
BANKSTOWN AIRPORT,08/11/2016,4.3,0.0, ,27.3,14.9,89,37,3.21,14.06
BANKSTOWN AIRPORT,09/11/2016,2.9,1.8, ,23.0,17.4,93,66,3.16,12.47
BANKSTOWN AIRPORT,10/11/2016,5.2,3.2, ,27.9,15.1,97,44,2.64,25.00
BANKSTOWN AIRPORT,11/11/2016,5.2,0.0, ,25.3,16.9,85,56,3.68,26.85
BANKSTOWN AIRPORT,12/11/2016,8.1,6.2, ,36.0,18.2,95,21,4.38,25.59
BANKSTOWN AIRPORT,13/11/2016,8.9,0.0, ,30.0,13.8,84,16,7.16,29.14
BANKSTOWN AIRPORT,14/11/2016,5.7,0.0, ,25.4,16.8,82,32,5.41,18.47
BANKSTOWN AIRPORT,15/11/2016,4.6,0.8, ,23.7,14.6,83,42,3.04,21.39
BANKSTOWN AIRPORT,16/11/2016,5.9,0.0, ,25.3,10.8,89,37,4.04,29.70
BANKSTOWN AIRPORT,17/11/2016,5.8,0.0, ,27.0,15.9,81,40,2.94,27.50
BANKSTOWN AIRPORT,18/11/2016,7.1,0.0, ,36.9,12.9,94,17,2.19,28.62
BANKSTOWN AIRPORT,19/11/2016,5.1,0.0, ,25.1,19.0,83,58,4.59,23.75
BANKSTOWN AIRPORT,20/11/2016,5.9,0.0, ,29.3,19.0,80,44,2.99,25.91
BANKSTOWN AIRPORT,21/11/2016,4.4,0.0, ,31.6,16.9,93,37,2.47,14.30
BANKSTOWN AIRPORT,22/11/2016,6.9,0.0, ,36.6,16.4,89,18,3.08,20.68
BANKSTOWN AIRPORT,23/11/2016,6.3,0.0, ,33.6,17.7,93,35,4.40,18.74
BANKSTOWN AIRPORT,24/11/2016,6.2,2.0, ,24.3,12.2,83,33,4.42,30.66
BANKSTOWN AIRPORT,25/11/2016,6.2,0.0, ,25.9,11.2,95,26,3.47,30.69
BANKSTOWN AIRPORT,26/11/2016,6.7,0.0, ,28.4,14.2,87,30,3.64,29.95
BANKSTOWN AIRPORT,27/11/2016,4.8,0.0, ,25.7,19.3,80,58,5.47,17.91
BANKSTOWN AIRPORT,28/11/2016,5.8,0.0, ,30.6,20.0,83,47,2.93,24.29
BANKSTOWN AIRPORT,29/11/2016,5.2,0.0, ,26.4,18.3,87,54,4.68,23.22
BANKSTOWN AIRPORT,30/11/2016,4.5,0.0, ,27.0,16.6,87,53,2.97,19.63
Totals:,,178.9,14, ,,,,,, 
