'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BATHURST AIRPORT New South Wales for May 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BATHURST AIRPORT,01/05/2009,2.0,0.0, ,17.1,-0.2,99,42,1.55,17.02
BATHURST AIRPORT,02/05/2009,2.2,0.2, ,18.4,-1.3,99,33,1.58,17.32
BATHURST AIRPORT,03/05/2009,1.9,0.0, ,17.7,2.7,99,50,1.80,16.08
BATHURST AIRPORT,04/05/2009,2.1,0.0, ,19.2,2.2,99,34,1.57,16.28
BATHURST AIRPORT,05/05/2009,2.2,0.2, ,19.1,1.0,99,37,1.85,16.71
BATHURST AIRPORT,06/05/2009,2.0,0.0, ,18.4,2.4,99,41,1.65,15.37
BATHURST AIRPORT,07/05/2009,2.1,0.0, ,18.9,1.1,99,32,1.50,16.59
BATHURST AIRPORT,08/05/2009,1.8,0.0, ,18.3,-0.8,99,41,1.23,16.29
BATHURST AIRPORT,09/05/2009,1.9,0.2, ,19.2,2.0,99,37,1.37,14.49
BATHURST AIRPORT,10/05/2009,1.8,0.2, ,15.8,1.8,99,55,2.80,15.38
BATHURST AIRPORT,11/05/2009,2.0,0.0, ,16.6,1.6,99,39,2.07,15.91
BATHURST AIRPORT,12/05/2009,1.5,0.0, ,15.8,-0.2,99,42,1.34,13.65
BATHURST AIRPORT,13/05/2009,1.9,0.0, ,16.0,-0.9,99,37,1.92,15.53
BATHURST AIRPORT,14/05/2009,2.0,0.0, ,13.8,0.6,98,49,4.83,12.83
BATHURST AIRPORT,15/05/2009,2.5,0.0, ,15.9,7.3,75,52,5.31,10.57
BATHURST AIRPORT,16/05/2009,1.9,0.0, ,14.3,9.5,92,63,6.38,10.77
BATHURST AIRPORT,17/05/2009,1.8,0.0, ,15.4,1.7,98,45,2.17,15.48
BATHURST AIRPORT,18/05/2009,2.7,0.0, ,18.0,2.7,90,41,4.64,14.77
BATHURST AIRPORT,19/05/2009,2.6,0.0, ,17.7,10.2,89,43,4.73,11.92
BATHURST AIRPORT,20/05/2009,2.3,0.0, ,16.3,9.7,88,53,5.51,10.49
BATHURST AIRPORT,21/05/2009,2.0,0.0, ,14.0,10.7,93,59,6.68,9.88
BATHURST AIRPORT,22/05/2009,1.7,1.4, ,15.3,10.0,93,70,6.28,10.26
BATHURST AIRPORT,23/05/2009,2.5,0.2, ,18.2,11.3,80,59,6.04,10.71
BATHURST AIRPORT,24/05/2009,2.5,0.0, ,17.8,10.0,78,48,4.41,11.35
BATHURST AIRPORT,25/05/2009,1.9,0.0, ,17.1,11.0,92,53,3.30,11.70
BATHURST AIRPORT,26/05/2009,1.4,0.0, ,17.7,2.6,99,55,1.65,11.55
BATHURST AIRPORT,27/05/2009,0.8,1.0, ,12.8,7.3,99,94,1.62,7.85
BATHURST AIRPORT,28/05/2009,1.2,3.0, ,13.8,6.8,99,61,1.91,10.70
BATHURST AIRPORT,29/05/2009,1.2,0.0, ,13.2,4.9,99,62,2.60,10.51
BATHURST AIRPORT,30/05/2009,1.6,0.0, ,13.9,1.0,95,54,3.46,12.93
BATHURST AIRPORT,31/05/2009,1.4,0.0, ,12.5,6.8,88,65,4.20,9.21
Totals:,,59.4,6.4, ,,,,,, 
