'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BATHURST AIRPORT New South Wales for July 2013,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 August 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BATHURST AIRPORT,01/07/2013,1.5,0.2, ,14.9,-1.8,99,43,2.28,12.69
BATHURST AIRPORT,02/07/2013,1.5,0.2, ,14.7,0.7,99,51,2.66,13.14
BATHURST AIRPORT,03/07/2013,1.3,0.0, ,16.2,-4.4,99,39,1.37,13.17
BATHURST AIRPORT,04/07/2013,2.0,0.2, ,16.0,-1.7,99,49,4.70,12.23
BATHURST AIRPORT,05/07/2013,2.0,0.0, ,12.0,5.7,88,44,5.29,11.36
BATHURST AIRPORT,06/07/2013,1.5,0.0, ,10.1,-3.8,99,44,3.11,13.51
BATHURST AIRPORT,07/07/2013,1.1,0.2, ,11.3,-3.2,99,52,1.85,10.86
BATHURST AIRPORT,08/07/2013,1.3,0.0, ,12.2,-4.7,99,46,1.86,13.31
BATHURST AIRPORT,09/07/2013,1.4,0.0, ,12.7,-4.4,99,45,2.52,12.30
BATHURST AIRPORT,10/07/2013,1.1,0.2, ,12.1,1.0,99,62,2.84,7.79
BATHURST AIRPORT,11/07/2013,1.1,0.2, ,14.6,-2.1,100,55,1.20,10.91
BATHURST AIRPORT,12/07/2013,0.9,0.2, ,13.7,-0.4,100,73,1.76,8.61
BATHURST AIRPORT,13/07/2013,1.2,1.2, ,15.8,2.4,100,54,1.21,10.82
BATHURST AIRPORT,14/07/2013,1.3,0.2, ,16.8,0.2,100,56,1.77,8.90
BATHURST AIRPORT,15/07/2013,0.7,3.0, ,12.6,3.6,100,86,1.74,4.22
BATHURST AIRPORT,16/07/2013,0.7,3.6, ,13.3,8.9,100,92,2.40,5.35
BATHURST AIRPORT,17/07/2013,1.5,10.2, ,17.9,8.1,100,62,2.56,12.03
BATHURST AIRPORT,18/07/2013,1.4,1.0, ,16.6,3.9,100,65,2.85,11.18
BATHURST AIRPORT,19/07/2013,1.0,3.6, ,14.0,8.0,100,81,6.24,3.31
BATHURST AIRPORT,20/07/2013,1.8,5.8, ,12.9,3.9,100,55,5.66,11.36
BATHURST AIRPORT,21/07/2013,1.6,1.4, ,10.2,-1.8,99,48,4.13,14.13
BATHURST AIRPORT,22/07/2013,1.7,0.4, ,10.7,0.2,99,45,3.98,12.20
BATHURST AIRPORT,23/07/2013,1.0,0.0, ,8.9,2.7,97,70,3.89,7.49
BATHURST AIRPORT,24/07/2013,1.7,0.0, ,13.6,1.0,99,45,2.25,15.12
BATHURST AIRPORT,25/07/2013,1.5,0.4, ,13.3,-3.3,99,41,1.36,15.36
BATHURST AIRPORT,26/07/2013,1.6,0.0, ,14.0,-4.2,99,30,1.62,14.55
BATHURST AIRPORT,27/07/2013,2.0,0.0, ,16.7,-5.1,98,23,1.54,15.90
BATHURST AIRPORT,28/07/2013,1.8,0.2, ,17.1,-1.1,99,48,2.36,14.38
BATHURST AIRPORT,29/07/2013,2.0,0.0, ,17.8,1.2,97,51,3.13,14.08
BATHURST AIRPORT,30/07/2013,1.8,0.0, ,15.6,5.2,98,46,2.71,10.76
BATHURST AIRPORT,31/07/2013,1.6,0.0, ,16.1,-0.6,99,50,1.80,13.23
Totals:,,44.6,32.4, ,,,,,, 
