'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BATHURST AIRPORT New South Wales for August 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BATHURST AIRPORT,01/08/2014,2.1,0.0, ,9.1,4.9,99,36,7.06,10.81
BATHURST AIRPORT,02/08/2014,1.6,1.4, ,8.8,-0.6,95,41,2.74,14.05
BATHURST AIRPORT,03/08/2014,1.7,0.0, ,11.9,-4.3,99,43,2.85,13.62
BATHURST AIRPORT,04/08/2014,1.5,0.2, ,14.4,-1.6,99,50,1.68,11.79
BATHURST AIRPORT,05/08/2014,1.6,0.0, ,13.6,-2.2,99,41,1.78,14.04
BATHURST AIRPORT,06/08/2014,1.9,0.0, ,14.3,-3.6,99,38,2.26,14.47
BATHURST AIRPORT,07/08/2014,1.7,0.0, ,12.2,0.3,96,52,2.84,14.15
BATHURST AIRPORT,08/08/2014,1.5,0.2, ,15.1,-4.0,99,41,1.09,14.31
BATHURST AIRPORT,09/08/2014,1.8,0.0, ,16.3,-1.9,100,33,1.56,14.08
BATHURST AIRPORT,10/08/2014,2.2,0.0, ,15.6,-2.4,100,38,2.95,12.88
BATHURST AIRPORT,11/08/2014,1.7,0.2, ,10.2,-2.8,99,40,2.55,14.35
BATHURST AIRPORT,12/08/2014,1.6,0.0, ,10.5,-1.1,89,60,4.08,11.40
BATHURST AIRPORT,13/08/2014,2.0,0.0, ,13.7,1.2,90,45,3.21,12.90
BATHURST AIRPORT,14/08/2014,1.9,0.0, ,14.2,-2.6,99,35,1.99,15.25
BATHURST AIRPORT,15/08/2014,2.1,0.0, ,15.6,-1.1,99,43,2.57,13.92
BATHURST AIRPORT,16/08/2014,1.7,0.0, ,14.2,1.7,99,55,3.52,7.90
BATHURST AIRPORT,17/08/2014,1.8,5.4, ,13.2,5.0,99,57,4.56,11.19
BATHURST AIRPORT,18/08/2014,1.9,9.2, ,14.1,5.6,100,61,6.29,10.99
BATHURST AIRPORT,19/08/2014,2.0,0.2, ,14.4,6.8,95,57,4.83,10.23
BATHURST AIRPORT,20/08/2014,2.1,1.0, ,13.7,-0.9,99,42,2.70,15.73
BATHURST AIRPORT,21/08/2014,1.7,0.0, ,13.0,0.6,99,57,3.69,10.77
BATHURST AIRPORT,22/08/2014,1.6,0.0, ,13.8,4.7,99,63,3.52,8.89
BATHURST AIRPORT,23/08/2014,1.8,0.0, ,15.7,1.5,99,53,2.26,10.70
BATHURST AIRPORT,24/08/2014,1.9,1.0, ,16.5,0.8,100,48,1.28,15.88
BATHURST AIRPORT,25/08/2014,2.1,0.0, ,16.1,0.5,100,41,2.00,13.72
BATHURST AIRPORT,26/08/2014,1.8,2.6, ,13.9,3.3,99,58,4.12,9.95
BATHURST AIRPORT,27/08/2014,2.2,0.6, ,14.3,8.0,99,53,5.06,12.39
BATHURST AIRPORT,28/08/2014,2.2,0.0, ,14.7,1.3,99,47,3.51,12.73
BATHURST AIRPORT,29/08/2014,2.4,0.0, ,15.8,-1.4,99,43,2.81,17.09
BATHURST AIRPORT,30/08/2014,1.9,0.2, ,15.0,0.2,99,59,2.92,13.04
BATHURST AIRPORT,31/08/2014,2.3,0.0, ,16.8,0.2,100,40,1.59,17.22
Totals:,,58.3,22.2, ,,,,,, 
