'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BEGA New South Wales for January 2012,,,,,,,,,,
Issued at 22:33 GMT on Wednesday 01 February 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BEGA,01/01/2012,6.1,0.0, ,29.2,12.0,100,45,2.20,32.36
BEGA,02/01/2012,6.3,0.0, ,32.6,13.5,100,47,1.81,31.51
BEGA,03/01/2012,5.8,0.2, ,33.9,16.5,100,47,1.98,26.11
BEGA,04/01/2012,1.9,2.4, ,24.0,16.8,100,59,1.98,5.53
BEGA,05/01/2012,3.0,0.0, ,21.9,15.1,94,59,2.99,12.49
BEGA,06/01/2012,5.9,0.0, ,23.9,14.2,92,36,4.02,30.55
BEGA,07/01/2012,6.1,0.0, ,28.2,10.9,100,42,3.48,30.61
BEGA,08/01/2012,3.4,2.2, ,29.8,17.3,100,57,2.07,13.29
BEGA,09/01/2012,4.5,0.4, ,24.4,16.9,86,56,3.75,21.03
BEGA,10/01/2012,4.8,0.0, ,25.9,10.9,100,42,2.77,23.15
BEGA,11/01/2012,5.8,0.0, ,24.4,10.6,100,26,5.85,22.25
BEGA,12/01/2012,6.4,1.0, ,23.5,11.4,66,37,6.03,27.88
BEGA,13/01/2012,5.7,0.0, ,24.0,14.4,86,41,3.05,30.48
BEGA,14/01/2012,3.5,0.0, ,21.6,12.7,88,53,2.50,17.21
BEGA,15/01/2012,3.2,0.0, ,22.2,13.7,99,51,2.63,14.01
BEGA,16/01/2012,6.4,0.0, ,28.6,10.7,100,44,5.01,30.90
BEGA,17/01/2012,7.1,0.0, ,29.4,14.5,100,38,5.64,31.76
BEGA,18/01/2012,5.9,0.0, ,33.6,14.7,100,38,2.33,25.27
BEGA,19/01/2012,5.1,0.0, ,25.6,16.4,100,52,2.68,27.19
BEGA,20/01/2012,4.1,0.0, ,27.3,15.0,100,50,2.84,17.23
BEGA,21/01/2012,2.1,0.0, ,23.4,19.2,100,76,2.20,8.95
BEGA,22/01/2012,4.2,3.4, ,25.6,16.9,100,51,3.32,19.19
BEGA,23/01/2012,4.8,0.2, ,25.6,17.3,97,51,4.12,22.74
BEGA,24/01/2012,6.5,0.0, ,29.2,11.6,100,37,3.70,30.83
BEGA,25/01/2012,5.6,0.0, ,31.2,13.3,100,37,1.97,26.78
BEGA,26/01/2012,5.7,0.0, ,28.9,14.8,100,52,2.89,29.18
BEGA,27/01/2012,2.0,2.2, ,20.9,17.1,100,80,2.45,9.40
BEGA,28/01/2012,5.8,0.2, ,29.8,14.2,100,48,2.88,28.81
BEGA,29/01/2012,6.7,0.2, ,31.3,14.4,100,42,4.72,28.96
BEGA,30/01/2012,6.9,12.4, ,37.1,18.4,100,33,4.08,20.41
BEGA,31/01/2012,6.4,0.2, ,26.1,17.8,100,32,5.87,28.04
Totals:,,157.7,25, ,,,,,, 
