'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BEGA New South Wales for July 2012,,,,,,,,,,
Issued at 22:38 GMT on Wednesday 01 August 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BEGA,01/07/2012,1.0,0.0, ,17.1,-1.6,100,43,1.23,8.14
BEGA,02/07/2012,1.4,0.0, ,15.2,-1.8,100,61,4.31,7.32
BEGA,03/07/2012,2.3,0.2, ,15.1,8.8,80,50,6.09,7.10
BEGA,04/07/2012,2.0,0.0, ,14.5,7.3,85,50,5.48,8.20
BEGA,05/07/2012,1.1,0.0, ,14.6,3.8,100,62,2.86,6.77
BEGA,06/07/2012,0.8,0.0, ,15.0,-0.9,100,54,1.04,6.12
BEGA,07/07/2012,0.7,0.0, ,16.3,-1.8,100,62,0.82,8.60
BEGA,08/07/2012,0.7,0.0, ,17.0,-2.1,100,71,0.61,8.67
BEGA,09/07/2012,0.7,0.4, ,18.0,0.5,100,66,0.49,8.42
BEGA,10/07/2012,1.2,0.0, ,15.4,-0.5,100,42,1.57,4.02
BEGA,11/07/2012,1.7,2.8, ,20.4,2.5,100,44,2.45,8.29
BEGA,12/07/2012,0.7,0.0, ,11.2,3.9,100,50,0.66,3.78
BEGA,13/07/2012,1.0,0.8, ,20.4,2.9,100,70,1.51,8.24
BEGA,14/07/2012,1.3,0.2, ,19.8,1.5,100,54,1.80,9.01
BEGA,15/07/2012,1.7,0.0, ,18.9,1.0,100,37,2.08,9.21
BEGA,16/07/2012,1.4,0.0, ,18.8,-0.2,100,43,1.58,9.25
BEGA,17/07/2012,1.0,0.0, ,19.0,-0.6,100,50,0.84,9.36
BEGA,18/07/2012,1.1,0.2, ,18.4,0.1,100,52,1.19,8.69
BEGA,19/07/2012,1.1,0.2, ,15.3,-0.3,100,38,1.23,9.58
BEGA,20/07/2012,1.0,0.2, ,18.2,-2.5,100,50,0.94,9.24
BEGA,21/07/2012,1.5,0.0, ,16.4,0.1,100,51,2.51,9.56
BEGA,22/07/2012,1.0,0.0, ,17.6,2.9,100,64,1.20,8.21
BEGA,23/07/2012,1.0,0.0, ,17.3,3.3,100,56,0.87,9.21
BEGA,24/07/2012,0.9,0.0, ,16.5,0.2,100,66,0.96,9.91
BEGA,25/07/2012,1.3,0.0, ,18.5,1.4,100,55,1.46,9.78
BEGA,26/07/2012,1.4,0.2, ,19.8,3.5,100,51,1.65,9.52
BEGA,27/07/2012,1.3,0.0, ,18.1,1.1,100,44,1.18,9.18
BEGA,28/07/2012,2.0,0.0, ,16.7,5.0,100,50,4.84,10.03
BEGA,29/07/2012,2.1,0.0, ,14.6,6.1,98,41,5.02,9.63
BEGA,30/07/2012,2.6,0.0, ,13.7,6.3,75,46,6.86,9.93
BEGA,31/07/2012,1.8,0.0, ,14.3,7.7,85,59,4.42,7.16
Totals:,,40.8,5.2, ,,,,,, 
