'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BEGA New South Wales for January 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 February 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BEGA,01/01/2013,7.0,0.0, ,32.2,10.7,100,33,2.71,32.85
BEGA,02/01/2013,6.3,0.0, ,25.0,17.4,93,33,4.37,30.26
BEGA,03/01/2013,6.1,0.0, ,29.2,9.9,96,34,2.16,31.63
BEGA,04/01/2013,8.3,0.0, ,38.6,13.0,96,24,2.91,31.58
BEGA,05/01/2013,7.5,0.0, ,38.2,14.7,96,35,2.53,30.10
BEGA,06/01/2013,5.8,0.0, ,28.2,15.0,99,56,3.10,30.77
BEGA,07/01/2013,7.4,0.0, ,37.9,15.6,95,53,3.29,30.81
BEGA,08/01/2013,10.0,0.0, ,41.3,15.2,99,14,5.27,19.99
BEGA,09/01/2013,8.4,0.0, ,27.0,15.2,78,20,7.38,30.98
BEGA,10/01/2013,5.4,0.0, ,25.8,9.8,94,48,3.47,28.59
BEGA,11/01/2013,7.9,0.0, ,35.8,14.2,97,24,3.19,30.72
BEGA,12/01/2013,5.2,0.0, ,28.7,15.4,96,46,3.33,22.82
BEGA,13/01/2013,1.4,0.2, ,18.8,16.0,98,82,2.00,5.70
BEGA,14/01/2013,4.3,8.2, ,22.2,12.3,96,51,4.82,21.50
BEGA,15/01/2013,5.8,0.0, ,26.3,6.5,100,32,2.75,30.81
BEGA,16/01/2013,5.5,0.0, ,30.4,11.3,99,30,2.56,23.21
BEGA,17/01/2013,5.9,0.0, ,31.6,11.1,100,48,1.89,30.60
BEGA,18/01/2013,10.3,0.0, ,44.6,17.3,100,13,4.14,25.95
BEGA,19/01/2013,4.3,0.0, ,25.1,18.3,81,45,3.48,15.05
BEGA,20/01/2013,6.0,0.0, ,27.5,15.5,91,44,3.79,28.60
BEGA,21/01/2013,6.1,0.0, ,31.1,13.8,98,45,3.67,27.09
BEGA,22/01/2013,5.1,0.0, ,28.9,16.6,98,55,3.21,23.72
BEGA,23/01/2013,4.4,0.0, ,26.2,17.9,88,46,3.17,17.93
BEGA,24/01/2013,5.8,0.0, ,31.3,15.1,96,51,3.05,26.59
BEGA,25/01/2013,6.7,0.0, ,34.1,15.6,97,36,4.12,23.55
BEGA,26/01/2013,3.8,0.0, ,29.1,19.7,98,52,2.10,15.54
BEGA,27/01/2013,3.5,2.4, ,29.6,18.7,99,57,2.53,13.21
BEGA,28/01/2013,2.1,5.8, ,23.3,17.4,100,78,3.00,8.82
BEGA,29/01/2013,4.8,31.8, ,25.7,16.6,100,48,4.84,20.94
BEGA,30/01/2013,2.2,1.6, ,20.7,12.4,97,63,2.13,9.09
BEGA,31/01/2013,6.5,0.0, ,32.2,16.3,99,34,2.70,29.03
Totals:,,179.8,50, ,,,,,, 
