'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BELLAMBI New South Wales for February 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BELLAMBI,01/02/2009, ,0.0, ,24.6,19.3,94,77,3.16, 
BELLAMBI,02/02/2009, ,0.0, ,26.4,20.7,93,71,6.46, 
BELLAMBI,03/02/2009, ,0.0, ,24.6,19.9,91,75,4.99, 
BELLAMBI,04/02/2009, ,0.0, ,26.3,21.0,92,70,2.99, 
BELLAMBI,05/02/2009, ,0.0, ,26.8,20.3,92,71,3.47, 
BELLAMBI,06/02/2009, ,0.0, ,27.7,20.7,94,70,3.09, 
BELLAMBI,07/02/2009, ,0.0, ,26.5,21.1,89,65,6.07, 
BELLAMBI,08/02/2009, ,0.0, ,25.0,20.0,89,67,6.43, 
BELLAMBI,09/02/2009, ,0.0, ,20.6,19.2,97,81,6.95, 
BELLAMBI,10/02/2009, ,3.2, ,18.8,16.6,96,79,5.38, 
BELLAMBI,11/02/2009, ,1.4, ,21.4,16.8,91,68,8.91, 
BELLAMBI,12/02/2009, ,12.6, ,21.0,14.5,92,64,7.84, 
BELLAMBI,13/02/2009, ,1.4, ,21.3,15.5,87,55,10.17, 
BELLAMBI,14/02/2009, ,0.4, ,20.3,16.7,93,65,8.95, 
BELLAMBI,15/02/2009, ,31.6, ,21.4,16.4,96,78,8.46, 
BELLAMBI,16/02/2009, ,23.2, ,22.1,17.7,90,64,10.57, 
BELLAMBI,17/02/2009, ,7.2, ,22.0,18.0,91,67,7.72, 
BELLAMBI,18/02/2009, ,16.8, ,24.8,18.3,96,65,7.62, 
BELLAMBI,19/02/2009, ,0.0, ,25.6,18.3,89,73,3.53, 
BELLAMBI,20/02/2009, ,5.8, ,24.9,18.5,89,72,3.34, 
BELLAMBI,21/02/2009, ,2.8, ,22.5,19.9,93,79,4.95, 
BELLAMBI,22/02/2009, ,7.6, ,24.4,17.6,91,67,3.34, 
BELLAMBI,23/02/2009, ,0.0, ,25.8,20.4,89,70,7.19, 
BELLAMBI,24/02/2009, ,0.4, ,25.2,20.4,84,58,5.12, 
BELLAMBI,25/02/2009, ,0.0, ,23.8,19.2,89,68,4.86, 
BELLAMBI,26/02/2009, ,0.0, ,22.7,18.3,79,58,6.45, 
BELLAMBI,27/02/2009, ,0.0, ,23.3,17.5,81,56,3.59, 
BELLAMBI,28/02/2009, ,0.0, ,25.1,17.4,85,64,4.75, 
Totals:,, ,114.4, ,,,,,, 
