'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BELLAMBI New South Wales for December 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BELLAMBI,01/12/2009, ,2.2, ,19.0,13.8,83,54,10.78, 
BELLAMBI,02/12/2009, ,7.2, ,20.3,12.7,90,63,4.95, 
BELLAMBI,03/12/2009, ,0.0, ,22.0,15.1,80,56,5.87, 
BELLAMBI,04/12/2009, ,0.0, ,21.1,17.5,82,61,7.15, 
BELLAMBI,05/12/2009, ,0.0, ,22.5,14.8,81,60,3.38, 
BELLAMBI,06/12/2009, ,0.0, ,24.2,18.9,85,65,5.85, 
BELLAMBI,07/12/2009, ,0.0, ,25.6,20.3,89,74,5.73, 
BELLAMBI,08/12/2009, ,0.0, ,25.0,18.5,89,69,7.22, 
BELLAMBI,09/12/2009, ,0.0, ,23.0,16.9,87,65,5.34, 
BELLAMBI,10/12/2009, ,0.0, ,27.2,17.6,88,29,5.58, 
BELLAMBI,11/12/2009, ,0.0, , ,17.9,69,12,5.49, 
BELLAMBI,12/12/2009, , , ,25.3, ,85,38,5.42, 
BELLAMBI,13/12/2009, ,0.0, ,24.5,18.6,85,64,5.67, 
BELLAMBI,14/12/2009, ,1.0, ,21.9,17.4,91,73,3.25, 
BELLAMBI,15/12/2009, ,0.6, ,24.4,17.6,85,72,6.23, 
BELLAMBI,16/12/2009, ,0.0, ,24.9,20.9,90,75,8.07, 
BELLAMBI,17/12/2009, ,0.0, ,28.0,21.1,92,73,7.62, 
BELLAMBI,18/12/2009, ,4.8, ,22.3,19.5,95,76,4.70, 
BELLAMBI,19/12/2009, ,8.2, ,24.7,16.0,86,40,6.01, 
BELLAMBI,20/12/2009, ,0.8, ,23.0,16.2,90,73,4.04, 
BELLAMBI,21/12/2009, ,0.0, ,24.5,17.5,87,66,7.61, 
BELLAMBI,22/12/2009, ,0.0, ,26.5,18.9,89,62,2.44, 
BELLAMBI,23/12/2009, ,0.0, ,26.5,18.8,90,57,4.29, 
BELLAMBI,24/12/2009, ,1.0, ,24.9,21.7,89,42,8.48, 
BELLAMBI,25/12/2009, ,0.0, ,24.2,20.1,92,69,7.34, 
BELLAMBI,26/12/2009, ,12.4, ,19.8,16.1,93,87,5.38, 
BELLAMBI,27/12/2009, ,3.8, ,22.4,16.7,94,77,4.08, 
BELLAMBI,28/12/2009, ,32.6, ,22.5,19.3,95,86,5.69, 
BELLAMBI,29/12/2009, ,1.4, ,23.5,18.2,91,69,5.05, 
BELLAMBI,30/12/2009, ,0.0, ,24.3,17.6,86,61,4.02, 
BELLAMBI,31/12/2009, ,0.0, ,25.6,18.5,91,74,5.40, 
Totals:,, ,76, ,,,,,, 
