'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BELLAMBI New South Wales for May 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BELLAMBI,01/05/2010, ,0.0, ,21.6,15.5,82,65,3.79, 
BELLAMBI,02/05/2010, ,0.0, ,25.1,14.9,86,42,3.60, 
BELLAMBI,03/05/2010, ,0.0, ,21.4,15.9,87,68,3.84, 
BELLAMBI,04/05/2010, ,0.0, ,24.1,17.0,82,53,6.16, 
BELLAMBI,05/05/2010, ,0.0, ,21.3,16.7,73,32,7.54, 
BELLAMBI,06/05/2010, ,0.2, ,20.8,11.4,61,33,5.03, 
BELLAMBI,07/05/2010, ,0.0, ,22.0,11.2,72,34,3.17, 
BELLAMBI,08/05/2010, ,0.0, ,23.0,11.6,76,44,2.56, 
BELLAMBI,09/05/2010, ,0.0, ,23.9,14.7,77,46,4.11, 
BELLAMBI,10/05/2010, ,0.0, ,24.3,16.7,80,47,5.33, 
BELLAMBI,11/05/2010, ,0.0, ,25.9,13.6,85,20,5.20, 
BELLAMBI,12/05/2010, ,0.0, ,17.7,10.5,51,29,6.13, 
BELLAMBI,13/05/2010, ,0.0, ,20.5,10.9,74,34,6.52, 
BELLAMBI,14/05/2010, ,0.0, ,19.5,11.2,70,40,5.63, 
BELLAMBI,15/05/2010, ,0.0, ,20.0,13.3,72,43,5.22, 
BELLAMBI,16/05/2010, ,0.0, ,20.1,12.9,82,61,3.62, 
BELLAMBI,17/05/2010, ,0.8, ,19.5,14.0,87,55,3.94, 
BELLAMBI,18/05/2010, ,9.0, ,17.8,13.0,90,65,5.22, 
BELLAMBI,19/05/2010, ,17.0, ,19.2,13.0,89,58,4.81, 
BELLAMBI,20/05/2010, ,0.0, ,18.9,13.5,85,64,2.54, 
BELLAMBI,21/05/2010, ,0.0, ,18.5,12.5,82,61,5.52, 
BELLAMBI,22/05/2010, ,0.2, ,17.3,12.2,77,53,6.58, 
BELLAMBI,23/05/2010, ,0.0, ,17.7,12.0,75,54,4.71, 
BELLAMBI,24/05/2010, ,0.4, ,20.5,12.0,86,55,2.82, 
BELLAMBI,25/05/2010, ,2.4, ,18.8,14.0,88,68,3.16, 
BELLAMBI,26/05/2010, ,0.4, ,18.7,13.1,95,66,9.33, 
BELLAMBI,27/05/2010, ,43.4, ,17.3,15.0,91,60,6.05, 
BELLAMBI,28/05/2010, ,7.8, ,19.7,12.6,89,67,2.95, 
BELLAMBI,29/05/2010, , , ,17.4,15.2,91,74,5.11, 
BELLAMBI,30/05/2010, ,1.6, ,18.5,13.7,82,55,3.98, 
BELLAMBI,31/05/2010, ,12.4, ,19.2,12.3,96,70,10.41, 
Totals:,, ,95.6, ,,,,,, 
