'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BELLAMBI New South Wales for September 2010,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 October 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BELLAMBI,01/09/2010, ,0.0, ,23.5,13.8,83,39,4.14, 
BELLAMBI,02/09/2010, ,4.0, ,16.0,15.2,93,81,5.97, 
BELLAMBI,03/09/2010, ,8.0, ,16.9,11.6,91,77,4.25, 
BELLAMBI,04/09/2010, ,13.0, ,19.7,12.2,94,53,9.34, 
BELLAMBI,05/09/2010, ,3.6, ,21.3,16.3,64,32,12.34, 
BELLAMBI,06/09/2010, ,0.0, ,20.6,11.4,62,31,5.93, 
BELLAMBI,07/09/2010, ,0.0, ,14.8,10.6,74,55,5.25, 
BELLAMBI,08/09/2010, ,0.0, ,15.6,7.3,80,53,4.01, 
BELLAMBI,09/09/2010, ,0.0, ,20.6,10.0,83,59,4.54, 
BELLAMBI,10/09/2010, ,0.8, ,22.6,12.7,85,37,6.29, 
BELLAMBI,11/09/2010, ,0.0, ,17.8,11.7,72,40,4.62, 
BELLAMBI,12/09/2010, ,0.0, ,20.0,9.6,79,38,4.45, 
BELLAMBI,13/09/2010, ,0.0, ,23.2,13.9,77,26,4.48, 
BELLAMBI,14/09/2010, ,20.8, ,16.0,13.2,94,51,8.04, 
BELLAMBI,15/09/2010, ,51.8, ,19.4,12.5,92,26,4.62, 
BELLAMBI,16/09/2010, ,0.0, ,20.0,12.1,57,22,7.85, 
BELLAMBI,17/09/2010, ,0.0, ,16.7,9.8,69,33,4.88, 
BELLAMBI,18/09/2010, ,0.0, ,18.2,10.6,73,44,3.47, 
BELLAMBI,19/09/2010, ,0.0, ,17.6,9.4,85,58,3.51, 
BELLAMBI,20/09/2010, ,0.0, ,18.5,9.4,85,72,3.77, 
BELLAMBI,21/09/2010, ,0.0, ,17.8,13.3,85,66,6.17, 
BELLAMBI,22/09/2010, ,0.4, ,19.7,11.9,90,66,4.16, 
BELLAMBI,23/09/2010, ,2.6, ,18.8,12.7,91,75,3.67, 
BELLAMBI,24/09/2010, ,0.0, ,20.9,13.6,90,67,3.23, 
BELLAMBI,25/09/2010, ,0.0, ,24.1,14.0,82,24,3.00, 
BELLAMBI,26/09/2010, ,0.0, ,20.4,13.0,86,46,3.01, 
BELLAMBI,27/09/2010, ,0.0, ,27.0,14.1,74,24,4.09, 
BELLAMBI,28/09/2010, ,0.0, ,25.4,12.3,72,17,4.20, 
BELLAMBI,29/09/2010, ,0.0, ,15.7,11.9,74,41,5.70, 
BELLAMBI,30/09/2010, ,0.6, ,16.0,7.5,72,45,3.52, 
Totals:,, ,105.6, ,,,,,, 
