'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BELLAMBI New South Wales for April 2013,,,,,,,,,,
Issued at 22:38 GMT on Wednesday 01 May 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BELLAMBI,01/04/2013,2.1,15.8, ,21.4,16.6,92,78,4.00,10.36
BELLAMBI,02/04/2013,4.0,0.4, ,23.2,15.3,85,49,3.79,21.62
BELLAMBI,03/04/2013,2.6,18.8, ,19.2,15.1,94,66,7.52,10.24
BELLAMBI,04/04/2013,1.7,42.4, ,19.1,15.0,94,80,4.77,7.90
BELLAMBI,05/04/2013,1.9,10.4, ,20.6,15.3,91,74,3.20,8.78
BELLAMBI,06/04/2013,2.3,3.0, ,21.9,15.3,88,70,2.65,12.18
BELLAMBI,07/04/2013,3.0,4.2, ,22.1,14.8,89,67,2.95,18.48
BELLAMBI,08/04/2013,2.9,0.0, ,22.5,14.9,89,67,2.68,17.89
BELLAMBI,09/04/2013,2.7,7.8, ,22.4,16.5,89,68,3.36,14.08
BELLAMBI,10/04/2013,3.5,0.0, ,23.6,15.2,87,64,4.10,20.07
BELLAMBI,11/04/2013,3.8,0.0, ,24.7,17.8,82,59,4.00,19.94
BELLAMBI,12/04/2013,3.1,0.2, ,24.0,17.0,87,66,3.57,16.74
BELLAMBI,13/04/2013,4.4,0.0, ,24.8,18.2,79,53,5.30,19.65
BELLAMBI,14/04/2013,3.6,0.0, ,24.9,18.4,82,52,2.69,19.16
BELLAMBI,15/04/2013,3.2,0.0, ,25.8,18.5,92,47,3.59,11.54
BELLAMBI,16/04/2013,1.9,18.0, ,19.4,15.8,92,79,5.32,8.99
BELLAMBI,17/04/2013,2.7,0.2, ,20.7,14.5,87,69,3.89,16.27
BELLAMBI,18/04/2013,2.4,0.0, ,20.4,15.6,88,70,4.42,13.00
BELLAMBI,19/04/2013,3.9,2.6, ,18.6,11.3,88,44,9.33,16.80
BELLAMBI,20/04/2013,2.2,30.8, ,18.5,12.0,94,65,9.15,3.98
BELLAMBI,21/04/2013,2.5,21.0, ,18.6,11.8,86,61,3.30,16.62
BELLAMBI,22/04/2013,3.4,0.0, ,22.8,13.8,80,38,3.28,16.49
BELLAMBI,23/04/2013,4.1,0.0, ,23.7,14.0,64,40,4.36,17.32
BELLAMBI,24/04/2013,3.2,0.0, ,21.5,14.1,80,40,3.10,17.49
BELLAMBI,25/04/2013,3.2,0.0, ,20.9,13.1,70,43,3.31,17.19
BELLAMBI,26/04/2013,3.9,0.0, ,24.7,15.5,67,37,3.67,16.97
BELLAMBI,27/04/2013,3.6,0.0, ,23.0,15.4,73,47,4.13,16.85
BELLAMBI,28/04/2013,4.5,0.0, ,28.7,17.5,61,23,3.24,16.48
BELLAMBI,29/04/2013,2.8,0.0, ,22.5,16.1,87,30,2.11,15.35
BELLAMBI,30/04/2013,1.9,0.0, ,21.1,17.3,88,76,3.87,9.16
Totals:,,91,175.6, ,,,,,, 
