'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BELLAMBI New South Wales for October 2013,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 November 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BELLAMBI,01/10/2013,9.2,0.0, ,31.1,19.2,54,18,7.92,20.40
BELLAMBI,02/10/2013,6.3,0.0, ,24.9,10.7,63,26,4.26,28.54
BELLAMBI,03/10/2013,4.3,0.0, ,17.6,13.4,71,43,6.50,17.94
BELLAMBI,04/10/2013,5.1,0.0, ,20.3,10.3,71,42,4.48,28.66
BELLAMBI,05/10/2013,6.5,0.0, ,28.3,11.7,80,17,3.79,27.15
BELLAMBI,06/10/2013,7.5,0.0, ,28.1,19.5,78,17,4.95,28.61
BELLAMBI,07/10/2013,4.2,0.0, ,18.0,14.9,82,57,6.93,23.73
BELLAMBI,08/10/2013,3.6,2.4, ,19.3,12.7,84,62,4.27,21.45
BELLAMBI,09/10/2013,6.4,0.0, ,25.4,12.8,80,26,4.25,29.92
BELLAMBI,10/10/2013,11.5,0.0, ,36.3,19.1,79,9,7.75,28.99
BELLAMBI,11/10/2013,5.0,1.4, ,20.5,16.1,86,53,5.01,29.56
BELLAMBI,12/10/2013,6.0,0.0, ,26.4,13.4,85,44,3.89,30.52
BELLAMBI,13/10/2013,10.6,0.0, ,33.8,15.9,91,10,7.79,30.20
BELLAMBI,14/10/2013,4.6,1.4, ,17.5,12.5,73,37,5.75,21.42
BELLAMBI,15/10/2013,5.4,0.0, ,19.9,10.0,66,36,3.43,31.55
BELLAMBI,16/10/2013,7.6,0.0, ,25.6,12.2,72,22,5.95,31.80
BELLAMBI,17/10/2013,12.6,0.0, ,33.0,19.2,33,8,9.55,28.22
BELLAMBI,18/10/2013,6.0,0.0, ,19.4,12.1,70,25,4.94,31.65
BELLAMBI,19/10/2013,5.9,0.0, ,21.7,14.2,77,49,6.15,31.93
BELLAMBI,20/10/2013,5.0,0.0, ,23.4,16.4,86,71,4.02,30.28
BELLAMBI,21/10/2013,5.4,0.0, ,26.9,15.7,88,55,3.11,28.93
BELLAMBI,22/10/2013,2.8,0.0, ,26.0,18.8,87,67,5.36,6.03
BELLAMBI,23/10/2013,9.6,3.0, ,31.0,19.5,80,16,7.73,30.52
BELLAMBI,24/10/2013,6.9,0.0, ,21.4,14.8,67,18,5.43,31.42
BELLAMBI,25/10/2013,5.9,0.0, ,19.9,11.0,65,30,3.70,32.69
BELLAMBI,26/10/2013,5.6,0.0, ,20.3,13.1,65,38,4.72,29.27
BELLAMBI,27/10/2013,5.1,0.0, ,21.5,14.0,79,41,4.86,24.85
BELLAMBI,28/10/2013,3.4,0.0, ,21.7,15.0,85,62,2.83,17.21
BELLAMBI,29/10/2013,4.4,0.0, ,20.9,14.6,86,64,9.59,24.22
BELLAMBI,30/10/2013,5.2,0.2, ,19.7,12.6,75,54,4.84,31.43
BELLAMBI,31/10/2013,4.4,0.0, ,21.3,14.4,90,60,3.45,26.35
Totals:,,192,8.4, ,,,,,, 
