'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BELLAMBI New South Wales for April 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 May 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BELLAMBI,01/04/2015,3.0,9.8, ,25.0,16.8,92,68,4.60,13.40
BELLAMBI,02/04/2015,4.0,0.0, ,27.9,19.6,92,53,5.26,13.21
BELLAMBI,03/04/2015,1.7,16.4, ,19.1,16.8,95,71,5.44,3.46
BELLAMBI,04/04/2015,1.4,32.2, ,19.7,16.0,96,81,6.98,3.26
BELLAMBI,05/04/2015,2.9,4.8, ,22.1,15.6,90,67,3.89,15.72
BELLAMBI,06/04/2015,3.1,0.4, ,24.1,16.9,84,58,3.69,13.17
BELLAMBI,07/04/2015,3.4,3.4, ,21.3,14.3,81,46,4.00,14.02
BELLAMBI,08/04/2015,4.4,1.6, ,20.8,12.6,70,42,7.61,11.44
BELLAMBI,09/04/2015,5.0,0.0, ,20.6,15.9,63,46,8.89,15.31
BELLAMBI,10/04/2015,2.6,0.8, ,19.6,13.7,91,61,5.39,11.10
BELLAMBI,11/04/2015,1.7,17.4, ,20.4,15.3,94,79,2.96,8.42
BELLAMBI,12/04/2015,2.3,0.2, ,20.9,16.2,85,66,5.38,5.22
BELLAMBI,13/04/2015,3.1,0.2, ,19.5,14.6,80,61,5.00,15.46
BELLAMBI,14/04/2015,2.8,0.0, ,21.2,12.7,82,58,2.96,15.45
BELLAMBI,15/04/2015,3.3,0.0, ,26.1,15.8,87,63,4.58,15.18
BELLAMBI,16/04/2015,5.8,0.0, ,31.5,20.0,86,32,5.95,14.13
BELLAMBI,17/04/2015,1.2,12.0, ,21.9,18.5,93,85,3.53,2.86
BELLAMBI,18/04/2015,3.1,12.4, ,25.3,19.0,89,63,6.01,10.28
BELLAMBI,19/04/2015,3.3,5.8, ,21.2,17.1,87,55,7.06,11.24
BELLAMBI,20/04/2015,1.7,9.8, ,17.9,11.4,95,78,14.93,3.37
BELLAMBI,21/04/2015,2.3,75.8, ,17.6,13.5,94,71,18.50,3.92
BELLAMBI,22/04/2015,0.9,81.8, ,18.9,13.8,97,92,11.02,3.68
BELLAMBI,23/04/2015, ,1.4, , ,15.0,95,82,3.24,11.04
BELLAMBI,24/04/2015, , , ,24.3, ,90,53,2.68,12.05
BELLAMBI,25/04/2015,2.9,0.0, ,22.3,14.2,86,51,3.62,13.60
BELLAMBI,26/04/2015,2.3,6.6, ,18.1,12.5,84,63,5.81,6.88
BELLAMBI,27/04/2015,2.9,2.4, ,18.1,11.2,82,47,4.66,14.78
BELLAMBI,28/04/2015,3.2,0.0, ,18.1,13.1,70,52,5.21,14.70
BELLAMBI,29/04/2015,2.0,0.0, ,18.4,12.7,89,69,4.80,9.60
BELLAMBI,30/04/2015,1.6,8.0, ,18.6,14.3,89,74,4.65,3.84
Totals:,,77.9,303.2, ,,,,,, 
