'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BOMBALA New South Wales for January 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BOMBALA,01/01/2014,4.5,0.0, ,22.9,5.6,99,32,5.40,13.42
BOMBALA,02/01/2014,7.4,3.0, ,25.7,12.7,96,26,5.07,36.06
BOMBALA,03/01/2014,3.8,0.0, ,24.0,9.6,99,50,3.28,16.72
BOMBALA,04/01/2014,6.3,0.0, ,23.1,9.1,94,32,4.50,33.95
BOMBALA,05/01/2014,7.9,0.0, ,26.9,4.9,99,18,6.31,33.59
BOMBALA,06/01/2014,5.7,0.0, ,19.7,4.0,99,33,5.89,34.45
BOMBALA,07/01/2014,4.4,0.0, ,17.5,6.9,99,43,5.54,26.67
BOMBALA,08/01/2014,4.9,0.2, ,20.6,2.4,99,42,2.78,31.68
BOMBALA,09/01/2014,4.0,0.0, ,21.4,7.9,99,53,3.00,22.71
BOMBALA,10/01/2014,6.1,0.0, ,28.4,8.9,99,33,2.42,31.14
BOMBALA,11/01/2014,5.3,0.0, ,31.3,11.8,99,25,2.45,19.36
BOMBALA,12/01/2014,6.7,7.4, ,27.7,10.1,99,29,3.19,33.35
BOMBALA,13/01/2014,6.6,0.2, ,29.2,9.5,100,22,2.33,32.90
BOMBALA,14/01/2014,8.1,0.2, ,36.9,9.9,99,14,2.61,32.57
BOMBALA,15/01/2014,8.2,0.0, ,38.1,14.6,87,16,3.08,28.33
BOMBALA,16/01/2014,7.7,1.8, ,36.8,15.0,83,20,2.29,31.50
BOMBALA,17/01/2014,9.9,0.0, ,38.6,12.9,72,7,3.83,32.49
BOMBALA,18/01/2014,6.7,0.0, ,31.6,15.8,97,33,3.84,26.28
BOMBALA,19/01/2014,2.3,4.0, ,20.0,13.3,100,71,3.14,10.38
BOMBALA,20/01/2014,1.4,0.8, ,16.5,12.3,99,76,2.50,4.76
BOMBALA,21/01/2014,4.1,0.0, ,23.2,12.1,96,50,3.12,19.70
BOMBALA,22/01/2014,4.7,0.0, ,21.7,9.5,96,43,3.39,25.37
BOMBALA,23/01/2014,6.1,0.0, ,27.4,6.5,99,40,3.18,32.21
BOMBALA,24/01/2014,1.5,0.0, ,18.1,10.2,99,71,4.27,3.44
BOMBALA,25/01/2014,3.8,20.4, ,17.2,8.1,96,48,6.06,19.99
BOMBALA,26/01/2014,4.8,0.0, ,22.7,4.0,99,43,2.21,29.82
BOMBALA,27/01/2014,6.3,0.0, ,29.7,7.0,99,27,2.37,31.34
BOMBALA,28/01/2014,7.0,0.0, ,33.8,10.1,99,16,2.24,31.48
BOMBALA,29/01/2014,7.2,0.0, ,30.3,13.6,94,27,4.30,30.11
BOMBALA,30/01/2014,8.1,0.0, ,37.2,11.8,99,18,3.51,27.63
BOMBALA,31/01/2014,7.9,0.0, ,35.2,13.3,100,23,3.90,29.17
Totals:,,179.4,38, ,,,,,, 
