'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BOMBALA New South Wales for February 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BOMBALA,01/02/2014,6.4,0.0, ,32.8,15.4,100,33,2.20,29.24
BOMBALA,02/02/2014,6.5,0.0, ,32.8,12.9,100,34,2.43,29.54
BOMBALA,03/02/2014,8.0,0.0, ,39.1,12.8,99,12,3.25,24.52
BOMBALA,04/02/2014,2.2,11.0, ,16.8,10.6,99,65,4.77,9.53
BOMBALA,05/02/2014,2.3,0.4, ,16.2,5.0,99,59,2.26,12.78
BOMBALA,06/02/2014,5.5,0.0, ,26.8,4.8,99,35,2.61,29.71
BOMBALA,07/02/2014,5.9,0.0, ,31.6,8.3,99,24,2.21,26.91
BOMBALA,08/02/2014,6.8,0.0, ,35.6,12.0,89,16,2.71,24.06
BOMBALA,09/02/2014,10.1,0.0, ,36.8,16.6,86,12,6.04,28.62
BOMBALA,10/02/2014,4.4,0.0, ,23.6,10.8,86,46,3.09,22.07
BOMBALA,11/02/2014,4.5,0.0, ,24.0,12.6,97,53,3.49,23.58
BOMBALA,12/02/2014,4.4,0.0, ,26.5,9.0,99,50,2.55,22.82
BOMBALA,13/02/2014,3.5,0.0, ,28.6,10.6,99,33,1.99,11.51
BOMBALA,14/02/2014,3.5,0.0, ,27.6,15.6,98,36,2.05,12.59
BOMBALA,15/02/2014,1.8,5.6, ,24.0,16.0,99,67,2.15,5.66
BOMBALA,16/02/2014,2.3,4.4, ,21.0,16.2,99,61,5.08,5.88
BOMBALA,17/02/2014,4.9,0.0, ,25.3,5.2,99,42,2.40,28.07
BOMBALA,18/02/2014,5.8,0.0, ,29.2,11.1,99,25,2.76,26.64
BOMBALA,19/02/2014,6.8,0.0, ,31.8,13.0,99,23,5.83,16.69
BOMBALA,20/02/2014,5.9,0.0, ,21.9,9.7,95,18,6.04,25.77
BOMBALA,21/02/2014,4.5,0.0, ,21.2,3.8,99,41,3.92,26.44
BOMBALA,22/02/2014,5.1,0.0, ,23.3,7.3,99,31,3.92,26.72
BOMBALA,23/02/2014,4.5,0.0, ,24.1,7.9,99,36,1.93,26.10
BOMBALA,24/02/2014,4.7,0.2, ,26.9,7.7,100,33,2.10,24.69
BOMBALA,25/02/2014,6.1,0.2, ,31.1,7.2,99,15,2.98,23.71
BOMBALA,26/02/2014,1.9,0.0, ,23.0,12.5,99,54,2.74,3.35
BOMBALA,27/02/2014,3.9,0.6, ,21.2,9.3,99,45,3.49,20.60
BOMBALA,28/02/2014,2.0,0.2, ,17.2,9.7,99,66,2.86,9.68
Totals:,,134.2,22.6, ,,,,,, 
