'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BOMBALA New South Wales for July 2014,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BOMBALA,01/07/2014,1.1,0.0, ,8.7,3.4,91,72,7.18,5.40
BOMBALA,02/07/2014,1.1,0.0, ,10.9,5.8,99,65,5.10,8.44
BOMBALA,03/07/2014,1.1,0.0, ,13.3,-2.7,100,43,1.96,9.33
BOMBALA,04/07/2014,1.4,0.2, ,12.6,-3.0,94,46,2.90,7.78
BOMBALA,05/07/2014,1.4,0.0, ,11.0,0.3,93,55,4.80,8.48
BOMBALA,06/07/2014,0.9,0.0, ,9.8,1.8,93,76,5.59,5.43
BOMBALA,07/07/2014,0.9,0.0, ,11.4,5.3,99,77,4.32,7.79
BOMBALA,08/07/2014,0.8,0.0, ,7.9,-1.3,99,64,2.70,8.05
BOMBALA,09/07/2014,1.6,0.0, ,10.0,-1.9,99,51,6.51,7.41
BOMBALA,10/07/2014,2.1,0.0, ,9.8,0.7,89,45,8.88,7.86
BOMBALA,11/07/2014,1.6,0.0, ,11.9,1.8,99,48,4.69,9.61
BOMBALA,12/07/2014,0.7,0.0, ,5.5,-0.8,99,75,4.29,4.70
BOMBALA,13/07/2014,0.9,1.8, ,8.3,0.6,99,67,4.23,9.29
BOMBALA,14/07/2014,0.9,0.0, ,11.2,-3.0,99,62,1.78,8.76
BOMBALA,15/07/2014,0.9,0.0, ,9.8,1.1,99,71,4.10,4.02
BOMBALA,16/07/2014,1.3,0.2, ,12.6,3.5,99,55,3.17,8.49
BOMBALA,17/07/2014,2.1,0.0, ,10.8,-0.2,96,39,7.10,9.68
BOMBALA,18/07/2014,0.9,1.8, ,5.3,-0.9,99,70,7.37,5.16
BOMBALA,19/07/2014,1.0,7.0, ,8.0,0.6,99,69,6.23,8.25
BOMBALA,20/07/2014,0.8,0.0, ,7.8,0.6,99,70,2.32,7.09
BOMBALA,21/07/2014,0.8,0.0, ,8.7,-4.8,99,64,1.49,9.59
BOMBALA,22/07/2014,0.7,0.2, ,9.3,-1.4,100,66,1.03,9.48
BOMBALA,23/07/2014,0.7,0.2, ,11.4,-3.4,100,49,0.54,10.26
BOMBALA,24/07/2014,1.1,0.2, ,12.2,-4.5,99,61,2.38,8.22
BOMBALA,25/07/2014,1.4,0.0, ,14.2,-0.6,99,45,2.35,10.55
BOMBALA,26/07/2014,1.2,0.0, ,12.7,-1.6,99,59,2.46,8.54
BOMBALA,27/07/2014,1.3,0.2, ,12.8,0.3,99,58,3.18,9.15
BOMBALA,28/07/2014,1.8,0.0, ,13.5,-0.5,99,47,4.36,10.99
BOMBALA,29/07/2014,3.3,0.0, ,14.8,1.4,84,33,9.01,10.22
BOMBALA,30/07/2014,2.5,0.0, ,15.4,7.2,84,53,8.11,10.19
BOMBALA,31/07/2014,4.4,0.0, ,16.4,6.6,73,25,10.44,11.39
Totals:,,42.7,11.8, ,,,,,, 
