'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BOMBALA New South Wales for May 2016,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 June 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BOMBALA,01/05/2016,4.1,0.2, ,20.1,8.3,100,28,8.79,12.48
BOMBALA,02/05/2016,2.5,0.0, ,16.4,-1.1,99,29,3.45,14.45
BOMBALA,03/05/2016,3.2,0.0, ,18.4,-0.3,96,34,5.56,13.96
BOMBALA,04/05/2016,2.2,0.0, ,16.8,5.8,100,31,2.76,13.88
BOMBALA,05/05/2016,1.8,0.0, ,19.2,-3.0,100,35,1.44,13.96
BOMBALA,06/05/2016,2.4,0.0, ,21.8,2.3,100,29,2.33,13.81
BOMBALA,07/05/2016,2.3,0.0, ,23.3,0.9,100,24,1.77,13.55
BOMBALA,08/05/2016,1.1,0.2, ,15.7,7.5,100,74,4.28,3.57
BOMBALA,09/05/2016,1.7,3.2, ,19.5,12.6,100,67,6.16,4.23
BOMBALA,10/05/2016,2.7,1.2, ,17.5,9.0,100,51,9.74,10.80
BOMBALA,11/05/2016,3.3,2.0, ,14.8,6.1,74,41,9.59,12.78
BOMBALA,12/05/2016,3.9,0.0, ,19.6,8.8,74,44,9.69,12.44
BOMBALA,13/05/2016,2.5,0.0, ,19.4,9.8,90,48,4.64,12.03
BOMBALA,14/05/2016,3.6,0.0, ,23.1,2.2,92,13,3.76,12.87
BOMBALA,15/05/2016,3.6,0.0, ,21.0,5.3,99,23,5.70,12.74
BOMBALA,16/05/2016,1.9,0.0, ,17.3,-1.6,100,36,2.65,10.05
BOMBALA,17/05/2016,3.7,0.0, ,19.4,5.1,100,22,6.64,10.66
BOMBALA,18/05/2016,1.2,0.0, ,14.1,-4.9,100,43,1.51,10.27
BOMBALA,19/05/2016,2.4,0.2, ,16.4,-1.4,99,50,7.44,10.33
BOMBALA,20/05/2016,2.1,0.0, ,14.5,7.7,100,40,5.34,10.25
BOMBALA,21/05/2016,1.2,0.0, ,17.7,-2.2,100,49,1.40,9.47
BOMBALA,22/05/2016,2.5,0.2, ,22.6,-0.9,100,26,2.62,9.62
BOMBALA,23/05/2016,2.9,0.4, ,15.5,3.8,98,29,7.16,8.36
BOMBALA,24/05/2016,1.8,0.0, ,12.0,2.4,99,55,8.01,9.19
BOMBALA,25/05/2016,1.7,0.0, ,13.9,-0.3,100,32,2.97,8.27
BOMBALA,26/05/2016,0.5,5.6, ,8.6,2.5,100,92,3.98,2.15
BOMBALA,27/05/2016,0.8,7.8, ,7.2,4.4,100,78,10.24,3.64
BOMBALA,28/05/2016,0.7,0.2, ,7.9,0.1,100,78,4.59,4.16
BOMBALA,29/05/2016,1.2,0.2, ,9.9,1.5,99,65,5.89,5.58
BOMBALA,30/05/2016,0.8,0.0, ,11.3,-1.4,100,75,2.52,7.56
BOMBALA,31/05/2016,0.4,0.8, ,8.9,2.2,100,99,1.00,4.32
Totals:,,66.7,22.2, ,,,,,, 
