'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BOURKE AIRPORT New South Wales for June 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 July 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BOURKE AIRPORT,01/06/2011, , , , , , , , ,14.43
BOURKE AIRPORT,02/06/2011, , , ,22.8, ,100,43,2.66,14.74
BOURKE AIRPORT,03/06/2011,2.2,0.0, ,23.7,5.3,96,39,1.73,14.59
BOURKE AIRPORT,04/06/2011,2.8,0.0, ,24.2,4.7,96,28,2.47,14.03
BOURKE AIRPORT,05/06/2011,2.5,0.0, ,23.0,7.1,94,39,2.65,12.00
BOURKE AIRPORT,06/06/2011,1.9,0.0, ,19.9,7.5,91,35,1.71,14.17
BOURKE AIRPORT,07/06/2011,2.4,0.0, ,19.7,5.7,88,34,2.71,13.17
BOURKE AIRPORT,08/06/2011,2.4,0.0, ,15.2,3.0,94,29,3.59,14.40
BOURKE AIRPORT,09/06/2011,2.0,0.0, ,14.4,-2.9,94,31,2.57,14.68
BOURKE AIRPORT,10/06/2011,2.2,0.0, ,16.7,-2.3,95,37,3.04,14.43
BOURKE AIRPORT,11/06/2011,2.8,0.0, ,19.2,2.8,85,32,3.81,14.22
BOURKE AIRPORT,12/06/2011,2.8,0.0, ,19.4,7.9,79,43,4.59,10.25
BOURKE AIRPORT,13/06/2011,1.6,1.2, ,13.7,9.8,93,63,4.42,8.13
BOURKE AIRPORT,14/06/2011,1.9,2.2, ,16.3,7.9,85,59,4.11,9.34
BOURKE AIRPORT,15/06/2011,2.6,0.8, ,18.8,9.2,89,46,4.95,12.98
BOURKE AIRPORT,16/06/2011,1.9,0.2, ,19.8,5.4,93,50,2.47,13.17
BOURKE AIRPORT,17/06/2011,2.8,0.0, ,19.1,1.7,91,34,4.16,14.12
BOURKE AIRPORT,18/06/2011,2.3,0.0, ,17.8,4.5,86,42,3.32,13.90
BOURKE AIRPORT,19/06/2011,1.8,0.0, ,19.5,0.6,98,39,1.78,13.76
BOURKE AIRPORT,20/06/2011,2.3,0.0, ,20.5,1.3,94,33,2.50,13.98
BOURKE AIRPORT,21/06/2011,3.4,0.0, ,21.7,2.7,96,30,4.69,10.77
BOURKE AIRPORT,22/06/2011,2.0,0.0, ,16.5,-1.0,98,39,2.82,13.94
BOURKE AIRPORT,23/06/2011,2.2,0.2, ,19.4,-1.2,95,39,2.66,13.89
BOURKE AIRPORT,24/06/2011,2.1,0.0, ,18.6,-0.2,98,37,2.48,14.10
BOURKE AIRPORT,25/06/2011,2.3,0.0, ,19.6,-0.7,98,32,2.38,14.34
BOURKE AIRPORT,26/06/2011,2.7,0.0, ,23.4,2.9,88,30,2.56,14.02
BOURKE AIRPORT,27/06/2011,2.4,0.0, ,21.6,3.6,94,30,2.54,10.90
BOURKE AIRPORT,28/06/2011,3.0,0.0, ,21.5,4.9,82,29,3.48,13.42
BOURKE AIRPORT,29/06/2011,3.4,0.0, ,21.6,10.0,79,33,4.56,13.39
BOURKE AIRPORT,30/06/2011,3.4,0.0, ,21.6,9.4,80,32,4.64,13.97
Totals:,,68.1,4.6, ,,,,,, 
