'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BOURKE AIRPORT New South Wales for August 2011,,,,,,,,,,
Issued at 22:34 GMT on Thursday 01 September 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BOURKE AIRPORT,01/08/2011,3.7,0.0, ,26.5,4.2,85,13,2.47,15.46
BOURKE AIRPORT,02/08/2011,3.5,0.0, ,28.0,6.0,68,13,2.12,13.06
BOURKE AIRPORT,03/08/2011,4.5,0.0, ,28.9,9.8,53,14,2.99,13.52
BOURKE AIRPORT,04/08/2011, ,0.0, ,26.9,7.4,69,17,4.65, 
BOURKE AIRPORT,05/08/2011,4.7,0.0, ,25.4,7.6,69,30,5.22,12.58
BOURKE AIRPORT,06/08/2011,3.9,0.0, ,23.8,11.0,66,36,4.46,10.60
BOURKE AIRPORT,07/08/2011,3.6,0.0, ,21.4,8.4,78,16,3.32,14.84
BOURKE AIRPORT,08/08/2011,2.7,0.0, ,17.8,1.7,78,35,3.35,12.44
BOURKE AIRPORT,09/08/2011,2.6,0.0, ,17.0,4.7,82,42,3.38,15.00
BOURKE AIRPORT,10/08/2011,2.4,0.0, ,18.2,2.3,96,33,2.94,9.14
BOURKE AIRPORT,11/08/2011,2.0,2.6, ,17.5,4.4,100,44,2.16,12.03
BOURKE AIRPORT,12/08/2011,2.5,0.2, ,21.1,0.9,98,34,1.91,15.88
BOURKE AIRPORT,13/08/2011,3.3,0.0, ,22.2,5.4,92,27,2.99,14.50
BOURKE AIRPORT,14/08/2011,3.7,0.0, ,23.8,6.1,78,20,2.88,15.43
BOURKE AIRPORT,15/08/2011,3.6,0.0, ,23.8,2.7,83,17,2.58,15.13
BOURKE AIRPORT,16/08/2011,4.9,0.0, ,26.6,12.1,54,17,3.66,16.12
BOURKE AIRPORT,17/08/2011,2.8,0.0, ,21.0,14.6,98,34,4.94,2.22
BOURKE AIRPORT,18/08/2011,3.0,3.0, ,17.1,6.0,95,32,3.97,15.71
BOURKE AIRPORT,19/08/2011,2.8,0.0, ,19.0,8.4,90,47,3.90,13.59
BOURKE AIRPORT,20/08/2011,4.1,0.0, ,22.4,7.6,90,31,4.68,17.59
BOURKE AIRPORT,21/08/2011,4.1,0.0, ,22.3,6.3,89,28,4.47,17.87
BOURKE AIRPORT,22/08/2011,4.1,0.0, ,22.9,6.8,89,29,4.15,17.85
BOURKE AIRPORT,23/08/2011,4.0,0.0, ,23.0,6.4,84,27,3.59,18.41
BOURKE AIRPORT,24/08/2011,3.9,0.0, ,25.5,6.3,85,22,2.46,18.76
BOURKE AIRPORT,25/08/2011,4.1,0.0, ,26.4,3.8,86,14,2.33,19.31
BOURKE AIRPORT,26/08/2011,4.5,0.0, ,27.4,3.9,72,13,2.63,19.30
BOURKE AIRPORT,27/08/2011,4.8,0.0, ,27.9,8.6,57,14,2.80,18.43
BOURKE AIRPORT,28/08/2011,4.5,0.0, ,28.7,8.2,95,20,2.84,17.59
BOURKE AIRPORT,29/08/2011,4.9,0.0, ,27.0,6.3,67,13,3.04,19.39
BOURKE AIRPORT,30/08/2011,4.8,0.0, ,24.2,9.0,60,24,3.77,19.52
BOURKE AIRPORT,31/08/2011,4.4,0.0, ,22.7,5.9,68,14,3.04,20.44
Totals:,,112.4,5.8, ,,,,,, 
