'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BOURKE AIRPORT New South Wales for August 2015,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BOURKE AIRPORT,01/08/2015,4.1,0.0, ,26.4,5.2,81,20,3.27,14.23
BOURKE AIRPORT,02/08/2015,5.0,0.0, ,27.3,8.0,73,23,4.71,14.18
BOURKE AIRPORT,03/08/2015,2.5,0.0, ,17.3,2.5,91,40,3.35,14.98
BOURKE AIRPORT,04/08/2015,2.2,0.0, ,15.4,6.4,83,44,3.00,11.17
BOURKE AIRPORT,05/08/2015,2.5,0.0, ,16.4,2.3,84,40,3.40,14.84
BOURKE AIRPORT,06/08/2015,2.6,0.0, ,16.5,5.4,82,37,3.40,14.60
BOURKE AIRPORT,07/08/2015,2.4,0.0, ,17.1,0.4,91,39,2.70,15.36
BOURKE AIRPORT,08/08/2015,2.3,0.0, ,17.2,1.3,95,37,2.41,13.94
BOURKE AIRPORT,09/08/2015,2.4,0.0, ,18.7,0.3,96,33,2.13,15.60
BOURKE AIRPORT,10/08/2015,3.8,0.0, ,23.9,1.6,89,19,3.07,15.75
BOURKE AIRPORT,11/08/2015,3.2,0.0, ,20.7,1.5,82,20,2.65,15.99
BOURKE AIRPORT,12/08/2015,3.3,0.0, ,16.9,3.8,78,35,5.53,13.69
BOURKE AIRPORT,13/08/2015,2.8,0.0, ,17.9,2.8,88,37,3.41,16.19
BOURKE AIRPORT,14/08/2015,2.6,0.0, ,19.0,1.2,93,36,2.45,16.17
BOURKE AIRPORT,15/08/2015,2.8,0.0, ,19.6,2.7,87,36,2.67,15.21
BOURKE AIRPORT,16/08/2015,2.6,0.0, ,19.8,1.0,95,39,2.44,16.28
BOURKE AIRPORT,17/08/2015,2.8,0.0, ,20.1,2.0,92,29,2.38,15.95
BOURKE AIRPORT,18/08/2015,3.1,0.0, ,20.1,3.8,81,32,2.95,15.86
BOURKE AIRPORT,19/08/2015,3.1,0.0, ,20.5,4.2,82,30,2.60,16.70
BOURKE AIRPORT,20/08/2015,3.9,0.0, ,22.5,4.3,78,24,3.55,16.73
BOURKE AIRPORT,21/08/2015,5.4,0.0, ,27.9,8.3,68,21,4.48,14.45
BOURKE AIRPORT,22/08/2015,5.1,0.0, ,30.3,10.9,69,19,3.42,15.57
BOURKE AIRPORT,23/08/2015,3.9,0.0, ,24.2,14.1,93,39,6.09,9.23
BOURKE AIRPORT,24/08/2015,4.6,6.0, ,24.6,13.7,96,31,5.60,17.19
BOURKE AIRPORT,25/08/2015,3.2,0.2, ,19.0,10.7,88,51,4.71,17.30
BOURKE AIRPORT,26/08/2015,2.3,0.0, ,17.7,5.0,97,46,1.93,14.79
BOURKE AIRPORT,27/08/2015,3.2,1.8, ,20.5,10.1,93,32,2.73,17.51
BOURKE AIRPORT,28/08/2015,3.3,0.0, ,19.9,3.4,94,24,2.63,18.23
BOURKE AIRPORT,29/08/2015,3.2,0.0, ,20.4,4.6,90,35,3.29,13.91
BOURKE AIRPORT,30/08/2015,3.2,0.0, ,17.7,3.6,85,30,3.01,18.79
BOURKE AIRPORT,31/08/2015,3.4,0.0, ,19.7,0.3,92,26,3.03,18.73
Totals:,,100.8,8, ,,,,,, 
