'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRAIDWOOD RACECOURSE New South Wales for August 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRAIDWOOD RACECOURSE,01/08/2009,1.9,0.0, ,14.1,-3.7,95,42,3.28,14.22
BRAIDWOOD RACECOURSE,02/08/2009,1.7,0.0, ,12.9,-4.4,95,53,3.62,14.24
BRAIDWOOD RACECOURSE,03/08/2009,4.0,0.0, ,14.9,3.3,87,14,8.34,14.21
BRAIDWOOD RACECOURSE,04/08/2009,2.0,0.0, ,12.6,0.2,92,39,3.84,13.19
BRAIDWOOD RACECOURSE,05/08/2009,1.7,0.0, ,14.2,-5.0,94,45,2.33,13.19
BRAIDWOOD RACECOURSE,06/08/2009,2.2,0.0, ,15.5,1.7,93,42,3.58,13.93
BRAIDWOOD RACECOURSE,07/08/2009,3.0,0.0, ,15.1,6.8,78,38,6.49,12.06
BRAIDWOOD RACECOURSE,08/08/2009,2.1,0.0, ,13.9,-4.5,85,27,2.64,15.23
BRAIDWOOD RACECOURSE,09/08/2009,1.7,0.0, ,16.2,-7.5,93,12,1.13,14.47
BRAIDWOOD RACECOURSE,10/08/2009,1.8,0.0, ,15.6,-6.4,87,27,1.47,13.96
BRAIDWOOD RACECOURSE,11/08/2009,1.5,0.0, ,17.3,1.3,94,48,1.18,10.74
BRAIDWOOD RACECOURSE,12/08/2009,1.7,1.2, ,13.3,-0.2,95,55,3.37,12.70
BRAIDWOOD RACECOURSE,13/08/2009,2.4,0.0, ,16.2,1.8,92,41,3.63,15.26
BRAIDWOOD RACECOURSE,14/08/2009,2.0,0.0, ,16.3,-3.1,96,36,1.92,15.97
BRAIDWOOD RACECOURSE,15/08/2009,2.5,0.2, ,17.4,-3.5,96,34,2.76,16.36
BRAIDWOOD RACECOURSE,16/08/2009,3.9,0.0, ,19.0,3.5,85,32,7.05,13.77
BRAIDWOOD RACECOURSE,17/08/2009,4.3,0.0, ,14.4,8.3,63,24,8.38,16.54
BRAIDWOOD RACECOURSE,18/08/2009,1.8,0.0, ,15.8,-6.3,90,26,1.09,16.73
BRAIDWOOD RACECOURSE,19/08/2009,2.5,0.0, ,17.6,-4.5,94,26,2.17,17.02
BRAIDWOOD RACECOURSE,20/08/2009,2.9,0.0, ,18.3,5.0,74,31,2.92,16.27
BRAIDWOOD RACECOURSE,21/08/2009,2.6,0.0, ,15.7,2.7,90,47,6.14,9.96
BRAIDWOOD RACECOURSE,22/08/2009,2.6,8.4, ,13.6,0.2,88,36,4.42,16.89
BRAIDWOOD RACECOURSE,23/08/2009,3.0,0.8, ,18.6,7.5,87,50,5.50,16.21
BRAIDWOOD RACECOURSE,24/08/2009,3.2,0.0, ,15.5,11.4,81,49,8.78,11.52
BRAIDWOOD RACECOURSE,25/08/2009,3.1,0.8, ,10.3,4.6,77,41,10.38,17.04
BRAIDWOOD RACECOURSE,26/08/2009,2.9,0.6, ,11.2,3.3,79,42,8.00,17.54
BRAIDWOOD RACECOURSE,27/08/2009,4.7,0.0, ,16.6,4.9,76,19,8.88,18.29
BRAIDWOOD RACECOURSE,28/08/2009,4.1,0.0, ,18.8,1.8,71,20,4.91,17.62
BRAIDWOOD RACECOURSE,29/08/2009,2.9,0.0, ,18.2,6.9,88,57,7.13,13.76
BRAIDWOOD RACECOURSE,30/08/2009,3.1,1.6, ,11.6,4.2,84,38,7.98,17.37
BRAIDWOOD RACECOURSE,31/08/2009,3.0,0.0, ,14.1,2.1,84,45,7.03,17.89
Totals:,,82.8,13.6, ,,,,,, 
