'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRAIDWOOD RACECOURSE New South Wales for July 2011,,,,,,,,,,
Issued at 22:34 GMT on Monday 01 August 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRAIDWOOD RACECOURSE,01/07/2011,0.7,0.2, ,12.6,-5.4,96,55,0.55,10.13
BRAIDWOOD RACECOURSE,02/07/2011,0.8,0.2, ,12.7,-4.0,96,61,1.07,11.13
BRAIDWOOD RACECOURSE,03/07/2011,1.6,0.0, ,15.4,-0.7,96,46,3.14,10.47
BRAIDWOOD RACECOURSE,04/07/2011,2.0,1.4, ,12.7,5.3,90,44,5.99,10.70
BRAIDWOOD RACECOURSE,05/07/2011,2.1,0.8, ,8.9,3.7,87,46,9.65,11.25
BRAIDWOOD RACECOURSE,06/07/2011,1.9,0.0, ,10.1,4.6,81,59,8.51,9.37
BRAIDWOOD RACECOURSE,07/07/2011,2.2,0.0, ,10.7,4.5,90,32,6.23,11.04
BRAIDWOOD RACECOURSE,08/07/2011,1.2,0.0, ,11.0,-6.3,96,44,2.35,11.95
BRAIDWOOD RACECOURSE,09/07/2011,1.4,0.0, ,10.9,-2.0,92,49,3.32,11.91
BRAIDWOOD RACECOURSE,10/07/2011,2.3,0.0, ,9.6,2.0,80,38,7.31,11.49
BRAIDWOOD RACECOURSE,11/07/2011,1.6,0.0, ,10.7,-1.5,90,42,4.01,11.83
BRAIDWOOD RACECOURSE,12/07/2011,1.8,0.0, ,12.1,-1.8,93,39,3.93,11.94
BRAIDWOOD RACECOURSE,13/07/2011,1.2,0.0, ,8.8,2.4,92,56,3.78,4.89
BRAIDWOOD RACECOURSE,14/07/2011,1.2,0.0, ,10.1,-3.2,95,41,2.14,11.71
BRAIDWOOD RACECOURSE,15/07/2011,1.0,0.0, ,11.5,-8.0,95,46,1.33,11.61
BRAIDWOOD RACECOURSE,16/07/2011,0.8,0.0, ,10.1,-3.1,95,69,1.27,9.00
BRAIDWOOD RACECOURSE,17/07/2011,0.8,0.6, ,13.4,1.5,95,61,0.52,8.42
BRAIDWOOD RACECOURSE,18/07/2011,1.3,1.0, ,12.3,1.8,95,55,2.66,8.84
BRAIDWOOD RACECOURSE,19/07/2011,0.9,3.6, ,10.4,-6.5,95,75,3.80,6.29
BRAIDWOOD RACECOURSE,20/07/2011,1.2,13.6, ,10.5,3.2,94,69,6.33,5.70
BRAIDWOOD RACECOURSE,21/07/2011,0.8,1.0, ,8.1,6.0,94,86,5.48,7.34
BRAIDWOOD RACECOURSE,22/07/2011,1.0,18.8, ,8.1,5.8,94,77,5.39,8.73
BRAIDWOOD RACECOURSE,23/07/2011,1.2,1.2, ,10.7,1.6,95,57,2.57,11.81
BRAIDWOOD RACECOURSE,24/07/2011,0.7,0.2, ,8.5,-4.5,96,68,0.77,7.06
BRAIDWOOD RACECOURSE,25/07/2011, ,0.6, , ,-0.5,94,54,2.30,7.93
BRAIDWOOD RACECOURSE,26/07/2011, , , ,13.6, ,95,38,1.66,9.55
BRAIDWOOD RACECOURSE,27/07/2011,1.0,1.0, ,13.2,-2.1,95,45,0.75,11.50
BRAIDWOOD RACECOURSE,28/07/2011,1.6,0.0, ,15.2,-2.9,95,25,1.56,12.35
BRAIDWOOD RACECOURSE,29/07/2011,1.3,0.0, ,16.2,-6.2,94,28,0.89,12.75
BRAIDWOOD RACECOURSE,30/07/2011,1.6,0.0, ,15.4,-6.2,96,30,1.71,12.16
BRAIDWOOD RACECOURSE,31/07/2011,1.3,0.0, ,15.3,-0.8,93,50,1.65,5.61
Totals:,,38.5,44.2, ,,,,,, 
