'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRAIDWOOD RACECOURSE New South Wales for April 2016,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 May 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRAIDWOOD RACECOURSE,01/04/2016,3.9,0.0, ,25.0,8.8,95,21,2.49,18.92
BRAIDWOOD RACECOURSE,02/04/2016,3.8,0.0, ,25.6,12.1,92,25,3.19,11.87
BRAIDWOOD RACECOURSE,03/04/2016,1.5,0.0, ,16.3,11.8,92,69,2.80,4.62
BRAIDWOOD RACECOURSE,04/04/2016,1.7,0.0, ,21.1,11.2,94,64,1.44,8.11
BRAIDWOOD RACECOURSE,05/04/2016,3.8,0.0, ,28.1,10.9,97,29,2.32,16.70
BRAIDWOOD RACECOURSE,06/04/2016,6.6,0.0, ,30.3,13.1,76,16,5.52,18.19
BRAIDWOOD RACECOURSE,07/04/2016,2.3,0.0, ,18.8,11.9,93,51,2.49,11.50
BRAIDWOOD RACECOURSE,08/04/2016,1.5,0.0, ,17.4,11.6,84,47,1.09,5.04
BRAIDWOOD RACECOURSE,09/04/2016,2.3,0.0, ,22.3,6.4,97,40,0.93,15.47
BRAIDWOOD RACECOURSE,10/04/2016,3.2,0.2, ,24.6,8.0,97,24,1.96,16.83
BRAIDWOOD RACECOURSE,11/04/2016,2.6,0.2, ,23.1,1.2,96,27,1.23,16.36
BRAIDWOOD RACECOURSE,12/04/2016,2.0,6.0, ,18.9,11.7,94,55,1.98,10.36
BRAIDWOOD RACECOURSE,13/04/2016,1.6,0.0, ,19.0,9.5,96,56,0.82,9.76
BRAIDWOOD RACECOURSE,14/04/2016,2.2,0.0, ,23.6,5.9,97,34,0.73,15.99
BRAIDWOOD RACECOURSE,15/04/2016,2.2,0.0, ,24.9,10.6,97,33,0.96,12.81
BRAIDWOOD RACECOURSE,16/04/2016,1.4,0.6, ,21.3,8.9,97,46,0.66,6.03
BRAIDWOOD RACECOURSE,17/04/2016,1.5,6.4, ,16.7,11.2,96,68,2.60,7.18
BRAIDWOOD RACECOURSE,18/04/2016,1.5,0.0, ,16.6,10.0,97,75,2.04,9.91
BRAIDWOOD RACECOURSE,19/04/2016,1.9,2.8, ,21.6,4.3,97,34,0.49,16.04
BRAIDWOOD RACECOURSE,20/04/2016,2.1,0.2, ,23.5,5.1,97,34,0.62,16.72
BRAIDWOOD RACECOURSE,21/04/2016,2.5,0.0, ,24.9,10.4,97,31,1.37,14.41
BRAIDWOOD RACECOURSE,22/04/2016,1.0,3.4, ,16.3,10.9,96,78,1.25,4.33
BRAIDWOOD RACECOURSE,23/04/2016,2.2,4.6, ,17.1,7.6,93,54,2.83,15.09
BRAIDWOOD RACECOURSE,24/04/2016,1.4,0.0, ,17.1,4.0,96,61,1.61,8.51
BRAIDWOOD RACECOURSE,25/04/2016,1.8,0.0, ,20.5,3.4,97,31,0.71,15.05
BRAIDWOOD RACECOURSE,26/04/2016,1.8,0.4, ,22.4,2.5,97,23,0.64,14.61
BRAIDWOOD RACECOURSE,27/04/2016,2.1,0.0, ,22.6,4.0,97,31,1.16,15.33
BRAIDWOOD RACECOURSE,28/04/2016,2.1,0.0, ,23.5,5.4,97,32,1.17,13.73
BRAIDWOOD RACECOURSE,29/04/2016,2.2,0.0, ,23.7,6.6,92,33,1.64,10.31
BRAIDWOOD RACECOURSE,30/04/2016,2.3,0.4, ,22.5,14.2,95,46,2.22,12.23
Totals:,,69,25.2, ,,,,,, 
