'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRAIDWOOD RACECOURSE New South Wales for September 2016,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 October 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRAIDWOOD RACECOURSE,01/09/2016,2.0,1.8, ,16.9,2.4,96,41,1.10,15.47
BRAIDWOOD RACECOURSE,02/09/2016,1.0,0.0, ,11.5,4.3,96,81,2.71,4.37
BRAIDWOOD RACECOURSE,03/09/2016,2.0,32.8, ,13.8,8.2,97,62,5.83,11.23
BRAIDWOOD RACECOURSE,04/09/2016,2.2,0.2, ,13.8,2.5,93,55,2.39,17.25
BRAIDWOOD RACECOURSE,05/09/2016,2.0, , ,18.0,0.2,97,48,0.71,16.77
BRAIDWOOD RACECOURSE,06/09/2016,2.5,0.0, ,20.7,0.7,97,35,1.06,17.90
BRAIDWOOD RACECOURSE,07/09/2016,1.9,0.0, ,16.6,6.0,97,61,1.33,12.61
BRAIDWOOD RACECOURSE,08/09/2016,2.1,0.2, ,18.9,6.4,97,47,1.32,12.69
BRAIDWOOD RACECOURSE,09/09/2016,2.1,0.0, ,20.4,8.4,97,50,1.71,10.54
BRAIDWOOD RACECOURSE,10/09/2016,1.9,0.6, ,14.2,8.6,93,66,4.01,10.53
BRAIDWOOD RACECOURSE,11/09/2016,2.3,1.6, ,15.0,2.7,96,56,1.91,18.84
BRAIDWOOD RACECOURSE,12/09/2016,2.3,0.2, ,15.5,1.7,95,51,1.57,18.51
BRAIDWOOD RACECOURSE,13/09/2016,1.3,0.0, ,14.6,7.4,97,70,1.72,6.65
BRAIDWOOD RACECOURSE,14/09/2016,2.3,0.2, ,19.0,9.3,96,59,2.44,12.57
BRAIDWOOD RACECOURSE,15/09/2016,2.2,2.6, ,11.0,6.0,89,59,6.96,11.39
BRAIDWOOD RACECOURSE,16/09/2016,2.4,0.0, ,14.3,5.2,91,46,2.79,14.24
BRAIDWOOD RACECOURSE,17/09/2016,2.3,0.0, ,15.7,-0.7,97,42,1.40,16.95
BRAIDWOOD RACECOURSE,18/09/2016,1.3,0.0, ,14.0,2.5,95,68,0.75,7.88
BRAIDWOOD RACECOURSE,19/09/2016,2.7,5.0, ,15.7,4.9,92,56,2.81,19.23
BRAIDWOOD RACECOURSE,20/09/2016,2.3,0.2, ,14.9,1.8,96,46,1.27,17.17
BRAIDWOOD RACECOURSE,21/09/2016,0.9,0.8, ,10.7,8.2,97,82,0.57,4.23
BRAIDWOOD RACECOURSE,22/09/2016,1.7,19.4, ,14.2,3.6,97,63,3.37,7.62
BRAIDWOOD RACECOURSE,23/09/2016,2.7,3.6, ,16.2,8.1,95,53,3.23,16.86
BRAIDWOOD RACECOURSE,24/09/2016,2.8,0.2, ,19.5,1.6,97,47,1.23,19.64
BRAIDWOOD RACECOURSE,25/09/2016,2.5,0.0, ,16.7,9.4,95,50,2.27,13.71
BRAIDWOOD RACECOURSE,26/09/2016,2.8,1.0, ,14.7,2.7,94,43,2.29,20.08
BRAIDWOOD RACECOURSE,27/09/2016,3.1,0.0, ,14.0,3.6,87,33,3.46,17.88
BRAIDWOOD RACECOURSE,28/09/2016,2.7,0.0, ,16.9,-1.3,95,38,1.00,21.65
BRAIDWOOD RACECOURSE,29/09/2016,2.5,11.0, ,14.6,3.2,96,43,3.89,11.29
BRAIDWOOD RACECOURSE,30/09/2016,2.0,8.0, ,11.2,4.7,86,68,5.41,12.95
Totals:,,64.8,89.4, ,,,,,, 
