'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRAIDWOOD RACECOURSE New South Wales for May 2017,,,,,,,,,,
Issued at 06:30 GMT on Thursday 01 June 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRAIDWOOD RACECOURSE,01/05/2017,2.1,0.2, ,19.1,3.2,97,48,2.93,10.95
BRAIDWOOD RACECOURSE,02/05/2017,1.4,0.0, ,16.7,7.0,96,57,2.02,6.73
BRAIDWOOD RACECOURSE,03/05/2017,1.6,0.0, ,13.3,1.4,96,46,2.04,12.95
BRAIDWOOD RACECOURSE,04/05/2017,1.3,0.0, ,16.7,-0.5,97,45,0.84,11.11
BRAIDWOOD RACECOURSE,05/05/2017,1.4,0.0, ,18.2,1.0,97,46,0.76,12.11
BRAIDWOOD RACECOURSE,06/05/2017,1.5,0.0, ,16.7,3.7,97,65,2.99,7.66
BRAIDWOOD RACECOURSE,07/05/2017,1.7,0.0, ,13.7,4.2,91,28,1.73,12.71
BRAIDWOOD RACECOURSE,08/05/2017,1.4,0.0, ,13.8,-3.0,95,49,1.79,9.65
BRAIDWOOD RACECOURSE,09/05/2017,1.3,0.0, ,14.9,-2.5,97,45,1.19,12.19
BRAIDWOOD RACECOURSE,10/05/2017,1.1,0.0, ,17.7,-3.0,97,40,0.49,12.29
BRAIDWOOD RACECOURSE,11/05/2017,1.3,0.2, ,17.1,-2.7,98,35,0.81,11.82
BRAIDWOOD RACECOURSE,12/05/2017,1.0,0.0, ,15.7,1.5,97,48,0.41,10.49
BRAIDWOOD RACECOURSE,13/05/2017,1.1,0.2, ,17.9,3.8,97,48,0.67,8.29
BRAIDWOOD RACECOURSE,14/05/2017,1.2,0.0, ,15.1,8.1,96,70,2.19,7.10
BRAIDWOOD RACECOURSE,15/05/2017,1.4,3.2, ,14.9,6.0,97,55,1.98,10.69
BRAIDWOOD RACECOURSE,16/05/2017,1.3,0.0, ,15.4,2.6,96,43,1.18,11.62
BRAIDWOOD RACECOURSE,17/05/2017,1.0,0.2, ,16.9,-2.4,98,41,0.46,11.20
BRAIDWOOD RACECOURSE,18/05/2017,1.3,0.0, ,17.7,2.3,97,55,1.33,10.26
BRAIDWOOD RACECOURSE,19/05/2017,0.7,0.8, ,14.5,4.2,97,84,1.66,3.95
BRAIDWOOD RACECOURSE,20/05/2017,1.5,15.4, ,18.1,9.3,95,51,1.80,10.74
BRAIDWOOD RACECOURSE,21/05/2017,0.9,0.0, ,17.5,0.6,97,49,0.25,10.02
BRAIDWOOD RACECOURSE,22/05/2017,0.8,0.2, ,17.3,-0.4,97,47,0.11,11.04
BRAIDWOOD RACECOURSE,23/05/2017,1.4,0.2, ,17.8,5.2,97,51,1.75,10.68
BRAIDWOOD RACECOURSE,24/05/2017, ,1.8, , ,7.4,96,47,2.99,10.27
BRAIDWOOD RACECOURSE,25/05/2017, , , ,14.4, ,98,59,0.57,10.92
BRAIDWOOD RACECOURSE,26/05/2017,0.8,0.2, ,16.1,-1.3,98,46,0.38,10.56
BRAIDWOOD RACECOURSE,27/05/2017,0.9,0.0, ,15.9,3.0,97,53,0.61,9.42
BRAIDWOOD RACECOURSE,28/05/2017,1.5,0.0, ,14.0,3.8,97,57,4.23,6.52
BRAIDWOOD RACECOURSE,29/05/2017,1.6,0.0, ,11.4,2.6,91,43,3.51,10.68
BRAIDWOOD RACECOURSE,30/05/2017,1.3,0.0, ,12.6,-3.7,97,50,2.46,10.61
BRAIDWOOD RACECOURSE,31/05/2017,1.6,0.0, ,9.9,2.5,85,43,3.84,10.53
Totals:,,37.4,22.6, ,,,,,, 
