'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BROKEN HILL AIRPORT New South Wales for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BROKEN HILL AIRPORT,01/03/2011,4.2,14.0, ,20.0,14.0,88,53,6.61,21.09
BROKEN HILL AIRPORT,02/03/2011,6.2,0.0, ,24.0,14.0,76,33,5.54,28.58
BROKEN HILL AIRPORT,03/03/2011,5.0,0.0, ,23.0,13.0,74,38,4.84,20.93
BROKEN HILL AIRPORT,04/03/2011,5.5,0.0, ,24.0,13.0,79,41,5.70,24.90
BROKEN HILL AIRPORT,05/03/2011,6.6,0.0, ,25.0,12.0,75,30,5.71,28.90
BROKEN HILL AIRPORT,06/03/2011,8.2,0.0, ,33.0,15.0,62,37,6.39,27.50
BROKEN HILL AIRPORT,07/03/2011,8.1,0.0, ,32.0,18.0,70,30,6.18,27.20
BROKEN HILL AIRPORT,08/03/2011, ,0.2, , ,23.0,100,27,7.02,6.53
BROKEN HILL AIRPORT,09/03/2011, , , ,23.0, ,100,23,5.87,11.71
BROKEN HILL AIRPORT,10/03/2011,4.4,15.0, ,21.0,15.0,100,31,6.53,15.86
BROKEN HILL AIRPORT,11/03/2011,4.1,0.0, ,27.0,15.0,97,65,3.61,21.40
BROKEN HILL AIRPORT,12/03/2011,4.9,0.0, ,31.0,18.0,98,52,2.49,23.82
BROKEN HILL AIRPORT,13/03/2011,6.1,0.0, ,33.0,20.0,96,47,5.01,23.62
BROKEN HILL AIRPORT,14/03/2011,2.6,9.0, ,25.0,20.0,100,84,4.66,14.23
BROKEN HILL AIRPORT,15/03/2011,5.1,7.0, ,31.0,20.0,100,54,2.59,24.77
BROKEN HILL AIRPORT,16/03/2011,4.1,0.2, ,28.0,20.0,97,64,5.03,18.75
BROKEN HILL AIRPORT,17/03/2011,4.0,0.0, ,24.0,18.0,81,53,3.94,16.46
BROKEN HILL AIRPORT,18/03/2011,2.0,0.0, ,19.0,17.0,94,68,2.90,7.78
BROKEN HILL AIRPORT,19/03/2011,2.7,15.0, ,21.0,13.0,99,74,3.97,16.61
BROKEN HILL AIRPORT,20/03/2011,3.0,0.0, ,26.0,14.0,99,72,3.94,15.62
BROKEN HILL AIRPORT,21/03/2011,3.7,1.0, ,25.0,17.0,100,64,6.14,18.82
BROKEN HILL AIRPORT,22/03/2011,2.7,0.0, ,21.0,17.0,94,67,6.21,10.60
BROKEN HILL AIRPORT,23/03/2011,4.0,0.0, ,22.0,12.0,100,48,5.53,20.82
BROKEN HILL AIRPORT,24/03/2011,3.7,0.0, ,21.0,13.0,96,55,6.38,19.05
BROKEN HILL AIRPORT,25/03/2011,3.0,0.0, ,19.0,10.0,94,60,5.84,15.93
BROKEN HILL AIRPORT,26/03/2011,3.8,0.0, ,19.0,8.0,97,50,5.36,24.68
BROKEN HILL AIRPORT,27/03/2011,4.7,0.0, ,25.0,9.0,97,44,4.56,23.93
BROKEN HILL AIRPORT,28/03/2011,4.9,0.0, ,28.0,12.0,91,39,3.73,22.74
BROKEN HILL AIRPORT,29/03/2011,4.2,0.0, ,28.0,16.0,82,46,4.16,13.80
BROKEN HILL AIRPORT,30/03/2011,4.7,0.0, ,27.0,17.0,89,50,4.09,22.99
BROKEN HILL AIRPORT,31/03/2011,4.5,0.0, ,21.0,11.0,84,38,5.14,23.34
Totals:,,130.7,61.4, ,,,,,, 
