'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BROKEN HILL AIRPORT New South Wales for January 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 February 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BROKEN HILL AIRPORT,01/01/2015,10.0,0.0, ,38.6,17.7,30,9,3.62,32.95
BROKEN HILL AIRPORT,02/01/2015,11.7,0.0, ,42.3,21.5,23,7,4.33,33.37
BROKEN HILL AIRPORT,03/01/2015,13.7,0.0, ,41.9,27.9,57,13,7.50,30.63
BROKEN HILL AIRPORT,04/01/2015,5.2,1.2, ,30.7,19.2,92,41,5.21,13.59
BROKEN HILL AIRPORT,05/01/2015,9.5,4.2, ,36.9,19.4,79,22,4.85,30.63
BROKEN HILL AIRPORT,06/01/2015,8.2,0.0, ,36.4,24.6,61,25,4.22,22.82
BROKEN HILL AIRPORT,07/01/2015,9.0,0.0, ,38.8,24.2,50,17,4.46,20.22
BROKEN HILL AIRPORT,08/01/2015,10.9,0.0, ,38.8,28.4,72,16,6.85,24.10
BROKEN HILL AIRPORT,09/01/2015,3.4,0.0, ,26.4,22.5,93,49,5.02,6.04
BROKEN HILL AIRPORT,10/01/2015,1.5,21.6, ,21.4,19.3,95,90,6.76,5.57
BROKEN HILL AIRPORT,11/01/2015,1.8,17.2, ,23.6,19.6,95,89,6.50,7.28
BROKEN HILL AIRPORT,12/01/2015,3.8,0.4, ,29.9,20.5,95,67,4.72,13.76
BROKEN HILL AIRPORT,13/01/2015,8.2,27.0, ,30.5,23.2,93,34,8.20,28.99
BROKEN HILL AIRPORT,14/01/2015,4.8,0.2, ,24.5,15.2,84,47,6.11,16.68
BROKEN HILL AIRPORT,15/01/2015,7.2,0.0, ,26.4,13.4,84,28,5.10,32.85
BROKEN HILL AIRPORT,16/01/2015,7.2,0.0, ,31.9,13.8,82,23,2.78,31.88
BROKEN HILL AIRPORT,17/01/2015,8.3,0.0, ,30.6,17.5,62,26,4.67,32.09
BROKEN HILL AIRPORT,18/01/2015,8.4,0.0, ,28.6,15.9,65,23,5.79,31.89
BROKEN HILL AIRPORT,19/01/2015,8.2,0.0, ,29.9,17.1,49,16,4.30,29.79
BROKEN HILL AIRPORT,20/01/2015,7.0,0.0, ,29.8,17.6,47,21,5.55,10.57
BROKEN HILL AIRPORT,21/01/2015,9.6,0.0, ,33.8,17.9,77,21,6.46,30.33
BROKEN HILL AIRPORT,22/01/2015,8.9,0.0, ,34.8,18.6,73,27,4.97,30.48
BROKEN HILL AIRPORT,23/01/2015,8.5,0.0, ,38.1,22.3,82,22,3.82,27.66
BROKEN HILL AIRPORT,24/01/2015,8.2,3.2, ,33.3,18.6,87,26,4.57,30.70
BROKEN HILL AIRPORT,25/01/2015,8.7,0.0, ,27.2,17.3,64,23,7.16,32.08
BROKEN HILL AIRPORT,26/01/2015,8.3,0.0, ,26.0,12.9,59,20,6.69,32.04
BROKEN HILL AIRPORT,27/01/2015,8.5,0.0, ,26.7,12.5,58,19,6.88,31.79
BROKEN HILL AIRPORT,28/01/2015,9.2,0.0, ,29.3,14.5,53,24,7.31,31.32
BROKEN HILL AIRPORT,29/01/2015,8.9,0.0, ,31.2,15.7,58,18,5.38,31.03
BROKEN HILL AIRPORT,30/01/2015,8.9,0.0, ,29.6,13.3,42,15,5.28,31.45
BROKEN HILL AIRPORT,31/01/2015,8.0,0.0, ,29.4,11.6,57,16,4.45,30.33
Totals:,,243.7,75, ,,,,,, 
