'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BYRON BAY (CAPE BYRON) New South Wales for October 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BYRON BAY (CAPE BYRON),01/10/2009, ,0.0, ,23.3,18.0,80,57,7.42, 
BYRON BAY (CAPE BYRON),02/10/2009, ,0.0, ,24.8,18.1,85,63,7.80, 
BYRON BAY (CAPE BYRON),03/10/2009, ,0.0, ,28.3,19.1,88,49,6.83, 
BYRON BAY (CAPE BYRON),04/10/2009, ,0.2, ,19.6,16.4,99,71,6.53, 
BYRON BAY (CAPE BYRON),05/10/2009, ,1.6, ,21.4,15.0,98,70,5.56, 
BYRON BAY (CAPE BYRON),06/10/2009, ,13.6, ,23.7,15.8,100,57,4.99, 
BYRON BAY (CAPE BYRON),07/10/2009, ,0.2, ,23.4,18.2,79,22,6.65, 
BYRON BAY (CAPE BYRON),08/10/2009, ,0.0, ,20.0,11.9,100,24,9.17, 
BYRON BAY (CAPE BYRON),09/10/2009, ,0.0, , ,12.7,91,51,9.33, 
BYRON BAY (CAPE BYRON),10/10/2009, ,0.0, ,19.2, ,95,57,7.13, 
BYRON BAY (CAPE BYRON),11/10/2009, ,1.4, ,22.6,13.3,92,55,3.58, 
BYRON BAY (CAPE BYRON),12/10/2009, ,0.8, , ,14.1,92,56,7.86, 
BYRON BAY (CAPE BYRON),13/10/2009, , , ,24.3, ,92,69,8.38, 
BYRON BAY (CAPE BYRON),14/10/2009, ,0.0, ,30.2,18.4,74,17,4.84, 
BYRON BAY (CAPE BYRON),15/10/2009, ,0.0, ,26.4,17.0,71,23,5.07, 
BYRON BAY (CAPE BYRON),16/10/2009, ,0.0, ,27.1,17.6,71,22,5.13, 
BYRON BAY (CAPE BYRON),17/10/2009, ,0.0, ,21.2,14.5,72,29,7.39, 
BYRON BAY (CAPE BYRON),18/10/2009, ,0.0, ,22.1,14.5,80,57,6.93, 
BYRON BAY (CAPE BYRON),19/10/2009, ,2.2, ,22.8,14.3,89,53,5.48, 
BYRON BAY (CAPE BYRON),20/10/2009, ,0.0, ,25.9,16.4,72,45,4.44, 
BYRON BAY (CAPE BYRON),21/10/2009, ,0.0, ,23.2,18.0,80,58,6.71, 
BYRON BAY (CAPE BYRON),22/10/2009, ,0.0, ,23.9,18.7,86,60,6.14, 
BYRON BAY (CAPE BYRON),23/10/2009, ,0.0, ,23.6,17.6,88,55,6.14, 
BYRON BAY (CAPE BYRON),24/10/2009, ,0.0, ,24.0,17.9,83,56,6.95, 
BYRON BAY (CAPE BYRON),25/10/2009, ,0.0, ,29.0,19.4,91,53,5.62, 
BYRON BAY (CAPE BYRON),26/10/2009, ,0.0, ,26.6,18.3,90,63,7.14, 
BYRON BAY (CAPE BYRON),27/10/2009, ,3.6, ,28.1,19.4,89,51,6.51, 
BYRON BAY (CAPE BYRON),28/10/2009, ,15.2, ,23.8,18.2,95,62,5.84, 
BYRON BAY (CAPE BYRON),29/10/2009, ,2.6, ,26.8,18.2,74,49,5.24, 
BYRON BAY (CAPE BYRON),30/10/2009, ,0.0, ,25.9,17.3,79,50,3.80, 
BYRON BAY (CAPE BYRON),31/10/2009, ,0.0, ,27.8,16.6,86,49,3.80, 
Totals:,, ,41.4, ,,,,,, 
