'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BYRON BAY (CAPE BYRON) New South Wales for April 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BYRON BAY (CAPE BYRON),01/04/2010, ,10.8, ,26.5, ,94,68,5.82, 
BYRON BAY (CAPE BYRON),02/04/2010, ,11.0, , ,18.3,91,64,8.18, 
BYRON BAY (CAPE BYRON),03/04/2010, ,6.0, ,23.8, ,94,61,7.72, 
BYRON BAY (CAPE BYRON),04/04/2010, ,7.2, ,22.4,17.1,94,64,7.82, 
BYRON BAY (CAPE BYRON),05/04/2010, ,1.4, ,22.9,16.4,86,64,7.00, 
BYRON BAY (CAPE BYRON),06/04/2010, ,0.2, ,24.9,17.3,90,66,3.65, 
BYRON BAY (CAPE BYRON),07/04/2010, ,2.0, ,25.0,18.6,77,59,4.14, 
BYRON BAY (CAPE BYRON),08/04/2010, ,0.0, ,27.4,21.5,86,63,5.13, 
BYRON BAY (CAPE BYRON),09/04/2010, ,0.0, ,24.7,20.6,85,64,5.08, 
BYRON BAY (CAPE BYRON),10/04/2010, ,0.0, ,27.0,19.8,87,64,4.70, 
BYRON BAY (CAPE BYRON),11/04/2010, ,0.0, ,28.6,20.8,89,61,4.02, 
BYRON BAY (CAPE BYRON),12/04/2010, ,0.0, ,25.2,23.3,88,66,6.66, 
BYRON BAY (CAPE BYRON),13/04/2010, ,0.6, ,23.3,21.9,79,48,9.73, 
BYRON BAY (CAPE BYRON),14/04/2010, ,2.2, ,22.6,15.7,93,65,7.56, 
BYRON BAY (CAPE BYRON),15/04/2010, ,13.6, ,23.0,16.6,85,59,6.93, 
BYRON BAY (CAPE BYRON),16/04/2010, ,0.0, ,24.2,17.6,92,41,7.00, 
BYRON BAY (CAPE BYRON),17/04/2010, ,24.0, ,24.1,17.1,91,60,6.22, 
BYRON BAY (CAPE BYRON),18/04/2010, ,6.4, ,24.2,17.4,94,67,6.97, 
BYRON BAY (CAPE BYRON),19/04/2010, ,1.4, ,23.9,18.8,77,56,10.08, 
BYRON BAY (CAPE BYRON),20/04/2010, ,5.8, ,24.1,19.3,91,64,9.32, 
BYRON BAY (CAPE BYRON),21/04/2010, ,1.2, ,24.9,19.0,87,62,6.94, 
BYRON BAY (CAPE BYRON),22/04/2010, ,3.2, ,23.2,17.5,90,65,3.73, 
BYRON BAY (CAPE BYRON),23/04/2010, ,6.8, ,25.2,17.7,92,66,4.11, 
BYRON BAY (CAPE BYRON),24/04/2010, ,0.0, ,26.1,19.7,87,64,4.10, 
BYRON BAY (CAPE BYRON),25/04/2010, ,0.0, ,26.8,21.5,86,64,5.68, 
BYRON BAY (CAPE BYRON),26/04/2010, ,0.0, ,21.0,16.2,75,57,7.95, 
BYRON BAY (CAPE BYRON),27/04/2010, ,0.0, ,23.3,15.7,84,58,4.08, 
BYRON BAY (CAPE BYRON),28/04/2010, ,0.0, ,25.4,17.5,84,58,3.10, 
BYRON BAY (CAPE BYRON),29/04/2010, ,0.0, ,26.2,17.8,86,61,2.79, 
BYRON BAY (CAPE BYRON),30/04/2010, ,0.0, ,24.1,16.9,85,56,6.44, 
Totals:,, ,103.8, ,,,,,, 
