'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BYRON BAY (CAPE BYRON) New South Wales for April 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 May 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BYRON BAY (CAPE BYRON),01/04/2011,3.5,3.0, ,24.4,18.7,96,60,8.93,10.18
BYRON BAY (CAPE BYRON),02/04/2011, ,0.0, , ,18.3,91,55,5.29,23.04
BYRON BAY (CAPE BYRON),03/04/2011, , , ,23.7, ,96,55,7.49,15.46
BYRON BAY (CAPE BYRON),04/04/2011,4.8,0.0, ,24.6,18.1,87,51,9.66,15.72
BYRON BAY (CAPE BYRON),05/04/2011,3.5,26.6, ,22.3,16.9,96,63,11.00,15.24
BYRON BAY (CAPE BYRON),06/04/2011,4.3,8.6, ,23.1,16.2,95,53,8.47,19.20
BYRON BAY (CAPE BYRON),07/04/2011,4.0,10.8, ,23.5,15.8,97,59,9.63,18.93
BYRON BAY (CAPE BYRON),08/04/2011,5.4,0.6, ,24.4,17.8,81,51,10.25,20.53
BYRON BAY (CAPE BYRON),09/04/2011,4.2,4.0, ,24.0,16.0,89,55,5.21,21.24
BYRON BAY (CAPE BYRON),10/04/2011,4.7,0.2, ,26.3,18.3,78,58,5.14,21.94
BYRON BAY (CAPE BYRON),11/04/2011,4.3,0.0, ,26.0,21.0,89,56,5.39,18.43
BYRON BAY (CAPE BYRON),12/04/2011,4.5,4.6, ,25.3,16.7,88,45,4.49,21.10
BYRON BAY (CAPE BYRON),13/04/2011,4.3,0.0, ,24.7,16.8,85,52,4.49,20.99
BYRON BAY (CAPE BYRON),14/04/2011,4.6,0.0, ,26.1,17.6,88,40,3.68,21.73
BYRON BAY (CAPE BYRON),15/04/2011,4.3,0.0, ,25.8,17.4,69,54,3.84,20.26
BYRON BAY (CAPE BYRON),16/04/2011,2.2,0.0, ,18.9,18.4,94,67,6.26,7.12
BYRON BAY (CAPE BYRON),17/04/2011,2.3,0.6, ,21.5,16.1,95,76,8.04,9.94
BYRON BAY (CAPE BYRON),18/04/2011,3.5,14.0, ,22.0,17.9,87,60,9.57,10.13
BYRON BAY (CAPE BYRON),19/04/2011,2.5,8.4, ,21.9,17.5,90,75,5.10,12.39
BYRON BAY (CAPE BYRON),20/04/2011,3.4,13.6, ,24.8,18.2,91,63,3.59,18.17
BYRON BAY (CAPE BYRON),21/04/2011,3.8,0.0, ,27.2,19.6,84,60,3.56,17.66
BYRON BAY (CAPE BYRON),22/04/2011,3.5,0.0, ,26.7,19.0,90,65,3.61,18.06
BYRON BAY (CAPE BYRON),23/04/2011,3.2,0.0, ,23.9,17.8,94,72,6.37,18.14
BYRON BAY (CAPE BYRON),24/04/2011,2.8,9.8, ,23.5,17.5,94,69,6.22,12.52
BYRON BAY (CAPE BYRON),25/04/2011,3.7,2.6, ,23.2,16.7,93,56,6.81,16.60
BYRON BAY (CAPE BYRON),26/04/2011,3.6,5.0, ,21.7,17.7,91,59,10.82,11.41
BYRON BAY (CAPE BYRON),27/04/2011,3.9,7.2, ,21.3,17.1,85,62,13.57,13.57
BYRON BAY (CAPE BYRON),28/04/2011,3.3,4.6, ,21.4,16.6,94,61,9.57,13.60
BYRON BAY (CAPE BYRON),29/04/2011, ,48.0, , ,16.4,96,58,9.75,11.32
BYRON BAY (CAPE BYRON),30/04/2011, , , ,21.3, ,97,80,7.83,16.88
Totals:,,98.1,172.2, ,,,,,, 
