'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BYRON BAY (CAPE BYRON) New South Wales for October 2011,,,,,,,,,,
Issued at 22:34 GMT on Tuesday 01 November 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BYRON BAY (CAPE BYRON),01/10/2011,4.6,0.0, ,20.5,14.9,89,32,6.38,16.84
BYRON BAY (CAPE BYRON),02/10/2011,4.6,7.0, ,19.8,10.9,95,39,8.77,19.77
BYRON BAY (CAPE BYRON),03/10/2011,3.4,3.4, ,18.1,11.0,94,66,10.39,22.39
BYRON BAY (CAPE BYRON),04/10/2011,4.3,0.4, ,18.6,12.3,89,56,10.02,25.91
BYRON BAY (CAPE BYRON),05/10/2011,3.4,0.6, ,19.3,12.6,89,64,5.61,19.34
BYRON BAY (CAPE BYRON),06/10/2011,1.8,2.0, ,18.8,14.8,94,77,3.06,8.07
BYRON BAY (CAPE BYRON),07/10/2011,3.9,6.6, ,24.6,15.3,94,61,3.18,20.98
BYRON BAY (CAPE BYRON),08/10/2011,2.3,0.0, ,21.8,16.5,95,70,4.65,7.69
BYRON BAY (CAPE BYRON),09/10/2011,4.5,10.2, ,24.1,14.8,94,58,4.60,24.40
BYRON BAY (CAPE BYRON),10/10/2011,4.6,0.2, ,22.7,17.8,71,47,5.29,15.13
BYRON BAY (CAPE BYRON),11/10/2011,5.0,0.0, ,25.5,15.4,93,51,4.29,25.88
BYRON BAY (CAPE BYRON),12/10/2011,4.1,0.0, ,25.4,15.9,90,63,5.48,18.25
BYRON BAY (CAPE BYRON),13/10/2011,2.6,0.0, ,21.6,18.1,94,76,5.10,12.27
BYRON BAY (CAPE BYRON),14/10/2011,3.2,20.6, ,22.0,16.2,95,73,4.00,17.67
BYRON BAY (CAPE BYRON),15/10/2011,3.1,17.4, ,25.0,17.6,95,73,5.11,14.15
BYRON BAY (CAPE BYRON),16/10/2011,5.2,10.8, ,25.3,16.1,95,56,5.57,27.72
BYRON BAY (CAPE BYRON),17/10/2011,5.0,0.2, ,20.8,19.8,74,48,11.15,10.32
BYRON BAY (CAPE BYRON),18/10/2011,5.5,0.0, ,21.2,16.7,70,45,9.59,17.43
BYRON BAY (CAPE BYRON),19/10/2011,4.3,0.0, ,21.0,14.3,82,57,7.38,19.82
BYRON BAY (CAPE BYRON),20/10/2011, ,0.2, , ,15.7,76,53,4.86,20.95
BYRON BAY (CAPE BYRON),21/10/2011, , , ,25.7, ,82,54,4.01,25.54
BYRON BAY (CAPE BYRON),22/10/2011,5.0,0.0, ,26.2,17.4,78,56,4.29,22.33
BYRON BAY (CAPE BYRON),23/10/2011,6.3,0.0, ,27.3,18.2,78,45,4.84,27.79
BYRON BAY (CAPE BYRON),24/10/2011,5.7,0.0, ,26.2,15.5,86,56,5.77,28.63
BYRON BAY (CAPE BYRON),25/10/2011,5.5,0.0, ,24.9,19.0,90,60,6.94,28.40
BYRON BAY (CAPE BYRON),26/10/2011,1.9,5.4, ,20.3,18.5,95,84,8.52,8.25
BYRON BAY (CAPE BYRON),27/10/2011,2.6,79.8, ,20.4,15.4,97,75,8.96,12.33
BYRON BAY (CAPE BYRON),28/10/2011,3.1,7.0, ,22.3,16.7,95,62,4.03,13.28
BYRON BAY (CAPE BYRON),29/10/2011,5.1,0.0, ,23.6,16.9,85,63,5.56,28.24
BYRON BAY (CAPE BYRON),30/10/2011,4.7,0.0, ,24.3,20.1,95,70,7.70,26.87
BYRON BAY (CAPE BYRON),31/10/2011,3.3,7.2, ,20.8,18.5,95,60,9.74,10.33
Totals:,,118.6,179, ,,,,,, 
