'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BYRON BAY (CAPE BYRON) New South Wales for September 2015,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BYRON BAY (CAPE BYRON),01/09/2015,4.8,0.0, ,21.7,12.4,71,29,4.96,19.59
BYRON BAY (CAPE BYRON),02/09/2015,4.7,0.0, ,21.5,13.1,74,29,5.20,17.50
BYRON BAY (CAPE BYRON),03/09/2015,5.8,0.8, ,24.5,16.9,91,23,8.04,16.54
BYRON BAY (CAPE BYRON),04/09/2015,4.0,0.0, ,19.3,12.9,82,52,9.28,15.75
BYRON BAY (CAPE BYRON),05/09/2015,3.0,0.0, ,21.2,13.6,91,60,4.41,15.13
BYRON BAY (CAPE BYRON),06/09/2015,3.0,0.2, ,20.7,13.2,86,62,4.25,14.47
BYRON BAY (CAPE BYRON),07/09/2015,3.1,0.2, ,22.5,14.9,89,66,4.70,15.86
BYRON BAY (CAPE BYRON),08/09/2015,4.6,0.0, ,24.4,16.4,85,35,4.46,18.39
BYRON BAY (CAPE BYRON),09/09/2015,4.3,0.0, ,18.8,11.7,86,40,7.04,20.95
BYRON BAY (CAPE BYRON),10/09/2015,3.1,0.0, ,18.5,13.5,90,62,8.35,14.58
BYRON BAY (CAPE BYRON),11/09/2015,3.4,3.4, ,20.0,13.5,87,53,6.87,12.23
BYRON BAY (CAPE BYRON),12/09/2015,3.5,0.0, ,20.5,14.4,83,57,4.64,17.45
BYRON BAY (CAPE BYRON),13/09/2015,3.8,0.0, ,21.0,14.1,87,53,5.11,19.11
BYRON BAY (CAPE BYRON),14/09/2015,3.8,0.0, ,22.1,13.7,80,58,4.90,17.99
BYRON BAY (CAPE BYRON),15/09/2015,4.0,0.0, ,22.2,14.6,83,59,5.39,20.84
BYRON BAY (CAPE BYRON),16/09/2015,4.0,0.0, ,23.5,17.4,87,55,4.99,18.37
BYRON BAY (CAPE BYRON),17/09/2015,2.9,2.0, ,22.6,15.7,90,63,5.44,10.20
BYRON BAY (CAPE BYRON),18/09/2015,2.9,12.6, ,18.7,11.3,95,59,11.15,6.49
BYRON BAY (CAPE BYRON),19/09/2015,3.6,10.4, ,19.6,12.4,91,56,7.69,17.79
BYRON BAY (CAPE BYRON),20/09/2015,2.7,0.8, ,18.6,13.0,93,65,8.23,10.66
BYRON BAY (CAPE BYRON),21/09/2015,3.7,24.6, ,22.3,13.4,91,60,5.08,19.89
BYRON BAY (CAPE BYRON),22/09/2015,5.1,0.0, ,26.3,14.9,87,46,5.59,20.91
BYRON BAY (CAPE BYRON),23/09/2015,3.5,5.6, ,17.0,11.5,93,59,12.64,20.26
BYRON BAY (CAPE BYRON),24/09/2015,5.1,0.6, ,17.6,10.6,62,47,10.79,22.29
BYRON BAY (CAPE BYRON),25/09/2015,3.6,0.0, ,18.0,11.4,92,54,12.14,13.99
BYRON BAY (CAPE BYRON),26/09/2015,2.6,6.0, ,18.0,12.8,94,74,9.43,15.48
BYRON BAY (CAPE BYRON),27/09/2015,3.7,4.4, ,19.3,12.7,89,59,6.44,20.19
BYRON BAY (CAPE BYRON),28/09/2015,4.3,0.2, ,23.3,13.3,86,53,4.42,21.51
BYRON BAY (CAPE BYRON),29/09/2015,4.4,0.0, ,23.3,15.8,82,57,5.20,21.40
BYRON BAY (CAPE BYRON),30/09/2015,4.5,10.4, ,25.2,14.7,86,55,3.62,23.21
Totals:,,115.5,82.2, ,,,,,, 
