'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CABRAMURRA SMHEA New South Wales for May 2011,,,,,,,,,,
Issued at 22:35 GMT on Wednesday 01 June 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CABRAMURRA SMHEA,01/05/2011,1.5,0.0, ,13.3,7.1,99,68,2.01,13.23
CABRAMURRA SMHEA,02/05/2011,1.0,0.0, ,11.5,7.1,99,81,2.97,7.79
CABRAMURRA SMHEA,03/05/2011,1.4,6.8, ,10.0,5.4,99,72,4.83,13.09
CABRAMURRA SMHEA,04/05/2011,0.9,0.4, ,8.3,3.9,99,81,3.06,8.94
CABRAMURRA SMHEA,05/05/2011,1.7,0.0, ,10.9,1.2,99,33,2.20,15.72
CABRAMURRA SMHEA,06/05/2011,1.4,0.0, ,9.4,2.6,99,54,1.84,15.18
CABRAMURRA SMHEA,07/05/2011,1.7,0.0, ,10.1,4.2,99,18,2.17,14.41
CABRAMURRA SMHEA,08/05/2011,0.9,0.0, ,4.7,1.2,98,76,3.15,9.01
CABRAMURRA SMHEA,09/05/2011,1.2,0.0, ,5.5,-1.1,99,67,8.37,14.38
CABRAMURRA SMHEA,10/05/2011,1.4,0.0, ,5.7,-1.4,99,53,4.59,15.10
CABRAMURRA SMHEA,11/05/2011,0.3,11.2, ,-2.0,-2.6,99,99,8.21,5.21
CABRAMURRA SMHEA,12/05/2011,0.4,0.2, ,1.4,-5.1,99,99,4.08,10.30
CABRAMURRA SMHEA,13/05/2011,0.3,1.6, ,2.3,-3.4,99,99,8.05,7.67
CABRAMURRA SMHEA,14/05/2011,0.8,9.0, ,4.8,-2.8,99,77,6.44,10.13
CABRAMURRA SMHEA,15/05/2011,1.3,0.0, ,6.5,-3.3,99,35,2.50,14.25
CABRAMURRA SMHEA,16/05/2011,1.5,0.0, ,8.7,-0.4,84,32,2.27,14.12
CABRAMURRA SMHEA,17/05/2011,2.0,0.0, ,11.0,2.4,85,9,2.82,14.03
CABRAMURRA SMHEA,18/05/2011,1.6,0.0, ,10.0,2.7,81,24,2.22,13.88
CABRAMURRA SMHEA,19/05/2011,2.0,0.0, ,10.9,4.1,61,15,2.65,12.78
CABRAMURRA SMHEA,20/05/2011,1.6,0.0, ,10.4,5.3,63,16,1.82,9.93
CABRAMURRA SMHEA,21/05/2011,1.5,0.0, ,10.9,4.1,96,55,4.06,11.23
CABRAMURRA SMHEA,22/05/2011,1.0,0.0, ,11.1,5.7,99,82,6.94,9.59
CABRAMURRA SMHEA,23/05/2011,0.3,18.2, ,5.7,4.1,99,99,8.50,4.40
CABRAMURRA SMHEA,24/05/2011,0.6,41.4, ,5.5,2.0,99,91,4.24,9.97
CABRAMURRA SMHEA,25/05/2011,1.1,2.4, ,5.5,-1.1,95,68,8.14,12.97
CABRAMURRA SMHEA,26/05/2011,0.9,0.0, ,6.1,-2.2,99,69,3.32,12.78
CABRAMURRA SMHEA,27/05/2011,0.8,0.0, ,5.8,-0.8,99,76,2.86,12.26
CABRAMURRA SMHEA,28/05/2011,0.9,0.0, ,8.2,1.4,99,68,2.56,11.83
CABRAMURRA SMHEA,29/05/2011,1.0,0.0, ,9.0,1.5,98,68,4.01,10.65
CABRAMURRA SMHEA,30/05/2011,1.1,0.0, ,7.2,1.8,99,71,9.27,11.59
CABRAMURRA SMHEA,31/05/2011,0.9,0.0, ,8.9,2.3,99,82,12.38,9.84
Totals:,,35,91.2, ,,,,,, 
