'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMDEN AIRPORT New South Wales for January 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMDEN AIRPORT,01/01/2010,4.8,0.0, ,30.1,19.9,97,53,3.25,19.69
CAMDEN AIRPORT,02/01/2010,5.3,0.0, ,31.8,20.4,92,53,2.13,23.33
CAMDEN AIRPORT,03/01/2010,2.9,3.6, ,20.5,17.7,98,65,2.73,14.01
CAMDEN AIRPORT,04/01/2010,4.0,3.2, ,25.5,16.4,99,58,2.74,18.84
CAMDEN AIRPORT,05/01/2010,6.9,0.0, ,33.7,15.7,94,34,2.41,30.48
CAMDEN AIRPORT,06/01/2010,6.8,0.4, ,31.8,19.7,93,44,3.28,29.93
CAMDEN AIRPORT,07/01/2010,4.1,0.0, ,24.0,19.5,77,50,2.38,16.99
CAMDEN AIRPORT,08/01/2010,5.8,0.2, ,30.3,18.4,92,46,2.19,27.13
CAMDEN AIRPORT,09/01/2010,7.2,0.0, ,38.9,16.5,96,18,1.33,32.54
CAMDEN AIRPORT,10/01/2010,8.0,0.0, ,35.5,19.7,82,29,2.77,33.30
CAMDEN AIRPORT,11/01/2010,6.6,0.0, ,31.1,19.3,86,46,3.01,29.57
CAMDEN AIRPORT,12/01/2010,8.6,0.0, ,40.1,21.5,82,29,2.93,31.23
CAMDEN AIRPORT,13/01/2010, ,0.0, , ,22.6,90,44,3.29,28.50
CAMDEN AIRPORT,14/01/2010, , , ,24.5, ,89,60,2.78,17.18
CAMDEN AIRPORT,15/01/2010,4.3,0.0, ,27.2,18.6,87,59,2.31,19.84
CAMDEN AIRPORT,16/01/2010,5.4,0.0, ,29.8,20.6,90,48,2.78,22.97
CAMDEN AIRPORT,17/01/2010,5.3,0.8, ,29.8,15.6,98,49,2.49,25.17
CAMDEN AIRPORT,18/01/2010,7.1,0.0, ,25.0,11.3,98,16,5.39,32.53
CAMDEN AIRPORT,19/01/2010,7.7,0.0, ,29.1,10.6,69,15,3.48,33.87
CAMDEN AIRPORT,20/01/2010,8.3,0.0, ,36.2,11.9,76,10,2.54,33.52
CAMDEN AIRPORT,21/01/2010,8.9,0.0, ,40.4,15.4,87,11,2.56,33.16
CAMDEN AIRPORT,22/01/2010,7.5,0.0, ,40.6,17.6,95,19,1.93,29.08
CAMDEN AIRPORT,23/01/2010,10.7,0.4, ,42.6,16.6,91,12,4.28,30.33
CAMDEN AIRPORT,24/01/2010,3.6,1.4, ,24.7,17.8,90,58,1.86,17.15
CAMDEN AIRPORT,25/01/2010,5.1,0.2, ,30.4,17.8,88,47,1.91,23.30
CAMDEN AIRPORT,26/01/2010,7.3,0.0, ,38.5,21.4,88,29,1.84,30.21
CAMDEN AIRPORT,27/01/2010,4.3,0.0, ,29.9,22.9,95,49,2.35,17.12
CAMDEN AIRPORT,28/01/2010,3.7,11.0, ,28.6,20.3,96,55,1.80,15.95
CAMDEN AIRPORT,29/01/2010,6.4,6.2, ,31.1,16.7,99,47,2.90,30.93
CAMDEN AIRPORT,30/01/2010,4.6,0.0, ,28.5,19.4,89,54,2.86,20.08
CAMDEN AIRPORT,31/01/2010,4.9,2.0, ,29.2,18.5,99,47,2.87,21.34
Totals:,,176.1,29.4, ,,,,,, 
