'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMDEN AIRPORT New South Wales for November 2010,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 December 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMDEN AIRPORT,01/11/2010,2.9,0.0, ,21.2,15.0,96,59,3.02,13.49
CAMDEN AIRPORT,02/11/2010,3.9,45.0, ,20.3,10.4,95,49,4.37,20.57
CAMDEN AIRPORT,03/11/2010,5.0,0.0, ,25.0,7.2,99,30,2.49,26.45
CAMDEN AIRPORT,04/11/2010,3.3,0.2, ,18.5,12.6,82,55,3.32,15.71
CAMDEN AIRPORT,05/11/2010,4.4,0.4, ,19.7,12.2,82,40,4.03,21.27
CAMDEN AIRPORT,06/11/2010,3.1,1.4, ,19.0,12.1,91,55,2.39,16.45
CAMDEN AIRPORT,07/11/2010,4.8,2.4, ,24.5,9.8,98,50,2.06,28.83
CAMDEN AIRPORT,08/11/2010,5.2,0.0, ,30.0,11.4,99,42,2.95,22.95
CAMDEN AIRPORT,09/11/2010,4.2,34.4, ,24.6,15.1,99,60,1.99,23.36
CAMDEN AIRPORT,10/11/2010,4.8,0.0, ,29.3,16.4,99,51,1.68,24.21
CAMDEN AIRPORT,11/11/2010,5.3,4.4, ,29.2,16.8,94,47,1.95,26.33
CAMDEN AIRPORT,12/11/2010,6.2,0.0, ,32.2,14.5,99,30,1.80,30.53
CAMDEN AIRPORT,13/11/2010,5.4,0.0, ,33.0,15.5,97,45,1.56,25.42
CAMDEN AIRPORT,14/11/2010,5.9,0.0, ,33.7,19.7,97,37,2.10,24.77
CAMDEN AIRPORT,15/11/2010,2.5,1.0, ,20.7,19.6,97,66,1.97,11.64
CAMDEN AIRPORT,16/11/2010,5.1,26.2, ,26.1,17.8,97,44,2.08,25.78
CAMDEN AIRPORT,17/11/2010,4.0,0.0, ,22.2,16.1,87,59,2.54,20.59
CAMDEN AIRPORT,18/11/2010,5.3,2.2, ,27.3,12.5,99,39,1.84,28.73
CAMDEN AIRPORT,19/11/2010,3.4,0.0, ,18.7,14.7,91,54,3.94,15.99
CAMDEN AIRPORT,20/11/2010,5.3,0.0, ,24.5,9.1,96,42,1.53,32.57
CAMDEN AIRPORT,21/11/2010,5.4,0.0, ,26.5,9.4,98,42,1.66,31.84
CAMDEN AIRPORT,22/11/2010,5.3,0.0, ,26.4,10.7,98,44,2.30,29.36
CAMDEN AIRPORT,23/11/2010,5.7,0.0, ,27.2,11.6,97,42,2.68,29.96
CAMDEN AIRPORT,24/11/2010,6.1,0.0, ,29.1,12.2,96,40,2.12,32.10
CAMDEN AIRPORT,25/11/2010,6.4,0.0, ,32.2,14.7,96,28,1.53,31.75
CAMDEN AIRPORT,26/11/2010,5.6,0.0, ,29.8,14.4,93,30,1.97,26.50
CAMDEN AIRPORT,27/11/2010,6.6,0.0, ,31.6,15.8,94,30,2.83,28.81
CAMDEN AIRPORT,28/11/2010,2.6,0.0, ,22.1,16.1,95,76,1.64,12.91
CAMDEN AIRPORT,29/11/2010,2.6,17.8, ,19.5,15.6,96,72,3.35,12.91
CAMDEN AIRPORT,30/11/2010,2.8,12.0, ,22.7,16.0,96,73,2.12,13.80
Totals:,,139.1,147.4, ,,,,,, 
