'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMDEN AIRPORT New South Wales for February 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 March 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMDEN AIRPORT,01/02/2011,8.7,0.0, ,41.3,17.6,87,12,2.48,31.93
CAMDEN AIRPORT,02/02/2011,7.5,0.0, ,37.9,22.8,76,36,2.56,28.92
CAMDEN AIRPORT,03/02/2011,6.6,0.2, ,37.0,24.0,87,37,3.12,22.38
CAMDEN AIRPORT,04/02/2011,6.5,0.0, ,37.7,21.6,89,39,2.02,26.01
CAMDEN AIRPORT,05/02/2011,9.6,0.0, ,41.1,21.8,94,16,4.09,29.75
CAMDEN AIRPORT,06/02/2011,5.5,0.0, ,33.7,22.7,72,42,4.25,12.99
CAMDEN AIRPORT,07/02/2011,3.5,0.0, ,23.0,16.7,77,47,2.26,14.54
CAMDEN AIRPORT,08/02/2011,4.4,0.0, ,25.7,13.8,93,45,2.16,22.47
CAMDEN AIRPORT,09/02/2011,4.4,0.0, ,26.5,13.5,92,43,2.36,20.71
CAMDEN AIRPORT,10/02/2011,4.7,0.0, ,29.7,15.4,95,40,2.12,20.97
CAMDEN AIRPORT,11/02/2011,6.1,0.0, ,37.4,16.4,97,28,2.12,22.86
CAMDEN AIRPORT,12/02/2011,2.2,2.6, ,22.9,21.3,96,60,1.98,7.54
CAMDEN AIRPORT,13/02/2011,2.3,12.8, ,22.5,18.7,96,69,2.28,9.21
CAMDEN AIRPORT,14/02/2011,2.6,0.0, ,22.4,17.9,82,61,2.76,8.16
CAMDEN AIRPORT,15/02/2011,2.8,0.2, ,23.8,13.4,95,56,1.47,13.29
CAMDEN AIRPORT,16/02/2011,3.7,0.6, ,28.6,17.7,95,52,1.24,17.56
CAMDEN AIRPORT,17/02/2011,4.5,2.2, ,32.0,19.8,99,47,1.11,21.14
CAMDEN AIRPORT,18/02/2011,3.3,0.6, ,28.7,19.6,94,57,1.72,13.52
CAMDEN AIRPORT,19/02/2011,5.8,0.0, ,37.0,20.6,95,32,2.12,21.82
CAMDEN AIRPORT,20/02/2011,6.4,0.0, ,35.2,22.9,85,27,2.81,22.89
CAMDEN AIRPORT,21/02/2011,5.4,0.0, ,29.6,18.4,82,39,3.37,20.87
CAMDEN AIRPORT,22/02/2011,4.6,0.2, ,24.1,16.1,79,38,3.10,19.78
CAMDEN AIRPORT,23/02/2011,4.8,0.0, ,27.3,13.2,93,35,2.07,23.75
CAMDEN AIRPORT,24/02/2011,5.9,0.0, ,30.9,11.1,97,26,2.08,29.36
CAMDEN AIRPORT,25/02/2011,5.1,0.0, ,31.2,11.8,98,28,1.71,24.73
CAMDEN AIRPORT,26/02/2011,5.8,0.0, ,33.7,16.7,92,27,1.59,27.80
CAMDEN AIRPORT,27/02/2011,3.3,0.2, ,30.3,16.2,95,40,1.46,12.82
CAMDEN AIRPORT,28/02/2011,3.4,1.0, ,28.5,19.2,91,57,2.02,14.49
Totals:,,139.4,20.6, ,,,,,, 
