'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMDEN AIRPORT New South Wales for March 2012,,,,,,,,,,
Issued at 22:33 GMT on Sunday 01 April 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMDEN AIRPORT,01/03/2012, , , , , ,99,71,2.32,8.47
CAMDEN AIRPORT,02/03/2012, , , ,19.0, ,97,78,2.49,3.53
CAMDEN AIRPORT,03/03/2012, ,19.0, , ,16.0,99,83,1.54,4.05
CAMDEN AIRPORT,04/03/2012, , , ,26.8, ,99,62,1.34,9.48
CAMDEN AIRPORT,05/03/2012,4.5,8.2, ,27.0,16.2,99,37,2.21,22.78
CAMDEN AIRPORT,06/03/2012, ,0.2, , ,17.1,88,53,2.57,16.73
CAMDEN AIRPORT,07/03/2012, , , , , ,94,53,3.85,13.55
CAMDEN AIRPORT,08/03/2012, , , , , ,97,64,3.27,8.99
CAMDEN AIRPORT,09/03/2012, , , , , ,99,42,1.95,21.76
CAMDEN AIRPORT,10/03/2012, , , , , ,98,41,1.22,20.29
CAMDEN AIRPORT,11/03/2012, , , , , ,93,46,1.69,23.22
CAMDEN AIRPORT,12/03/2012, , , , , ,94,59,1.72,17.69
CAMDEN AIRPORT,13/03/2012, , , , , ,99,46,1.31,21.82
CAMDEN AIRPORT,14/03/2012, , , ,26.8, ,99,53,1.02,19.36
CAMDEN AIRPORT,15/03/2012, ,0.0, , ,18.0,92,51,1.43,18.88
CAMDEN AIRPORT,16/03/2012, , , , , ,97,46,1.91,19.86
CAMDEN AIRPORT,17/03/2012, , , ,21.0, ,96,69,2.30,6.72
CAMDEN AIRPORT,18/03/2012,3.2,5.4, ,22.5,14.5,88,55,3.59,13.87
CAMDEN AIRPORT,19/03/2012,3.1,0.4, ,23.7,14.2,96,54,2.85,14.99
CAMDEN AIRPORT,20/03/2012, ,0.0, , ,15.1,93,50,1.81,15.02
CAMDEN AIRPORT,21/03/2012, , , ,27.2, ,97,59,2.02,17.58
CAMDEN AIRPORT,22/03/2012,1.4,0.0, ,19.3,17.0,96,68,1.92,3.73
CAMDEN AIRPORT,23/03/2012,4.8,1.0, ,24.2,13.7,98,30,4.51,21.51
CAMDEN AIRPORT,24/03/2012, ,0.0, , ,10.9,85,33,4.28,21.38
CAMDEN AIRPORT,25/03/2012, , , , , ,92,53,1.23,12.47
CAMDEN AIRPORT,26/03/2012, , , , , ,96,48,1.90,16.58
CAMDEN AIRPORT,27/03/2012, , , ,26.5, ,97,46,1.70,16.33
CAMDEN AIRPORT,28/03/2012,1.9,0.0, ,23.3,16.9,96,60,1.70,7.62
CAMDEN AIRPORT,29/03/2012,3.1,8.0, ,26.8,13.1,99,43,1.27,16.83
CAMDEN AIRPORT,30/03/2012,2.9,0.0, ,26.1,11.8,99,47,0.94,17.32
CAMDEN AIRPORT,31/03/2012,2.9,0.0, ,27.6,10.1,99,33,0.70,18.47
Totals:,,27.8,42.2, ,,,,,, 
