'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMDEN AIRPORT New South Wales for September 2014,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMDEN AIRPORT,01/09/2014,2.5,0.2, ,23.6,4.8,99,35,1.05,17.09
CAMDEN AIRPORT,02/09/2014,2.7,0.0, ,17.0,11.4,82,45,4.47,8.71
CAMDEN AIRPORT,03/09/2014,4.4,1.8, ,17.8,8.0,63,34,7.06,16.41
CAMDEN AIRPORT,04/09/2014,3.8,0.0, ,18.9,9.1,72,35,5.05,14.51
CAMDEN AIRPORT,05/09/2014,2.5,0.0, ,17.8,9.2,88,49,4.03,8.59
CAMDEN AIRPORT,06/09/2014,2.3,5.0, ,18.2,6.2,94,49,2.53,12.14
CAMDEN AIRPORT,07/09/2014,1.7,0.0, ,18.5,9.1,96,59,1.72,7.96
CAMDEN AIRPORT,08/09/2014,2.7,0.2, ,21.2,5.8,99,42,1.62,17.01
CAMDEN AIRPORT,09/09/2014,2.7,0.2, ,25.3,5.1,99,40,1.47,14.05
CAMDEN AIRPORT,10/09/2014,4.2,6.6, ,23.4,10.2,95,30,4.11,17.47
CAMDEN AIRPORT,11/09/2014,3.9,0.0, ,24.7,6.1,91,29,2.58,19.48
CAMDEN AIRPORT,12/09/2014,1.9,0.0, ,16.8,11.2,80,54,2.06,6.81
CAMDEN AIRPORT,13/09/2014,2.5,0.0, ,21.0,11.9,86,49,1.46,14.03
CAMDEN AIRPORT,14/09/2014,3.2,0.0, ,25.0,9.1,99,33,1.21,19.64
CAMDEN AIRPORT,15/09/2014,2.9,0.0, ,22.7,8.0,99,36,1.06,18.91
CAMDEN AIRPORT,16/09/2014,2.7,0.0, ,22.1,11.9,95,36,2.68,7.90
CAMDEN AIRPORT,17/09/2014,5.2,1.6, ,20.7,12.4,64,26,5.85,19.86
CAMDEN AIRPORT,18/09/2014,4.0,0.0, ,20.4,7.0,85,21,2.94,20.99
CAMDEN AIRPORT,19/09/2014,3.1,0.0, ,20.4,2.1,97,23,1.47,20.50
CAMDEN AIRPORT,20/09/2014,3.0,0.0, ,20.9,2.3,99,35,1.60,19.28
CAMDEN AIRPORT,21/09/2014,3.0,0.0, ,21.5,4.1,99,33,1.09,21.11
CAMDEN AIRPORT,22/09/2014,3.2,0.0, ,22.1,8.4,97,32,1.18,21.10
CAMDEN AIRPORT,23/09/2014,3.3,0.0, ,23.5,4.2,99,27,1.34,20.32
CAMDEN AIRPORT,24/09/2014,3.1,0.0, ,27.0,6.0,99,29,0.80,19.08
CAMDEN AIRPORT,25/09/2014,1.8,0.4, ,21.1,12.8,98,63,1.73,7.03
CAMDEN AIRPORT,26/09/2014,3.2,6.6, ,21.6,8.0,99,41,1.76,19.19
CAMDEN AIRPORT,27/09/2014,3.4,0.2, ,22.4,9.1,96,34,1.64,19.51
CAMDEN AIRPORT,28/09/2014,3.7,0.0, ,26.2,5.8,99,29,1.40,21.31
CAMDEN AIRPORT,29/09/2014,4.1,0.0, ,32.0,7.1,99,16,1.12,21.46
CAMDEN AIRPORT,30/09/2014,6.8,0.0, ,33.2,8.9,98,16,3.88,21.64
Totals:,,97.5,22.8, ,,,,,, 
