'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPBELLTOWN (MOUNT ANNAN) New South Wales for June 2012,,,,,,,,,,
Issued at 22:38 GMT on Sunday 01 July 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPBELLTOWN (MOUNT ANNAN),01/06/2012,1.2,0.0, ,19.2,8.8,99,60,1.46,7.17
CAMPBELLTOWN (MOUNT ANNAN),02/06/2012,0.8,0.0, ,17.4,11.5,99,79,0.97,3.94
CAMPBELLTOWN (MOUNT ANNAN),03/06/2012,0.6,16.6, ,15.0,12.4,99,93,0.59,3.20
CAMPBELLTOWN (MOUNT ANNAN),04/06/2012,1.6,0.6, ,20.1,8.3,99,47,2.01,9.34
CAMPBELLTOWN (MOUNT ANNAN),05/06/2012,1.3,0.2, ,13.8,3.8,98,54,2.84,3.64
CAMPBELLTOWN (MOUNT ANNAN),06/06/2012,1.2,15.0, ,14.0,9.0,92,71,3.56,5.99
CAMPBELLTOWN (MOUNT ANNAN),07/06/2012,1.6,0.0, ,17.4,5.2,95,41,2.27,9.66
CAMPBELLTOWN (MOUNT ANNAN),08/06/2012,1.2,0.2, ,16.9,1.2,98,39,1.17,9.62
CAMPBELLTOWN (MOUNT ANNAN),09/06/2012,1.1,0.2, ,17.6,1.3,99,43,1.05,9.59
CAMPBELLTOWN (MOUNT ANNAN),10/06/2012,1.0,0.6, ,15.8,4.5,97,62,1.48,5.59
CAMPBELLTOWN (MOUNT ANNAN),11/06/2012,0.6,4.0, ,13.4,8.9,99,91,2.10,2.82
CAMPBELLTOWN (MOUNT ANNAN),12/06/2012,1.3,23.8, ,19.0,9.5,99,64,2.66,5.25
CAMPBELLTOWN (MOUNT ANNAN),13/06/2012,1.1,1.2, ,18.0,9.7,99,66,1.77,7.00
CAMPBELLTOWN (MOUNT ANNAN),14/06/2012,1.1,3.0, ,18.8,8.8,99,59,1.14,8.69
CAMPBELLTOWN (MOUNT ANNAN),15/06/2012,0.8,0.0, ,19.2,6.6,99,60,0.58,5.45
CAMPBELLTOWN (MOUNT ANNAN),16/06/2012,0.5,0.2, ,12.4,5.4,99,98,1.01,2.45
CAMPBELLTOWN (MOUNT ANNAN),17/06/2012,1.7,9.2, ,17.8,4.9,99,44,2.63,9.42
CAMPBELLTOWN (MOUNT ANNAN),18/06/2012,1.4,0.0, ,18.5,4.0,98,41,1.65,9.44
CAMPBELLTOWN (MOUNT ANNAN),19/06/2012,1.5,0.0, ,19.0,2.7,98,44,2.01,9.25
CAMPBELLTOWN (MOUNT ANNAN),20/06/2012,1.0,0.0, ,15.9,1.2,99,47,1.07,9.16
CAMPBELLTOWN (MOUNT ANNAN),21/06/2012,0.9,0.2, ,16.8,0.8,99,59,0.93,4.68
CAMPBELLTOWN (MOUNT ANNAN),22/06/2012,1.5,0.0, ,16.3,5.0,87,47,2.28,6.21
CAMPBELLTOWN (MOUNT ANNAN),23/06/2012,1.5,0.0, ,15.8,3.6,94,37,2.17,9.47
CAMPBELLTOWN (MOUNT ANNAN),24/06/2012,1.5,0.0, ,17.4,0.5,97,39,2.04,9.49
CAMPBELLTOWN (MOUNT ANNAN),25/06/2012,1.6,0.0, ,19.0,0.1,99,37,1.95,9.51
CAMPBELLTOWN (MOUNT ANNAN),26/06/2012,1.0,0.0, ,14.1,5.0,95,63,1.70,4.44
CAMPBELLTOWN (MOUNT ANNAN),27/06/2012,0.9,0.8, ,16.4,6.1,99,64,1.40,5.72
CAMPBELLTOWN (MOUNT ANNAN),28/06/2012,1.0,0.0, ,17.5,4.2,99,59,1.03,8.56
CAMPBELLTOWN (MOUNT ANNAN),29/06/2012,1.0,0.0, ,19.0,7.4,99,59,0.73,9.39
CAMPBELLTOWN (MOUNT ANNAN),30/06/2012,1.2,0.0, ,19.2,2.3,99,39,1.10,7.92
Totals:,,34.7,75.8, ,,,,,, 
