'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPBELLTOWN (MOUNT ANNAN) New South Wales for January 2016,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPBELLTOWN (MOUNT ANNAN),01/01/2016,6.3,0.0, ,29.9,14.0,99,35,1.83,32.35
CAMPBELLTOWN (MOUNT ANNAN),02/01/2016,4.6,0.0, ,27.6,13.9,99,34,1.54,22.22
CAMPBELLTOWN (MOUNT ANNAN),03/01/2016,3.1,0.0, ,24.6,16.1,88,54,2.08,12.52
CAMPBELLTOWN (MOUNT ANNAN),04/01/2016,2.1,4.2, ,23.1,17.5,99,59,1.80,6.81
CAMPBELLTOWN (MOUNT ANNAN),05/01/2016,1.6,45.2, ,20.4,16.3,99,78,1.91,6.50
CAMPBELLTOWN (MOUNT ANNAN),06/01/2016,1.2,21.2, ,20.8,16.3,99,81,2.19,3.68
CAMPBELLTOWN (MOUNT ANNAN),07/01/2016, ,8.6, , ,14.8,94,47,2.96,24.65
CAMPBELLTOWN (MOUNT ANNAN),08/01/2016, ,0.0, ,28.3, ,94,35,1.82,31.19
CAMPBELLTOWN (MOUNT ANNAN),09/01/2016,5.2,0.0, ,28.0,16.4,92,45,1.61,26.40
CAMPBELLTOWN (MOUNT ANNAN),10/01/2016,6.3,0.0, ,31.0,14.7,99,37,1.99,31.23
CAMPBELLTOWN (MOUNT ANNAN),11/01/2016,6.6,0.0, ,37.4,16.6,99,20,1.30,29.64
CAMPBELLTOWN (MOUNT ANNAN),12/01/2016,4.5,0.0, ,34.6,19.0,92,34,1.42,17.08
CAMPBELLTOWN (MOUNT ANNAN),13/01/2016,6.1,0.0, ,32.0,15.8,99,50,1.61,30.63
CAMPBELLTOWN (MOUNT ANNAN),14/01/2016,5.7,0.0, ,39.3,19.5,99,22,2.72,13.53
CAMPBELLTOWN (MOUNT ANNAN),15/01/2016,3.8,32.6, ,22.0,12.2,98,52,2.86,19.79
CAMPBELLTOWN (MOUNT ANNAN),16/01/2016,4.1,0.0, ,22.9,13.3,92,49,2.56,20.88
CAMPBELLTOWN (MOUNT ANNAN),17/01/2016,4.5,0.0, ,25.5,12.8,99,44,1.58,24.12
CAMPBELLTOWN (MOUNT ANNAN),18/01/2016,6.0,0.0, ,28.6,13.0,97,31,1.90,31.59
CAMPBELLTOWN (MOUNT ANNAN),19/01/2016,6.5,0.0, ,34.2,14.8,99,24,1.54,31.13
CAMPBELLTOWN (MOUNT ANNAN),20/01/2016,6.5,0.0, ,37.5,16.3,97,12,1.61,27.07
CAMPBELLTOWN (MOUNT ANNAN),21/01/2016,5.3,0.0, ,36.4,20.2,99,32,1.91,19.03
CAMPBELLTOWN (MOUNT ANNAN),22/01/2016,1.9,17.0, ,27.9,21.1,99,69,1.51,6.17
CAMPBELLTOWN (MOUNT ANNAN),23/01/2016,4.1,14.4, ,27.8,19.7,99,51,1.90,18.24
CAMPBELLTOWN (MOUNT ANNAN),24/01/2016,2.2,3.4, ,24.5,18.7,97,61,1.15,8.64
CAMPBELLTOWN (MOUNT ANNAN),25/01/2016,1.4,0.4, ,23.7,19.3,99,70,1.46,3.93
CAMPBELLTOWN (MOUNT ANNAN),26/01/2016,3.9,35.6, ,28.1,17.9,99,54,1.59,18.10
CAMPBELLTOWN (MOUNT ANNAN),27/01/2016,1.7,1.8, ,24.2,19.0,99,68,1.57,5.49
CAMPBELLTOWN (MOUNT ANNAN),28/01/2016,4.8,0.0, ,30.1,20.1,96,49,1.42,22.72
CAMPBELLTOWN (MOUNT ANNAN),29/01/2016,2.9,1.0, ,28.3,18.7,99,64,1.71,12.15
CAMPBELLTOWN (MOUNT ANNAN),30/01/2016,3.6,37.6, ,28.4,16.8,99,62,1.63,16.75
CAMPBELLTOWN (MOUNT ANNAN),31/01/2016,5.4,7.0, ,28.6,17.8,99,25,1.63,26.62
Totals:,,121.9,230, ,,,,,, 
