'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CANBERRA AIRPORT New South Wales for March 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CANBERRA AIRPORT,01/03/2009,3.9,0.0,11.4,29.4,14.3,90,21,0.00,25.52
CANBERRA AIRPORT,02/03/2009,3.3,0.0,7.0,27.8,15.6,81,34,0.00,20.20
CANBERRA AIRPORT,03/03/2009,2.8,0.0,5.8,26.5,15.7,86,38,0.00,16.44
CANBERRA AIRPORT,04/03/2009,3.5,0.2,4.0,22.8,16.1,75,10,0.00,24.96
CANBERRA AIRPORT,05/03/2009,3.4,0.0,12.2,22.2,10.4,64,19,0.00,26.71
CANBERRA AIRPORT,06/03/2009,3.3,0.0,8.0,24.1,4.3,80,16,0.00,26.96
CANBERRA AIRPORT,07/03/2009,3.6,0.0,7.2,27.9,8.7,90,15,0.00,27.12
CANBERRA AIRPORT,08/03/2009,3.1,0.0,6.6,24.8,11.3,91,40,0.00,20.64
CANBERRA AIRPORT,09/03/2009,3.0,0.0,5.8,26.6,14.6,80,39,0.00,18.88
CANBERRA AIRPORT,10/03/2009,3.2,0.0,4.8,28.2,10.7,95,32,0.00,21.32
CANBERRA AIRPORT,11/03/2009,3.2,0.0,6.2,26.2,13.3,87,28,0.00,22.18
CANBERRA AIRPORT,12/03/2009,3.5,0.0,7.0,28.7,15.0,81,29,0.00,23.29
CANBERRA AIRPORT,13/03/2009,2.8,0.0,6.2,25.6,16.7,89,44,0.00,16.99
CANBERRA AIRPORT,14/03/2009,2.7,0.0,3.6,27.7,12.4,99,37,0.00,16.66
CANBERRA AIRPORT,15/03/2009,3.3,9.6,6.0,21.7,11.3,95,18,0.00,25.30
CANBERRA AIRPORT,16/03/2009,2.9,0.0,7.2,21.9,5.0,82,25,0.00,24.56
CANBERRA AIRPORT,17/03/2009,3.0,0.0,7.0,24.5,3.6,92,22,0.00,24.85
CANBERRA AIRPORT,18/03/2009,3.1,0.0,4.8,27.4,7.5,95,13,0.00,24.91
CANBERRA AIRPORT,19/03/2009,2.7,0.0,7.0,29.1,8.5,78,11,0.00,22.34
CANBERRA AIRPORT,20/03/2009, ,0.0,5.6,30.6,8.5,76,17,0.00, 
CANBERRA AIRPORT,21/03/2009, ,0.0,6.8,30.1,8.4,85,14,0.00, 
CANBERRA AIRPORT,22/03/2009, ,0.0,6.2,30.7,9.3,96,19,0.00, 
CANBERRA AIRPORT,23/03/2009,2.9,0.0,7.0,31.2,9.8,87,20,0.00,21.69
CANBERRA AIRPORT,24/03/2009,2.9,0.0,6.2,32.4,11.5,84,17,0.00,22.37
CANBERRA AIRPORT,25/03/2009,2.3,0.0,7.6,31.9,13.9,67,22,0.00,15.70
CANBERRA AIRPORT,26/03/2009,2.2,0.0,8.0,28.9,11.3,88,31,0.00,15.06
CANBERRA AIRPORT,27/03/2009, ,0.4,5.0,25.4,13.4,94,31,0.00, 
CANBERRA AIRPORT,28/03/2009, ,0.0,5.0,27.6,13.3,80,31,0.00, 
CANBERRA AIRPORT,29/03/2009, ,0.0,5.2,29.9,8.6,96,15,0.00, 
CANBERRA AIRPORT,30/03/2009,2.3,0.0,7.0,24.5,9.8,86,39,0.00,17.34
CANBERRA AIRPORT,31/03/2009,2.2,0.0,4.8,23.2,12.2,91,40,0.00,15.60
Totals:,,75.1,10.2,202.2,,,,,, 
